,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY 50,05 Jun 2023,18612.0,18640.15,18582.8,18593.85
1,NIFTY 50,02 Jun 2023,18550.85,18573.7,18478.4,18534.1
2,NIFTY 50,01 Jun 2023,18579.4,18580.3,18464.55,18487.75
3,NIFTY 50,31 May 2023,18594.2,18603.9,18483.85,18534.4
4,NIFTY 50,30 May 2023,18606.65,18662.45,18575.5,18633.85
5,NIFTY 50,29 May 2023,18619.15,18641.2,18581.25,18598.65
6,NIFTY 50,26 May 2023,18368.35,18508.55,18333.15,18499.35
7,NIFTY 50,25 May 2023,18268.9,18338.1,18202.4,18321.15
8,NIFTY 50,24 May 2023,18294.8,18392.6,18262.95,18285.4
9,NIFTY 50,23 May 2023,18362.9,18419.75,18324.2,18348.0
10,NIFTY 50,22 May 2023,18201.1,18335.25,18178.85,18314.4
11,NIFTY 50,19 May 2023,18186.15,18218.1,18060.4,18203.4
12,NIFTY 50,18 May 2023,18287.5,18297.2,18104.85,18129.95
13,NIFTY 50,17 May 2023,18300.45,18309.0,18115.35,18181.75
14,NIFTY 50,16 May 2023,18432.35,18432.35,18264.35,18286.5
15,NIFTY 50,15 May 2023,18339.3,18458.9,18287.9,18398.85
16,NIFTY 50,12 May 2023,18273.75,18342.75,18194.55,18314.8
17,NIFTY 50,11 May 2023,18357.8,18389.7,18270.4,18297.0
18,NIFTY 50,10 May 2023,18313.6,18326.75,18211.95,18315.1
19,NIFTY 50,09 May 2023,18303.4,18344.2,18229.65,18265.95
20,NIFTY 50,08 May 2023,18120.6,18286.95,18100.3,18264.4
21,NIFTY 50,05 May 2023,18117.3,18216.95,18055.45,18069.0
22,NIFTY 50,04 May 2023,18081.0,18267.45,18066.7,18255.8
23,NIFTY 50,03 May 2023,18113.8,18116.35,18042.4,18089.85
24,NIFTY 50,02 May 2023,18124.8,18180.25,18101.75,18147.65
25,NIFTY 50,28 Apr 2023,17950.4,18089.15,17885.3,18065.0
