,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY ADITYA BIRLA GROUP,05 Jun 2023,-,-,-,5498.81
1,NIFTY ADITYA BIRLA GROUP,02 Jun 2023,-,-,-,5480.62
2,NIFTY ADITYA BIRLA GROUP,01 Jun 2023,-,-,-,5437.81
3,NIFTY ADITYA BIRLA GROUP,31 May 2023,-,-,-,5452.57
4,NIFTY ADITYA BIRLA GROUP,30 May 2023,-,-,-,5482.21
5,NIFTY ADITYA BIRLA GROUP,29 May 2023,-,-,-,5450.05
6,NIFTY ADITYA BIRLA GROUP,26 May 2023,-,-,-,5379.89
7,NIFTY ADITYA BIRLA GROUP,25 May 2023,-,-,-,5335.91
8,NIFTY ADITYA BIRLA GROUP,24 May 2023,-,-,-,5347.63
9,NIFTY ADITYA BIRLA GROUP,23 May 2023,-,-,-,5354.08
10,NIFTY ADITYA BIRLA GROUP,22 May 2023,-,-,-,5376.71
11,NIFTY ADITYA BIRLA GROUP,19 May 2023,-,-,-,5362.23
12,NIFTY ADITYA BIRLA GROUP,18 May 2023,-,-,-,5336.21
13,NIFTY ADITYA BIRLA GROUP,17 May 2023,-,-,-,5384.24
14,NIFTY ADITYA BIRLA GROUP,16 May 2023,-,-,-,5416.18
15,NIFTY ADITYA BIRLA GROUP,15 May 2023,-,-,-,5426.49
16,NIFTY ADITYA BIRLA GROUP,12 May 2023,-,-,-,5394.2
17,NIFTY ADITYA BIRLA GROUP,11 May 2023,-,-,-,5494.46
18,NIFTY ADITYA BIRLA GROUP,10 May 2023,-,-,-,5500.3
19,NIFTY ADITYA BIRLA GROUP,09 May 2023,-,-,-,5503.82
20,NIFTY ADITYA BIRLA GROUP,08 May 2023,-,-,-,5541.28
21,NIFTY ADITYA BIRLA GROUP,05 May 2023,-,-,-,5467.11
22,NIFTY ADITYA BIRLA GROUP,04 May 2023,-,-,-,5481.78
23,NIFTY ADITYA BIRLA GROUP,03 May 2023,-,-,-,5444.82
24,NIFTY ADITYA BIRLA GROUP,02 May 2023,-,-,-,5433.74
25,NIFTY ADITYA BIRLA GROUP,28 Apr 2023,-,-,-,5426.0
26,NIFTY ADITYA BIRLA GROUP,27 Apr 2023,-,-,-,5366.19
27,NIFTY ADITYA BIRLA GROUP,26 Apr 2023,-,-,-,5320.06
28,NIFTY ADITYA BIRLA GROUP,25 Apr 2023,-,-,-,5304.97
29,NIFTY ADITYA BIRLA GROUP,24 Apr 2023,-,-,-,5305.93
30,NIFTY ADITYA BIRLA GROUP,21 Apr 2023,-,-,-,5249.17
31,NIFTY ADITYA BIRLA GROUP,20 Apr 2023,-,-,-,5310.27
32,NIFTY ADITYA BIRLA GROUP,19 Apr 2023,-,-,-,5329.15
33,NIFTY ADITYA BIRLA GROUP,18 Apr 2023,-,-,-,5365.17
34,NIFTY ADITYA BIRLA GROUP,17 Apr 2023,-,-,-,5417.45
35,NIFTY ADITYA BIRLA GROUP,13 Apr 2023,-,-,-,5345.79
36,NIFTY ADITYA BIRLA GROUP,12 Apr 2023,-,-,-,5358.08
37,NIFTY ADITYA BIRLA GROUP,11 Apr 2023,-,-,-,5364.02
38,NIFTY ADITYA BIRLA GROUP,10 Apr 2023,-,-,-,5343.61
39,NIFTY ADITYA BIRLA GROUP,06 Apr 2023,-,-,-,5300.73
40,NIFTY ADITYA BIRLA GROUP,05 Apr 2023,-,-,-,5270.73
41,NIFTY ADITYA BIRLA GROUP,03 Apr 2023,-,-,-,5229.35
42,NIFTY ADITYA BIRLA GROUP,31 Mar 2023,-,-,-,5210.21
43,NIFTY ADITYA BIRLA GROUP,29 Mar 2023,-,-,-,5182.45
44,NIFTY ADITYA BIRLA GROUP,28 Mar 2023,-,-,-,5085.39
45,NIFTY ADITYA BIRLA GROUP,27 Mar 2023,-,-,-,5112.53
46,NIFTY ADITYA BIRLA GROUP,24 Mar 2023,-,-,-,5087.39
47,NIFTY ADITYA BIRLA GROUP,23 Mar 2023,-,-,-,5158.33
48,NIFTY ADITYA BIRLA GROUP,22 Mar 2023,-,-,-,5161.38
49,NIFTY ADITYA BIRLA GROUP,21 Mar 2023,-,-,-,5114.62
50,NIFTY ADITYA BIRLA GROUP,20 Mar 2023,-,-,-,5060.24
51,NIFTY ADITYA BIRLA GROUP,17 Mar 2023,-,-,-,5106.27
52,NIFTY ADITYA BIRLA GROUP,16 Mar 2023,-,-,-,4998.23
