,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY ALPHA 50,05 Jun 2023,29751.70,29823.45,29697.20,29716.15
1,NIFTY ALPHA 50,02 Jun 2023,29500.45,29651.35,29492.45,29600.7
2,NIFTY ALPHA 50,01 Jun 2023,29277.65,29458.20,29222.00,29360.15
3,NIFTY ALPHA 50,31 May 2023,29109.35,29365.80,28986.65,29305.7
4,NIFTY ALPHA 50,30 May 2023,29081.55,29227.95,29019.80,29106.85
5,NIFTY ALPHA 50,29 May 2023,29049.60,29115.75,28946.55,29033.9
6,NIFTY ALPHA 50,26 May 2023,28634.85,28868.85,28613.10,28844.55
7,NIFTY ALPHA 50,25 May 2023,28391.80,28596.15,28376.00,28560.05
8,NIFTY ALPHA 50,24 May 2023,28327.65,28535.55,28278.40,28392.7
9,NIFTY ALPHA 50,23 May 2023,28408.50,28461.85,28324.90,28343.7
10,NIFTY ALPHA 50,22 May 2023,28217.30,28362.90,28044.50,28340.5
11,NIFTY ALPHA 50,19 May 2023,28325.20,28329.45,27911.10,28206.6
12,NIFTY ALPHA 50,18 May 2023,28605.70,28686.30,28199.85,28257.0
13,NIFTY ALPHA 50,17 May 2023,28381.75,28600.40,28312.25,28454.75
14,NIFTY ALPHA 50,16 May 2023,28324.85,28556.80,28308.00,28336.3
15,NIFTY ALPHA 50,15 May 2023,28170.30,28310.05,28036.50,28206.5
16,NIFTY ALPHA 50,12 May 2023,28191.75,28196.80,28025.65,28132.1
17,NIFTY ALPHA 50,11 May 2023,28193.85,28251.65,28115.75,28157.85
18,NIFTY ALPHA 50,10 May 2023,28122.65,28158.85,27871.40,28093.0
19,NIFTY ALPHA 50,09 May 2023,28377.05,28415.70,28043.40,28117.7
20,NIFTY ALPHA 50,08 May 2023,28228.65,28325.95,28110.30,28259.8
21,NIFTY ALPHA 50,05 May 2023,28325.15,28426.75,28147.85,28180.7
22,NIFTY ALPHA 50,04 May 2023,28088.50,28326.25,28064.05,28300.8
23,NIFTY ALPHA 50,03 May 2023,27781.40,28040.30,27727.25,28008.9
24,NIFTY ALPHA 50,02 May 2023,27816.30,28012.80,27798.60,27841.5
25,NIFTY ALPHA 50,28 Apr 2023,27435.95,27677.55,27427.35,27659.4
26,NIFTY ALPHA 50,27 Apr 2023,27154.05,27332.10,27150.20,27311.1
27,NIFTY ALPHA 50,26 Apr 2023,26927.80,27158.55,26856.90,27143.7
28,NIFTY ALPHA 50,25 Apr 2023,26913.40,27013.05,26880.55,26919.75
29,NIFTY ALPHA 50,24 Apr 2023,26635.05,26871.50,26581.85,26853.95
30,NIFTY ALPHA 50,21 Apr 2023,26770.65,26792.85,26474.10,26603.8
31,NIFTY ALPHA 50,20 Apr 2023,26919.30,26974.60,26708.15,26743.3
32,NIFTY ALPHA 50,19 Apr 2023,26939.30,27061.60,26855.50,26888.75
33,NIFTY ALPHA 50,18 Apr 2023,26891.85,27013.85,26841.10,26937.4
34,NIFTY ALPHA 50,17 Apr 2023,26478.25,26850.05,26433.55,26827.4
35,NIFTY ALPHA 50,13 Apr 2023,26415.45,26512.55,26342.75,26480.2
36,NIFTY ALPHA 50,12 Apr 2023,26377.25,26414.80,26318.60,26383.2
37,NIFTY ALPHA 50,11 Apr 2023,26268.85,26373.55,26207.80,26326.1
38,NIFTY ALPHA 50,10 Apr 2023,26161.50,26213.40,26084.45,26146.75
39,NIFTY ALPHA 50,06 Apr 2023,25972.90,26169.00,25875.55,26108.85
40,NIFTY ALPHA 50,05 Apr 2023,26022.15,26045.30,25912.95,25979.95
41,NIFTY ALPHA 50,03 Apr 2023,26105.30,26117.60,25902.90,25987.65
42,NIFTY ALPHA 50,31 Mar 2023,25910.65,26044.30,25904.05,25993.55
43,NIFTY ALPHA 50,29 Mar 2023,25092.70,25853.85,25092.70,25805.2
44,NIFTY ALPHA 50,28 Mar 2023,25282.30,25332.00,25022.40,25170.55
45,NIFTY ALPHA 50,27 Mar 2023,25587.15,25615.25,25239.20,25280.15
46,NIFTY ALPHA 50,24 Mar 2023,25889.25,25978.50,25485.65,25550.2
47,NIFTY ALPHA 50,23 Mar 2023,25827.15,26016.85,25763.05,25832.45
48,NIFTY ALPHA 50,22 Mar 2023,25849.10,26005.10,25837.60,25946.75
49,NIFTY ALPHA 50,21 Mar 2023,25570.30,25761.40,25481.90,25725.45
50,NIFTY ALPHA 50,20 Mar 2023,25674.05,25841.20,25279.35,25421.75
51,NIFTY ALPHA 50,17 Mar 2023,25929.75,26038.65,25704.35,25863.0
52,NIFTY ALPHA 50,16 Mar 2023,25778.40,25783.30,25300.10,25657.75
53,NIFTY ALPHA 50,15 Mar 2023,25876.25,26070.80,25756.90,25821.3
54,NIFTY ALPHA 50,14 Mar 2023,26134.65,26134.65,25578.40,25746.25
55,NIFTY ALPHA 50,13 Mar 2023,26489.65,26687.60,26067.05,26105.85
56,NIFTY ALPHA 50,10 Mar 2023,26487.60,26575.50,26238.85,26526.95
57,NIFTY ALPHA 50,09 Mar 2023,26917.80,26947.75,26610.25,26661.8
58,NIFTY ALPHA 50,08 Mar 2023,26511.95,26798.35,26420.35,26772.1
59,NIFTY ALPHA 50,06 Mar 2023,26480.55,26727.45,26455.50,26530.5
60,NIFTY ALPHA 50,03 Mar 2023,26102.85,26323.65,26091.85,26250.8
61,NIFTY ALPHA 50,02 Mar 2023,25940.30,25991.35,25817.40,25872.45
62,NIFTY ALPHA 50,01 Mar 2023,25362.10,25887.95,25361.15,25856.25
63,NIFTY ALPHA 50,28 Feb 2023,24984.05,25330.05,24923.70,25277.2
64,NIFTY ALPHA 50,27 Feb 2023,25164.35,25176.30,24831.35,24982.7
65,NIFTY ALPHA 50,24 Feb 2023,25479.15,25598.10,25181.25,25231.05
66,NIFTY ALPHA 50,23 Feb 2023,25433.05,25533.10,25184.60,25413.85
67,NIFTY ALPHA 50,22 Feb 2023,25876.10,25888.45,25410.15,25452.65
68,NIFTY ALPHA 50,21 Feb 2023,26112.35,26227.05,25921.85,25953.9
69,NIFTY ALPHA 50,20 Feb 2023,26102.15,26186.95,25893.75,26049.6
70,NIFTY ALPHA 50,17 Feb 2023,26164.05,26348.35,26057.55,26091.5
71,NIFTY ALPHA 50,16 Feb 2023,25964.90,26273.60,25964.90,26213.8
72,NIFTY ALPHA 50,15 Feb 2023,25776.85,25900.95,25724.70,25874.65
73,NIFTY ALPHA 50,14 Feb 2023,25896.60,25981.80,25729.60,25895.1
74,NIFTY ALPHA 50,13 Feb 2023,26270.10,26311.25,25904.55,25952.25
75,NIFTY ALPHA 50,10 Feb 2023,26174.35,26408.85,26134.25,26307.1
