,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY ALPHA LOW-VOLATILITY 30,05 Jun 2023,18359.10,18398.05,18350.55,18358.45
1,NIFTY ALPHA LOW-VOLATILITY 30,02 Jun 2023,18269.35,18308.85,18230.45,18296.25
2,NIFTY ALPHA LOW-VOLATILITY 30,01 Jun 2023,18215.90,18258.95,18163.90,18211.7
3,NIFTY ALPHA LOW-VOLATILITY 30,31 May 2023,18153.45,18223.90,18090.60,18180.95
4,NIFTY ALPHA LOW-VOLATILITY 30,30 May 2023,18134.70,18187.45,18102.85,18166.45
5,NIFTY ALPHA LOW-VOLATILITY 30,29 May 2023,18138.20,18148.55,18082.00,18118.65
6,NIFTY ALPHA LOW-VOLATILITY 30,26 May 2023,17851.75,18031.10,17830.40,18018.0
7,NIFTY ALPHA LOW-VOLATILITY 30,25 May 2023,17765.40,17886.75,17757.00,17864.4
8,NIFTY ALPHA LOW-VOLATILITY 30,24 May 2023,17717.65,17819.70,17696.65,17756.8
9,NIFTY ALPHA LOW-VOLATILITY 30,23 May 2023,17764.15,17806.40,17722.15,17736.35
10,NIFTY ALPHA LOW-VOLATILITY 30,22 May 2023,17677.90,17756.45,17620.60,17731.5
11,NIFTY ALPHA LOW-VOLATILITY 30,19 May 2023,17772.70,17779.85,17641.70,17700.15
12,NIFTY ALPHA LOW-VOLATILITY 30,18 May 2023,17952.15,17953.30,17715.15,17734.3
13,NIFTY ALPHA LOW-VOLATILITY 30,17 May 2023,17942.25,17960.65,17794.50,17862.05
14,NIFTY ALPHA LOW-VOLATILITY 30,16 May 2023,18056.15,18064.70,17914.60,17930.4
15,NIFTY ALPHA LOW-VOLATILITY 30,15 May 2023,17951.50,18040.05,17899.90,17997.85
16,NIFTY ALPHA LOW-VOLATILITY 30,12 May 2023,17932.40,17982.30,17862.65,17926.25
17,NIFTY ALPHA LOW-VOLATILITY 30,11 May 2023,17931.15,17951.55,17874.05,17933.0
18,NIFTY ALPHA LOW-VOLATILITY 30,10 May 2023,17893.10,17919.00,17845.90,17900.45
19,NIFTY ALPHA LOW-VOLATILITY 30,09 May 2023,17894.20,17914.70,17808.50,17844.0
20,NIFTY ALPHA LOW-VOLATILITY 30,08 May 2023,17741.65,17874.00,17729.50,17855.95
21,NIFTY ALPHA LOW-VOLATILITY 30,05 May 2023,17695.25,17774.80,17649.40,17684.0
22,NIFTY ALPHA LOW-VOLATILITY 30,04 May 2023,17613.65,17698.30,17599.15,17685.85
23,NIFTY ALPHA LOW-VOLATILITY 30,03 May 2023,17626.35,17662.75,17578.30,17608.75
24,NIFTY ALPHA LOW-VOLATILITY 30,02 May 2023,17626.80,17678.85,17610.85,17637.5
25,NIFTY ALPHA LOW-VOLATILITY 30,28 Apr 2023,17425.50,17595.65,17380.85,17571.35
26,NIFTY ALPHA LOW-VOLATILITY 30,27 Apr 2023,17330.75,17408.05,17322.55,17392.05
27,NIFTY ALPHA LOW-VOLATILITY 30,26 Apr 2023,17220.55,17341.00,17188.35,17322.95
28,NIFTY ALPHA LOW-VOLATILITY 30,25 Apr 2023,17138.60,17236.00,17116.65,17208.85
29,NIFTY ALPHA LOW-VOLATILITY 30,24 Apr 2023,17052.05,17133.15,16998.10,17120.9
30,NIFTY ALPHA LOW-VOLATILITY 30,21 Apr 2023,17034.75,17045.85,16974.90,17028.3
31,NIFTY ALPHA LOW-VOLATILITY 30,20 Apr 2023,16961.55,17029.30,16944.85,17003.05
