,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY BANK,05 Jun 2023,44103.25,44266.15,44074.2,44101.65
1,NIFTY BANK,02 Jun 2023,43997.3,44088.9,43812.55,43937.85
2,NIFTY BANK,01 Jun 2023,44172.05,44179.95,43706.15,43790.2
3,NIFTY BANK,31 May 2023,44318.0,44339.05,43822.7,44128.15
4,NIFTY BANK,30 May 2023,44277.35,44498.6,44207.5,44436.35
5,NIFTY BANK,29 May 2023,44276.8,44483.35,44193.95,44311.9
6,NIFTY BANK,26 May 2023,43765.35,44067.6,43588.8,44018.0
7,NIFTY BANK,25 May 2023,43630.25,43719.85,43390.3,43681.4
8,NIFTY BANK,24 May 2023,43751.95,44010.45,43639.8,43677.85
9,NIFTY BANK,23 May 2023,43978.9,44095.25,43852.2,43954.45
10,NIFTY BANK,22 May 2023,43935.3,44026.75,43684.9,43885.1
11,NIFTY BANK,19 May 2023,43930.0,44020.9,43531.9,43969.4
12,NIFTY BANK,18 May 2023,44006.9,44079.2,43673.7,43752.3
13,NIFTY BANK,17 May 2023,43948.5,43992.75,43446.4,43698.7
14,NIFTY BANK,16 May 2023,44144.15,44144.15,43815.7,43903.7
15,NIFTY BANK,15 May 2023,43821.05,44151.7,43666.6,44072.1
16,NIFTY BANK,12 May 2023,43447.15,43905.95,43347.75,43793.55
17,NIFTY BANK,11 May 2023,43535.1,43774.25,43367.25,43475.3
18,NIFTY BANK,10 May 2023,43275.25,43383.65,42822.15,43331.05
19,NIFTY BANK,09 May 2023,43438.55,43533.25,43125.85,43198.15
20,NIFTY BANK,08 May 2023,42796.85,43418.55,42780.3,43284.0
21,NIFTY BANK,05 May 2023,43110.65,43588.0,42582.2,42661.2
22,NIFTY BANK,04 May 2023,43236.1,43739.8,43213.95,43685.45
23,NIFTY BANK,03 May 2023,43154.85,43354.95,43078.15,43312.7
24,NIFTY BANK,02 May 2023,43395.05,43483.85,43269.4,43352.1
25,NIFTY BANK,28 Apr 2023,43045.5,43302.05,42810.35,43233.9
26,NIFTY BANK,27 Apr 2023,42753.9,43043.4,42736.6,43000.85
27,NIFTY BANK,26 Apr 2023,42559.05,42875.6,42432.25,42829.9
28,NIFTY BANK,25 Apr 2023,42731.6,42865.55,42601.5,42678.5
29,NIFTY BANK,24 Apr 2023,42469.95,42714.15,42269.1,42635.75
30,NIFTY BANK,21 Apr 2023,42252.55,42382.15,41962.35,42118.0
31,NIFTY BANK,20 Apr 2023,42218.5,42378.15,42108.85,42269.5
32,NIFTY BANK,19 Apr 2023,42280.1,42339.9,42022.15,42154.0
33,NIFTY BANK,18 Apr 2023,42406.95,42500.7,42114.35,42265.2
34,NIFTY BANK,17 Apr 2023,42603.55,42603.55,41799.0,42262.55
35,NIFTY BANK,13 Apr 2023,41680.1,42196.2,41502.65,42132.55
36,NIFTY BANK,12 Apr 2023,41426.0,41610.15,41332.0,41557.95
37,NIFTY BANK,11 Apr 2023,41232.0,41403.25,40990.2,41366.5
38,NIFTY BANK,10 Apr 2023,41116.15,41139.85,40727.25,40834.65
39,NIFTY BANK,06 Apr 2023,40940.7,41274.7,40820.55,41041.0
40,NIFTY BANK,05 Apr 2023,40972.3,41071.15,40802.65,40999.15
41,NIFTY BANK,03 Apr 2023,40695.8,40857.6,40535.9,40813.05
42,NIFTY BANK,31 Mar 2023,40231.25,40690.4,40180.2,40608.65
43,NIFTY BANK,29 Mar 2023,39611.55,40055.0,39609.55,39910.15
44,NIFTY BANK,28 Mar 2023,39545.05,39645.2,39326.1,39567.9
45,NIFTY BANK,27 Mar 2023,39484.7,39695.2,39273.75,39431.3
46,NIFTY BANK,24 Mar 2023,39555.25,39767.9,39294.9,39395.35
47,NIFTY BANK,23 Mar 2023,39836.15,40201.6,39552.5,39616.9
48,NIFTY BANK,22 Mar 2023,40036.0,40085.6,39837.8,39999.05
49,NIFTY BANK,21 Mar 2023,39599.65,39970.9,39366.3,39894.7
50,NIFTY BANK,20 Mar 2023,39512.1,39512.1,38941.9,39361.95
51,NIFTY BANK,17 Mar 2023,39442.4,39705.15,38926.8,39598.1
52,NIFTY BANK,16 Mar 2023,39061.7,39381.4,38613.15,39132.6
53,NIFTY BANK,15 Mar 2023,39777.9,39914.1,38934.65,39051.5
54,NIFTY BANK,14 Mar 2023,39522.4,39768.5,39132.6,39411.4
55,NIFTY BANK,13 Mar 2023,40356.1,40690.05,39454.6,39564.7
56,NIFTY BANK,10 Mar 2023,40805.25,40839.0,40341.7,40485.45
57,NIFTY BANK,09 Mar 2023,41532.65,41659.0,41208.1,41256.75
