,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY COMMODITIES,05 Jun 2023,5887.7,5894.1,5867.25,5886.75
1,NIFTY COMMODITIES,02 Jun 2023,5851.4,5872.85,5841.0,5860.6
2,NIFTY COMMODITIES,01 Jun 2023,5848.45,5861.25,5820.75,5828.35
3,NIFTY COMMODITIES,31 May 2023,5886.15,5888.4,5831.6,5845.4
4,NIFTY COMMODITIES,30 May 2023,5915.9,5941.8,5895.25,5898.75
5,NIFTY COMMODITIES,29 May 2023,5879.05,5911.2,5863.8,5903.75
6,NIFTY COMMODITIES,26 May 2023,5818.6,5864.8,5810.2,5860.7
7,NIFTY COMMODITIES,25 May 2023,5802.3,5809.4,5767.8,5800.65
8,NIFTY COMMODITIES,24 May 2023,5816.3,5831.7,5793.7,5808.9
9,NIFTY COMMODITIES,23 May 2023,5822.65,5843.2,5814.3,5819.8
10,NIFTY COMMODITIES,22 May 2023,5755.0,5800.55,5743.0,5795.4
11,NIFTY COMMODITIES,19 May 2023,5739.05,5755.85,5679.6,5749.95
12,NIFTY COMMODITIES,18 May 2023,5813.85,5818.15,5727.65,5734.5
13,NIFTY COMMODITIES,17 May 2023,5824.05,5833.55,5764.45,5786.3
14,NIFTY COMMODITIES,16 May 2023,5842.5,5855.45,5812.5,5818.0
15,NIFTY COMMODITIES,15 May 2023,5825.15,5838.6,5793.35,5817.95
16,NIFTY COMMODITIES,12 May 2023,5869.15,5870.85,5813.05,5816.5
17,NIFTY COMMODITIES,11 May 2023,5893.0,5902.75,5868.35,5877.8
18,NIFTY COMMODITIES,10 May 2023,5877.65,5884.0,5854.65,5880.65
19,NIFTY COMMODITIES,09 May 2023,5881.9,5912.85,5851.8,5867.5
20,NIFTY COMMODITIES,08 May 2023,5835.6,5883.55,5823.65,5875.15
21,NIFTY COMMODITIES,05 May 2023,5858.3,5864.15,5814.55,5823.45
22,NIFTY COMMODITIES,04 May 2023,5836.05,5867.0,5824.7,5861.2
23,NIFTY COMMODITIES,03 May 2023,5836.05,5840.6,5807.1,5828.4
24,NIFTY COMMODITIES,02 May 2023,5806.7,5860.0,5804.35,5845.25
25,NIFTY COMMODITIES,28 Apr 2023,5737.25,5786.6,5724.35,5781.65
26,NIFTY COMMODITIES,27 Apr 2023,5680.6,5716.85,5671.7,5712.8
27,NIFTY COMMODITIES,26 Apr 2023,5676.6,5681.9,5646.1,5678.65
28,NIFTY COMMODITIES,25 Apr 2023,5665.75,5702.05,5664.2,5686.9
29,NIFTY COMMODITIES,24 Apr 2023,5648.6,5674.05,5631.7,5669.25
30,NIFTY COMMODITIES,21 Apr 2023,5685.5,5686.95,5626.35,5645.05
31,NIFTY COMMODITIES,20 Apr 2023,5691.1,5697.0,5665.9,5675.7
32,NIFTY COMMODITIES,19 Apr 2023,5698.1,5719.15,5667.5,5681.7
33,NIFTY COMMODITIES,18 Apr 2023,5713.4,5726.1,5666.35,5693.8
34,NIFTY COMMODITIES,17 Apr 2023,5694.7,5706.0,5678.6,5701.15
35,NIFTY COMMODITIES,13 Apr 2023,5694.7,5711.2,5655.05,5678.6
36,NIFTY COMMODITIES,12 Apr 2023,5707.45,5715.3,5678.55,5690.95
37,NIFTY COMMODITIES,11 Apr 2023,5650.55,5690.4,5645.5,5687.55
38,NIFTY COMMODITIES,10 Apr 2023,5598.0,5640.75,5594.85,5627.75
39,NIFTY COMMODITIES,06 Apr 2023,5570.95,5597.85,5553.25,5580.4
40,NIFTY COMMODITIES,05 Apr 2023,5559.25,5574.65,5536.1,5567.85
41,NIFTY COMMODITIES,03 Apr 2023,5579.25,5581.15,5539.85,5555.25
42,NIFTY COMMODITIES,31 Mar 2023,5520.0,5577.1,5517.75,5554.2
43,NIFTY COMMODITIES,29 Mar 2023,5431.7,5498.45,5421.2,5483.55
44,NIFTY COMMODITIES,28 Mar 2023,5466.05,5468.6,5414.15,5432.4
45,NIFTY COMMODITIES,27 Mar 2023,5466.2,5499.6,5451.65,5459.25
46,NIFTY COMMODITIES,24 Mar 2023,5537.8,5538.0,5447.1,5454.9
47,NIFTY COMMODITIES,23 Mar 2023,5519.0,5546.6,5510.75,5522.3
48,NIFTY COMMODITIES,22 Mar 2023,5536.9,5553.1,5518.1,5528.2
49,NIFTY COMMODITIES,21 Mar 2023,5499.05,5523.8,5483.85,5514.95
50,NIFTY COMMODITIES,20 Mar 2023,5492.85,5495.2,5422.2,5472.4
51,NIFTY COMMODITIES,17 Mar 2023,5511.45,5532.6,5473.1,5514.55
52,NIFTY COMMODITIES,16 Mar 2023,5468.55,5478.0,5386.1,5458.75
53,NIFTY COMMODITIES,15 Mar 2023,5494.25,5510.4,5463.25,5470.65
54,NIFTY COMMODITIES,14 Mar 2023,5477.2,5499.35,5417.95,5450.65
55,NIFTY COMMODITIES,13 Mar 2023,5551.45,5579.05,5455.3,5472.35
56,NIFTY COMMODITIES,10 Mar 2023,5507.75,5546.15,5477.4,5539.5
57,NIFTY COMMODITIES,09 Mar 2023,5587.3,5608.3,5541.05,5548.7
58,NIFTY COMMODITIES,08 Mar 2023,5523.55,5571.75,5496.85,5566.95
59,NIFTY COMMODITIES,06 Mar 2023,5549.7,5573.75,5531.15,5542.5
60,NIFTY COMMODITIES,03 Mar 2023,5501.0,5538.55,5491.65,5522.65
61,NIFTY COMMODITIES,02 Mar 2023,5465.6,5476.35,5451.45,5461.05
62,NIFTY COMMODITIES,01 Mar 2023,5388.45,5462.55,5385.85,5457.75
63,NIFTY COMMODITIES,28 Feb 2023,5409.55,5416.2,5353.55,5372.2
64,NIFTY COMMODITIES,27 Feb 2023,5458.6,5461.15,5362.7,5412.05
65,NIFTY COMMODITIES,24 Feb 2023,5515.5,5526.3,5453.25,5468.5
66,NIFTY COMMODITIES,23 Feb 2023,5515.05,5544.45,5490.25,5499.1
67,NIFTY COMMODITIES,22 Feb 2023,5596.4,5598.2,5482.75,5505.65
68,NIFTY COMMODITIES,21 Feb 2023,5639.15,5661.0,5604.6,5611.3
69,NIFTY COMMODITIES,20 Feb 2023,5627.95,5649.15,5594.5,5618.75
70,NIFTY COMMODITIES,17 Feb 2023,5600.7,5656.5,5591.5,5631.0
71,NIFTY COMMODITIES,16 Feb 2023,5588.1,5616.8,5581.95,5612.0
72,NIFTY COMMODITIES,15 Feb 2023,5512.2,5564.1,5510.3,5556.2
73,NIFTY COMMODITIES,14 Feb 2023,5520.6,5532.0,5490.75,5521.65
74,NIFTY COMMODITIES,13 Feb 2023,5537.5,5558.85,5501.65,5512.05
75,NIFTY COMMODITIES,10 Feb 2023,5552.9,5555.75,5519.4,5537.8
76,NIFTY COMMODITIES,09 Feb 2023,5582.95,5593.0,5540.2,5563.65
77,NIFTY COMMODITIES,08 Feb 2023,5550.25,5598.2,5541.35,5586.35
78,NIFTY COMMODITIES,07 Feb 2023,5553.15,5574.05,5502.55,5533.35
79,NIFTY COMMODITIES,06 Feb 2023,5595.3,5597.3,5547.3,5579.4
80,NIFTY COMMODITIES,03 Feb 2023,5605.8,5621.1,5510.05,5616.85
81,NIFTY COMMODITIES,02 Feb 2023,5636.2,5642.15,5568.6,5602.15
82,NIFTY COMMODITIES,01 Feb 2023,5746.0,5770.25,5550.25,5657.85
83,NIFTY COMMODITIES,31 Jan 2023,5650.5,5721.55,5633.6,5701.7
84,NIFTY COMMODITIES,30 Jan 2023,5650.65,5747.4,5553.5,5625.2
85,NIFTY COMMODITIES,27 Jan 2023,5822.6,5827.85,5579.8,5660.85
86,NIFTY COMMODITIES,25 Jan 2023,5876.5,5884.5,5803.25,5818.95
87,NIFTY COMMODITIES,24 Jan 2023,5956.5,5963.5,5879.95,5888.35
88,NIFTY COMMODITIES,23 Jan 2023,6009.65,6018.7,5933.45,5939.35
89,NIFTY COMMODITIES,20 Jan 2023,6047.1,6059.75,5988.5,5995.1
90,NIFTY COMMODITIES,19 Jan 2023,6030.1,6054.4,6002.15,6038.0
91,NIFTY COMMODITIES,18 Jan 2023,6018.9,6058.95,6014.7,6049.7
92,NIFTY COMMODITIES,17 Jan 2023,5985.5,6020.0,5964.45,6012.7
93,NIFTY COMMODITIES,16 Jan 2023,6005.75,6015.1,5953.5,5978.0
94,NIFTY COMMODITIES,13 Jan 2023,5951.85,5989.25,5942.05,5984.85
95,NIFTY COMMODITIES,12 Jan 2023,5968.15,5972.15,5919.05,5942.35
96,NIFTY COMMODITIES,11 Jan 2023,5975.65,5985.2,5935.65,5948.15
97,NIFTY COMMODITIES,10 Jan 2023,5992.5,6000.85,5910.55,5956.9
98,NIFTY COMMODITIES,09 Jan 2023,5954.7,5982.9,5942.2,5975.2
99,NIFTY COMMODITIES,06 Jan 2023,5953.75,5962.5,5887.8,5907.05
100,NIFTY COMMODITIES,05 Jan 2023,5924.5,5948.9,5888.7,5940.8
101,NIFTY COMMODITIES,04 Jan 2023,6008.2,6011.85,5893.25,5901.3
102,NIFTY COMMODITIES,03 Jan 2023,6023.4,6027.4,5993.0,6004.5
103,NIFTY COMMODITIES,02 Jan 2023,5968.05,6026.3,5966.25,6020.0
104,NIFTY COMMODITIES,30 Dec 2022,5959.3,6004.5,5933.5,5944.1
105,NIFTY COMMODITIES,29 Dec 2022,5891.1,5945.7,5865.7,5930.2
106,NIFTY COMMODITIES,28 Dec 2022,5918.75,5950.8,5906.7,5923.15
107,NIFTY COMMODITIES,27 Dec 2022,5852.55,5937.35,5843.35,5930.15
108,NIFTY COMMODITIES,26 Dec 2022,5708.05,5839.7,5666.35,5813.4
109,NIFTY COMMODITIES,23 Dec 2022,5857.3,5883.4,5683.75,5701.25
110,NIFTY COMMODITIES,22 Dec 2022,5974.6,5997.0,5860.6,5909.5
111,NIFTY COMMODITIES,21 Dec 2022,6058.65,6075.6,5931.1,5949.4
112,NIFTY COMMODITIES,20 Dec 2022,6043.75,6046.65,5963.15,6037.55
113,NIFTY COMMODITIES,19 Dec 2022,6027.15,6065.15,6000.8,6060.05
114,NIFTY COMMODITIES,16 Dec 2022,6057.75,6092.9,6005.3,6017.4
115,NIFTY COMMODITIES,15 Dec 2022,6136.65,6159.35,6060.1,6074.0
116,NIFTY COMMODITIES,14 Dec 2022,6112.1,6154.75,6110.1,6142.2
117,NIFTY COMMODITIES,13 Dec 2022,6115.9,6121.05,6079.5,6092.05
118,NIFTY COMMODITIES,12 Dec 2022,6053.35,6100.3,6004.3,6092.4
119,NIFTY COMMODITIES,09 Dec 2022,6154.7,6167.5,6036.85,6069.6
120,NIFTY COMMODITIES,08 Dec 2022,6120.7,6136.0,6106.05,6128.85
121,NIFTY COMMODITIES,07 Dec 2022,6161.0,6166.1,6088.25,6101.65
122,NIFTY COMMODITIES,06 Dec 2022,6169.65,6171.75,6132.05,6155.6
123,NIFTY COMMODITIES,05 Dec 2022,6165.3,6189.05,6136.9,6182.75
124,NIFTY COMMODITIES,02 Dec 2022,6142.8,6156.45,6115.0,6144.2
125,NIFTY COMMODITIES,01 Dec 2022,6111.1,6149.65,6091.7,6135.65
126,NIFTY COMMODITIES,30 Nov 2022,5987.4,6102.15,5984.7,6083.95
127,NIFTY COMMODITIES,29 Nov 2022,5972.3,6006.9,5969.1,5981.1
128,NIFTY COMMODITIES,28 Nov 2022,5932.2,5968.85,5908.2,5961.45
129,NIFTY COMMODITIES,25 Nov 2022,5921.55,5947.7,5892.35,5941.9
130,NIFTY COMMODITIES,24 Nov 2022,5892.95,5914.6,5880.85,5906.2
131,NIFTY COMMODITIES,23 Nov 2022,5874.6,5885.25,5851.05,5873.25
132,NIFTY COMMODITIES,22 Nov 2022,5821.5,5855.15,5808.25,5849.15
133,NIFTY COMMODITIES,21 Nov 2022,5881.4,5882.7,5810.2,5816.4
134,NIFTY COMMODITIES,18 Nov 2022,5919.85,5926.3,5826.7,5867.75
135,NIFTY COMMODITIES,17 Nov 2022,5924.45,5926.95,5889.6,5903.5
136,NIFTY COMMODITIES,16 Nov 2022,6002.3,6005.7,5904.05,5932.8
137,NIFTY COMMODITIES,15 Nov 2022,5989.95,6006.45,5971.6,5999.95
138,NIFTY COMMODITIES,14 Nov 2022,5960.6,5991.7,5953.1,5972.1
139,NIFTY COMMODITIES,11 Nov 2022,5929.95,5959.3,5921.45,5939.7
140,NIFTY COMMODITIES,10 Nov 2022,5920.95,5931.6,5860.35,5873.75
141,NIFTY COMMODITIES,09 Nov 2022,6004.8,6007.3,5936.2,5949.75
142,NIFTY COMMODITIES,07 Nov 2022,5948.85,5981.15,5934.4,5971.75
143,NIFTY COMMODITIES,04 Nov 2022,5854.85,5930.9,5852.65,5924.9
144,NIFTY COMMODITIES,03 Nov 2022,5824.6,5866.7,5814.8,5844.4
145,Nifty Commodities,02 Nov 2022,5857.9,5886.65,5845.3,5859.15
146,Nifty Commodities,01 Nov 2022,5798.55,5859.35,5792.3,5853.3
147,NIFTY COMMODITIES,31 Oct 2022,5733.05,5791.1,5720.35,5786.85
148,NIFTY COMMODITIES,28 Oct 2022,5748.3,5748.65,5701.25,5725.0
149,NIFTY COMMODITIES,27 Oct 2022,5690.8,5749.75,5687.75,5737.1
150,NIFTY COMMODITIES,25 Oct 2022,5659.3,5677.15,5628.25,5650.1
151,NIFTY COMMODITIES,24 Oct 2022,5666.3,5676.75,5646.15,5654.15
