,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY CONSR DURBL,05 Jun 2023,26397.85,26526.85,26320.65,26468.95
1,NIFTY CONSR DURBL,02 Jun 2023,26240.75,26367.3,26232.45,26302.2
2,NIFTY CONSR DURBL,01 Jun 2023,26113.75,26367.4,26084.15,26177.25
3,NIFTY CONSR DURBL,31 May 2023,25881.65,26122.25,25845.05,26083.75
4,NIFTY CONSR DURBL,30 May 2023,26036.3,26096.6,25857.65,25888.6
5,NIFTY CONSR DURBL,29 May 2023,25720.55,25993.15,25694.5,25955.35
6,NIFTY CONSR DURBL,26 May 2023,25456.05,25683.0,25412.25,25625.2
7,NIFTY CONSR DURBL,25 May 2023,25378.9,25487.95,25272.65,25436.55
8,NIFTY CONSR DURBL,24 May 2023,24972.2,25377.75,24902.35,25321.9
9,NIFTY CONSR DURBL,23 May 2023,25085.7,25105.0,24937.0,24971.2
10,NIFTY CONSR DURBL,22 May 2023,24807.6,25188.3,24800.4,25022.7
11,NIFTY CONSR DURBL,19 May 2023,24865.4,24868.75,24655.6,24785.75
12,NIFTY CONSR DURBL,18 May 2023,25111.45,25122.65,24776.85,24828.95
13,NIFTY CONSR DURBL,17 May 2023,25217.3,25242.25,24909.75,25011.5
14,NIFTY CONSR DURBL,16 May 2023,25191.6,25288.4,25113.0,25134.4
15,NIFTY CONSR DURBL,15 May 2023,25100.95,25222.15,25053.7,25128.9
16,NIFTY CONSR DURBL,12 May 2023,25039.25,25223.9,24987.2,25084.8
17,NIFTY CONSR DURBL,11 May 2023,24904.5,25035.35,24848.15,25002.4
18,NIFTY CONSR DURBL,10 May 2023,24771.9,24803.7,24642.7,24780.25
19,NIFTY CONSR DURBL,09 May 2023,24840.85,24972.4,24665.35,24706.2
20,NIFTY CONSR DURBL,08 May 2023,24819.1,24954.75,24756.35,24786.2
21,NIFTY CONSR DURBL,05 May 2023,24611.05,24922.65,24542.7,24778.7
22,NIFTY CONSR DURBL,04 May 2023,24474.35,24534.25,24304.55,24506.3
23,NIFTY CONSR DURBL,03 May 2023,24383.55,24406.85,24291.8,24340.2
24,NIFTY CONSR DURBL,02 May 2023,24410.45,24449.35,24280.05,24351.0
25,NIFTY CONSR DURBL,28 Apr 2023,24414.8,24414.8,24109.05,24276.35
26,NIFTY CONSR DURBL,27 Apr 2023,24238.9,24381.6,24214.65,24351.7
27,NIFTY CONSR DURBL,26 Apr 2023,24287.1,24374.1,24231.85,24273.95
28,NIFTY CONSR DURBL,25 Apr 2023,24447.8,24447.8,24163.05,24265.9
29,NIFTY CONSR DURBL,24 Apr 2023,24472.9,24584.6,24374.7,24558.8
30,NIFTY CONSR DURBL,21 Apr 2023,24561.5,24637.5,24395.3,24429.75
31,NIFTY CONSR DURBL,20 Apr 2023,24449.9,24598.05,24428.3,24504.7
32,NIFTY CONSR DURBL,19 Apr 2023,24465.0,24561.45,24385.0,24416.45
33,NIFTY CONSR DURBL,18 Apr 2023,24504.9,24518.4,24299.4,24399.45
34,NIFTY CONSR DURBL,17 Apr 2023,24408.0,24538.1,24305.15,24488.1
35,NIFTY CONSR DURBL,13 Apr 2023,24319.2,24398.25,24295.45,24354.75
36,NIFTY CONSR DURBL,12 Apr 2023,24279.4,24383.4,24177.3,24292.55
37,NIFTY CONSR DURBL,11 Apr 2023,24373.25,24482.2,24203.8,24246.95
38,NIFTY CONSR DURBL,10 Apr 2023,24380.7,24457.45,24199.1,24340.65
39,NIFTY CONSR DURBL,06 Apr 2023,24420.75,24429.2,24217.9,24262.05
40,NIFTY CONSR DURBL,05 Apr 2023,24307.85,24433.3,24243.3,24391.0
41,NIFTY CONSR DURBL,03 Apr 2023,24111.95,24214.5,24063.65,24200.9
42,NIFTY CONSR DURBL,31 Mar 2023,23988.65,24076.05,23921.6,24035.1
43,NIFTY CONSR DURBL,29 Mar 2023,23683.2,23932.45,23644.2,23882.75
44,NIFTY CONSR DURBL,28 Mar 2023,23844.6,23866.35,23607.75,23707.7
45,NIFTY CONSR DURBL,27 Mar 2023,23936.55,24007.65,23750.05,23805.95
46,NIFTY CONSR DURBL,24 Mar 2023,24179.2,24184.65,23882.45,23957.15
47,NIFTY CONSR DURBL,23 Mar 2023,24160.15,24243.1,24111.75,24194.1
48,NIFTY CONSR DURBL,22 Mar 2023,24276.59,24309.84,24169.54,24192.05
49,NIFTY CONSR DURBL,21 Mar 2023,23985.65,24286.2,23954.6,24221.3
50,NIFTY CONSR DURBL,20 Mar 2023,24184.85,24232.55,23689.15,23867.35
51,NIFTY CONSR DURBL,17 Mar 2023,24085.95,24093.05,23933.0,24024.95
52,NIFTY CONSR DURBL,16 Mar 2023,23835.3,24069.0,23765.3,23890.25
53,NIFTY CONSR DURBL,15 Mar 2023,23808.6,23907.0,23758.85,23794.5
54,NIFTY CONSR DURBL,14 Mar 2023,23777.85,23851.4,23541.3,23599.6
55,NIFTY CONSR DURBL,13 Mar 2023,24015.1,24037.9,23635.0,23748.5
56,NIFTY CONSR DURBL,10 Mar 2023,23862.1,24077.95,23721.0,24041.85
57,NIFTY CONSR DURBL,09 Mar 2023,24312.05,24339.4,23947.9,23976.55
58,NIFTY CONSR DURBL,08 Mar 2023,24330.05,24340.5,24133.7,24273.9
59,NIFTY CONSR DURBL,06 Mar 2023,24344.75,24435.45,24312.15,24378.7
60,NIFTY CONSR DURBL,03 Mar 2023,24107.25,24291.35,24078.5,24220.85
61,NIFTY CONSR DURBL,02 Mar 2023,24172.4,24210.2,23981.3,24016.4
62,NIFTY CONSR DURBL,01 Mar 2023,24007.5,24198.45,23994.3,24162.3
63,NIFTY CONSR DURBL,28 Feb 2023,23907.7,24200.15,23816.15,23978.7
64,NIFTY CONSR DURBL,27 Feb 2023,24034.55,24047.0,23664.5,23876.85
65,NIFTY CONSR DURBL,24 Feb 2023,24012.3,24076.2,23924.35,24022.0
66,NIFTY CONSR DURBL,23 Feb 2023,24203.95,24203.95,23868.4,23938.3
67,NIFTY CONSR DURBL,22 Feb 2023,24224.75,24315.95,24063.85,24151.85
68,NIFTY CONSR DURBL,21 Feb 2023,24363.7,24367.9,24213.75,24302.45
69,NIFTY CONSR DURBL,20 Feb 2023,24498.35,24532.25,24247.3,24293.9
70,NIFTY CONSR DURBL,17 Feb 2023,24507.9,24606.25,24408.2,24450.85
71,NIFTY CONSR DURBL,16 Feb 2023,24669.55,24688.35,24533.05,24574.7
72,NIFTY CONSR DURBL,15 Feb 2023,24412.75,24627.0,24325.0,24582.45
73,NIFTY CONSR DURBL,14 Feb 2023,24549.6,24582.1,24358.95,24471.55
74,NIFTY CONSR DURBL,13 Feb 2023,24659.65,24751.75,24470.7,24516.05
75,NIFTY CONSR DURBL,10 Feb 2023,24444.6,24675.95,24411.5,24634.55
76,NIFTY CONSR DURBL,09 Feb 2023,24609.55,24634.75,24447.9,24556.35
77,NIFTY CONSR DURBL,08 Feb 2023,24438.25,24625.3,24358.75,24594.4
78,NIFTY CONSR DURBL,07 Feb 2023,24601.05,24625.05,24358.1,24421.35
79,NIFTY CONSR DURBL,06 Feb 2023,24553.65,24651.65,24478.4,24569.2
80,NIFTY CONSR DURBL,03 Feb 2023,24057.85,24600.5,24025.3,24519.3
81,NIFTY CONSR DURBL,02 Feb 2023,23944.8,24389.8,23937.3,24139.55
82,NIFTY CONSR DURBL,01 Feb 2023,24307.6,24509.45,23756.5,24071.75
83,NIFTY CONSR DURBL,31 Jan 2023,23881.3,24215.5,23746.0,24149.8
84,NIFTY CONSR DURBL,30 Jan 2023,23694.9,23863.65,23468.2,23836.25
85,NIFTY CONSR DURBL,27 Jan 2023,24217.3,24244.4,23483.65,23728.3
