,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY CONSUMPTION,05 Jun 2023,8076.05,8088.3,8058.25,8062.75
1,NIFTY CONSUMPTION,02 Jun 2023,8015.1,8060.65,8004.15,8055.6
2,NIFTY CONSUMPTION,01 Jun 2023,7986.35,8014.75,7961.4,7990.8
3,NIFTY CONSUMPTION,31 May 2023,7931.35,8010.35,7914.55,7969.75
4,NIFTY CONSUMPTION,30 May 2023,7938.6,7951.05,7916.7,7931.35
5,NIFTY CONSUMPTION,29 May 2023,7920.25,7938.0,7891.45,7924.7
6,NIFTY CONSUMPTION,26 May 2023,7819.2,7871.8,7800.75,7867.8
7,NIFTY CONSUMPTION,25 May 2023,7761.35,7820.55,7754.85,7808.85
8,NIFTY CONSUMPTION,24 May 2023,7720.95,7765.15,7706.8,7750.05
9,NIFTY CONSUMPTION,23 May 2023,7728.95,7750.65,7718.85,7726.6
10,NIFTY CONSUMPTION,22 May 2023,7681.4,7724.4,7664.4,7712.2
11,NIFTY CONSUMPTION,19 May 2023,7681.75,7688.45,7608.45,7681.2
12,NIFTY CONSUMPTION,18 May 2023,7766.15,7766.15,7661.75,7669.6
13,NIFTY CONSUMPTION,17 May 2023,7762.15,7772.45,7701.25,7731.9
14,NIFTY CONSUMPTION,16 May 2023,7816.0,7820.0,7750.65,7756.9
15,NIFTY CONSUMPTION,15 May 2023,7755.0,7821.6,7743.7,7796.35
16,NIFTY CONSUMPTION,12 May 2023,7716.95,7765.05,7701.35,7749.0
17,NIFTY CONSUMPTION,11 May 2023,7692.3,7722.35,7660.3,7715.6
18,NIFTY CONSUMPTION,10 May 2023,7659.35,7670.3,7635.15,7666.1
19,NIFTY CONSUMPTION,09 May 2023,7671.75,7680.65,7621.55,7640.8
20,NIFTY CONSUMPTION,08 May 2023,7615.25,7659.8,7607.1,7653.6
21,NIFTY CONSUMPTION,05 May 2023,7567.5,7612.5,7560.75,7592.4
22,NIFTY CONSUMPTION,04 May 2023,7541.05,7569.25,7525.0,7564.75
23,NIFTY CONSUMPTION,03 May 2023,7530.4,7558.3,7507.1,7536.85
24,NIFTY CONSUMPTION,02 May 2023,7522.2,7547.4,7509.8,7522.65
25,NIFTY CONSUMPTION,28 Apr 2023,7448.4,7517.95,7419.3,7502.05
26,NIFTY CONSUMPTION,27 Apr 2023,7417.05,7448.0,7405.85,7439.2
27,NIFTY CONSUMPTION,26 Apr 2023,7396.4,7418.55,7376.5,7411.85
28,NIFTY CONSUMPTION,25 Apr 2023,7368.5,7389.4,7344.95,7384.85
29,NIFTY CONSUMPTION,24 Apr 2023,7356.05,7368.15,7322.05,7363.9
30,NIFTY CONSUMPTION,21 Apr 2023,7340.25,7352.3,7324.7,7344.05
31,NIFTY CONSUMPTION,20 Apr 2023,7328.5,7355.95,7319.2,7339.3
32,NIFTY CONSUMPTION,19 Apr 2023,7341.75,7351.45,7310.35,7323.0
33,NIFTY CONSUMPTION,18 Apr 2023,7366.2,7370.35,7323.1,7348.35
34,NIFTY CONSUMPTION,17 Apr 2023,7371.7,7371.7,7322.45,7352.6
35,NIFTY CONSUMPTION,13 Apr 2023,7310.6,7336.75,7301.9,7319.3
36,NIFTY CONSUMPTION,12 Apr 2023,7304.9,7314.4,7279.9,7304.85
37,NIFTY CONSUMPTION,11 Apr 2023,7270.4,7293.2,7259.2,7288.7
38,NIFTY CONSUMPTION,10 Apr 2023,7243.5,7257.5,7219.05,7240.2
39,NIFTY CONSUMPTION,06 Apr 2023,7243.3,7252.5,7197.75,7235.1
40,NIFTY CONSUMPTION,05 Apr 2023,7199.85,7249.0,7183.95,7241.4
41,NIFTY CONSUMPTION,03 Apr 2023,7200.85,7202.6,7159.75,7197.85
42,NIFTY CONSUMPTION,31 Mar 2023,7131.65,7170.8,7120.3,7161.5
43,NIFTY CONSUMPTION,29 Mar 2023,7051.85,7118.15,7049.35,7104.6
44,NIFTY CONSUMPTION,28 Mar 2023,7108.9,7117.9,7040.0,7050.25
45,NIFTY CONSUMPTION,27 Mar 2023,7110.9,7142.7,7081.8,7102.75
46,NIFTY CONSUMPTION,24 Mar 2023,7152.1,7165.45,7097.0,7107.1
47,NIFTY CONSUMPTION,23 Mar 2023,7128.2,7167.75,7109.45,7155.05
48,NIFTY CONSUMPTION,22 Mar 2023,7132.2,7148.5,7114.85,7135.8
49,NIFTY CONSUMPTION,21 Mar 2023,7151.95,7160.4,7111.65,7115.7
50,NIFTY CONSUMPTION,20 Mar 2023,7112.35,7137.85,7042.05,7131.2
51,NIFTY CONSUMPTION,17 Mar 2023,7167.25,7167.35,7090.0,7126.0
52,NIFTY CONSUMPTION,16 Mar 2023,7058.45,7144.35,7042.55,7120.55
53,NIFTY CONSUMPTION,15 Mar 2023,7082.85,7106.2,7039.6,7047.5
54,NIFTY CONSUMPTION,14 Mar 2023,7109.3,7115.25,7040.5,7059.95
55,NIFTY CONSUMPTION,13 Mar 2023,7183.5,7208.65,7076.4,7097.0
56,NIFTY CONSUMPTION,10 Mar 2023,7165.5,7183.1,7135.8,7178.6
57,NIFTY CONSUMPTION,09 Mar 2023,7285.45,7285.45,7180.6,7186.55
58,NIFTY CONSUMPTION,08 Mar 2023,7218.7,7252.6,7186.0,7247.75
59,NIFTY CONSUMPTION,06 Mar 2023,7219.55,7254.6,7212.55,7226.2
60,NIFTY CONSUMPTION,03 Mar 2023,7141.55,7202.95,7137.15,7191.7
61,NIFTY CONSUMPTION,02 Mar 2023,7168.4,7170.65,7105.0,7108.9
62,NIFTY CONSUMPTION,01 Mar 2023,7114.65,7164.8,7114.65,7156.95
63,NIFTY CONSUMPTION,28 Feb 2023,7128.8,7161.0,7096.6,7116.35
64,NIFTY CONSUMPTION,27 Feb 2023,7164.05,7167.25,7076.3,7118.6
65,NIFTY CONSUMPTION,24 Feb 2023,7229.0,7229.95,7162.45,7177.7
66,NIFTY CONSUMPTION,23 Feb 2023,7254.65,7255.9,7183.1,7207.95
67,NIFTY CONSUMPTION,22 Feb 2023,7294.1,7297.3,7242.7,7250.5
68,NIFTY CONSUMPTION,21 Feb 2023,7341.1,7344.75,7302.85,7311.4
69,NIFTY CONSUMPTION,20 Feb 2023,7356.65,7367.65,7313.0,7319.55
70,NIFTY CONSUMPTION,17 Feb 2023,7369.35,7392.95,7326.5,7345.55
71,NIFTY CONSUMPTION,16 Feb 2023,7404.2,7425.95,7376.5,7387.85
72,NIFTY CONSUMPTION,15 Feb 2023,7315.4,7394.0,7301.85,7386.7
73,NIFTY CONSUMPTION,14 Feb 2023,7337.05,7371.2,7314.1,7347.05
74,NIFTY CONSUMPTION,13 Feb 2023,7361.45,7379.3,7312.4,7330.0
75,NIFTY CONSUMPTION,10 Feb 2023,7366.25,7382.95,7343.8,7363.8
76,NIFTY CONSUMPTION,09 Feb 2023,7374.65,7397.3,7346.6,7374.85
77,NIFTY CONSUMPTION,08 Feb 2023,7362.65,7387.55,7337.8,7378.35
78,NIFTY CONSUMPTION,07 Feb 2023,7430.7,7430.75,7352.25,7359.1
79,NIFTY CONSUMPTION,06 Feb 2023,7411.65,7425.25,7364.85,7419.55
80,NIFTY CONSUMPTION,03 Feb 2023,7385.05,7434.55,7342.1,7428.0
81,NIFTY CONSUMPTION,02 Feb 2023,7316.95,7402.55,7302.45,7378.55
82,NIFTY CONSUMPTION,01 Feb 2023,7402.2,7444.15,7245.2,7347.2
83,NIFTY CONSUMPTION,31 Jan 2023,7313.8,7366.6,7247.2,7349.5
84,NIFTY CONSUMPTION,30 Jan 2023,7292.8,7316.9,7222.25,7289.05
85,NIFTY CONSUMPTION,27 Jan 2023,7401.8,7417.7,7260.7,7316.55
86,NIFTY CONSUMPTION,25 Jan 2023,7446.6,7448.3,7381.8,7392.05
87,NIFTY CONSUMPTION,24 Jan 2023,7443.55,7460.85,7426.4,7451.7
88,NIFTY CONSUMPTION,23 Jan 2023,7402.8,7433.0,7374.35,7425.2
89,NIFTY CONSUMPTION,20 Jan 2023,7422.0,7425.3,7359.95,7374.95
90,NIFTY CONSUMPTION,19 Jan 2023,7495.2,7503.95,7429.55,7452.95
91,NIFTY CONSUMPTION,18 Jan 2023,7496.9,7522.45,7479.35,7516.45
92,NIFTY CONSUMPTION,17 Jan 2023,7434.1,7491.0,7418.35,7485.3
