,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY CPSE,05 Jun 2023,3088.85,3111.6,3087.2,3091.65
1,NIFTY CPSE,02 Jun 2023,3078.4,3080.75,3064.9,3074.85
2,NIFTY CPSE,01 Jun 2023,3064.45,3073.0,3049.1,3065.45
3,NIFTY CPSE,31 May 2023,3131.85,3131.85,3059.2,3093.65
4,NIFTY CPSE,30 May 2023,3135.9,3151.1,3118.75,3125.05
5,NIFTY CPSE,29 May 2023,3124.15,3137.9,3099.9,3124.45
6,NIFTY CPSE,26 May 2023,3135.35,3142.7,3116.9,3131.6
7,NIFTY CPSE,25 May 2023,3135.3,3148.3,3120.8,3133.85
8,NIFTY CPSE,24 May 2023,3121.65,3138.15,3114.1,3134.75
9,NIFTY CPSE,23 May 2023,3129.95,3138.8,3109.35,3114.0
10,NIFTY CPSE,22 May 2023,3113.25,3151.5,3108.55,3123.9
11,NIFTY CPSE,19 May 2023,3130.6,3137.8,3099.45,3110.45
12,NIFTY CPSE,18 May 2023,3166.0,3168.4,3125.4,3129.85
13,NIFTY CPSE,17 May 2023,3164.45,3173.0,3142.95,3151.35
14,NIFTY CPSE,16 May 2023,3159.4,3170.7,3148.65,3161.35
15,NIFTY CPSE,15 May 2023,3125.55,3155.85,3118.8,3140.6
16,NIFTY CPSE,12 May 2023,3177.65,3178.2,3122.75,3126.35
17,NIFTY CPSE,11 May 2023,3159.9,3180.3,3154.8,3173.25
18,NIFTY CPSE,10 May 2023,3143.7,3163.8,3131.95,3160.45
19,NIFTY CPSE,09 May 2023,3142.85,3164.65,3126.75,3135.45
20,NIFTY CPSE,08 May 2023,3101.3,3144.7,3098.6,3139.3
21,NIFTY CPSE,05 May 2023,3116.2,3122.55,3093.8,3106.7
22,NIFTY CPSE,04 May 2023,3116.5,3120.85,3092.15,3115.8
23,NIFTY CPSE,03 May 2023,3100.15,3124.05,3091.9,3114.6
24,NIFTY CPSE,02 May 2023,3065.85,3113.75,3065.0,3107.95
25,NIFTY CPSE,28 Apr 2023,3052.8,3058.1,3020.55,3053.8
26,NIFTY CPSE,27 Apr 2023,3039.4,3050.65,3031.85,3042.6
27,NIFTY CPSE,26 Apr 2023,3020.8,3047.5,3011.9,3044.35
28,NIFTY CPSE,25 Apr 2023,3022.6,3037.65,3018.75,3022.15
29,NIFTY CPSE,24 Apr 2023,3011.0,3026.65,3007.6,3023.55
30,NIFTY CPSE,21 Apr 2023,3014.0,3021.15,3000.3,3017.7
31,NIFTY CPSE,20 Apr 2023,3005.1,3025.2,3001.85,3011.0
32,NIFTY CPSE,19 Apr 2023,3014.8,3033.1,2997.9,3003.75
33,NIFTY CPSE,18 Apr 2023,3033.15,3038.3,3019.95,3027.35
34,NIFTY CPSE,17 Apr 2023,3012.0,3043.5,3010.4,3030.85
35,NIFTY CPSE,13 Apr 2023,3006.9,3026.55,2992.8,3008.55
36,NIFTY CPSE,12 Apr 2023,3013.25,3014.05,2995.15,3003.9
37,NIFTY CPSE,11 Apr 2023,2994.7,3013.6,2986.3,3011.6
38,NIFTY CPSE,10 Apr 2023,2944.25,2992.45,2939.55,2989.05
39,NIFTY CPSE,06 Apr 2023,2958.9,2959.55,2934.6,2941.05
40,NIFTY CPSE,05 Apr 2023,2963.8,2969.5,2943.7,2955.5
41,NIFTY CPSE,03 Apr 2023,2944.95,2966.9,2938.0,2947.8
42,NIFTY CPSE,31 Mar 2023,2899.8,2938.25,2899.6,2916.95
43,NIFTY CPSE,29 Mar 2023,2839.1,2897.6,2830.3,2880.3
44,NIFTY CPSE,28 Mar 2023,2847.85,2850.55,2827.85,2834.85
45,NIFTY CPSE,27 Mar 2023,2857.8,2877.35,2835.5,2840.8
46,NIFTY CPSE,24 Mar 2023,2900.15,2900.9,2845.2,2851.5
47,NIFTY CPSE,23 Mar 2023,2884.65,2898.9,2872.4,2889.0
48,NIFTY CPSE,22 Mar 2023,2913.0,2913.15,2884.0,2890.95
49,NIFTY CPSE,21 Mar 2023,2928.15,2933.4,2896.65,2905.8
50,NIFTY CPSE,20 Mar 2023,2933.15,2945.25,2903.25,2916.4
51,NIFTY CPSE,17 Mar 2023,2972.55,2988.25,2933.9,2948.1
52,NIFTY CPSE,16 Mar 2023,2933.6,2958.25,2896.05,2946.6
53,NIFTY CPSE,15 Mar 2023,2948.7,2958.6,2934.35,2939.3
54,NIFTY CPSE,14 Mar 2023,2944.5,2958.05,2919.85,2929.85
55,NIFTY CPSE,13 Mar 2023,2982.45,2992.85,2943.85,2949.3
56,NIFTY CPSE,10 Mar 2023,2951.45,2985.2,2942.0,2978.15
57,NIFTY CPSE,09 Mar 2023,2999.5,3011.25,2973.85,2978.5
58,NIFTY CPSE,08 Mar 2023,2968.05,2997.0,2960.35,2994.85
59,NIFTY CPSE,06 Mar 2023,2936.45,2991.2,2929.25,2979.45
60,NIFTY CPSE,03 Mar 2023,2927.65,2953.35,2920.8,2925.65
61,NIFTY CPSE,02 Mar 2023,2910.6,2920.9,2896.2,2917.95
62,NIFTY CPSE,01 Mar 2023,2883.15,2915.85,2878.9,2913.4
63,NIFTY CPSE,28 Feb 2023,2897.1,2900.5,2875.3,2880.5
64,NIFTY CPSE,27 Feb 2023,2879.1,2900.65,2860.25,2895.45
65,NIFTY CPSE,24 Feb 2023,2857.35,2881.95,2846.15,2878.7
66,NIFTY CPSE,23 Feb 2023,2849.6,2864.35,2834.0,2848.95
67,NIFTY CPSE,22 Feb 2023,2867.7,2873.05,2832.55,2844.05
68,NIFTY CPSE,21 Feb 2023,2872.25,2886.9,2862.45,2870.2
69,NIFTY CPSE,20 Feb 2023,2877.1,2878.75,2854.8,2858.45
70,NIFTY CPSE,17 Feb 2023,2860.75,2896.9,2852.35,2869.0
71,NIFTY CPSE,16 Feb 2023,2829.65,2868.45,2819.25,2865.95
72,NIFTY CPSE,15 Feb 2023,2801.65,2811.05,2785.75,2804.55
73,NIFTY CPSE,14 Feb 2023,2823.15,2824.8,2794.35,2809.4
74,NIFTY CPSE,13 Feb 2023,2797.1,2818.4,2790.65,2813.55
75,NIFTY CPSE,10 Feb 2023,2787.8,2798.85,2783.55,2789.45
76,NIFTY CPSE,09 Feb 2023,2793.95,2799.4,2776.35,2796.95
77,NIFTY CPSE,08 Feb 2023,2785.95,2791.0,2771.0,2786.85
78,NIFTY CPSE,07 Feb 2023,2781.2,2789.15,2760.25,2776.1
79,NIFTY CPSE,06 Feb 2023,2747.95,2777.85,2745.95,2774.55
80,NIFTY CPSE,03 Feb 2023,2757.85,2769.3,2719.2,2765.45
81,NIFTY CPSE,02 Feb 2023,2761.85,2773.6,2729.15,2747.5
82,NIFTY CPSE,01 Feb 2023,2857.85,2858.25,2728.35,2772.35
83,NIFTY CPSE,31 Jan 2023,2779.85,2833.8,2770.7,2812.15
84,NIFTY CPSE,30 Jan 2023,2798.9,2817.3,2753.7,2770.55
85,NIFTY CPSE,27 Jan 2023,2853.6,2864.45,2770.85,2803.05
86,NIFTY CPSE,25 Jan 2023,2857.0,2861.75,2830.9,2848.9
87,NIFTY CPSE,24 Jan 2023,2890.1,2894.15,2857.45,2862.75
88,NIFTY CPSE,23 Jan 2023,2890.4,2895.55,2872.95,2884.5
89,NIFTY CPSE,20 Jan 2023,2871.45,2887.65,2865.2,2875.4
90,NIFTY CPSE,19 Jan 2023,2833.1,2867.4,2829.85,2863.65
91,NIFTY CPSE,18 Jan 2023,2814.6,2841.8,2813.65,2838.7
92,NIFTY CPSE,17 Jan 2023,2797.6,2814.15,2789.0,2811.1
93,NIFTY CPSE,16 Jan 2023,2796.0,2796.0,2774.4,2791.4
94,NIFTY CPSE,13 Jan 2023,2772.65,2787.25,2766.3,2783.85
95,NIFTY CPSE,12 Jan 2023,2786.05,2786.95,2761.4,2768.75
96,NIFTY CPSE,11 Jan 2023,2794.15,2799.15,2760.55,2768.95
97,NIFTY CPSE,10 Jan 2023,2785.95,2794.15,2765.95,2784.85
98,NIFTY CPSE,09 Jan 2023,2787.25,2799.8,2766.3,2781.85
99,NIFTY CPSE,06 Jan 2023,2783.4,2790.3,2759.65,2765.35
100,NIFTY CPSE,05 Jan 2023,2775.35,2784.2,2754.0,2780.4
101,NIFTY CPSE,04 Jan 2023,2819.2,2820.7,2757.9,2768.35
102,NIFTY CPSE,03 Jan 2023,2824.55,2830.6,2813.1,2820.5
103,NIFTY CPSE,02 Jan 2023,2811.1,2831.5,2803.05,2826.15
104,NIFTY CPSE,30 Dec 2022,2792.2,2815.2,2788.15,2798.05
105,NIFTY CPSE,29 Dec 2022,2763.2,2788.45,2763.05,2783.75
106,NIFTY CPSE,28 Dec 2022,2766.3,2801.15,2766.0,2785.9
107,NIFTY CPSE,27 Dec 2022,2769.6,2789.8,2755.0,2775.1
108,NIFTY CPSE,26 Dec 2022,2706.6,2767.8,2692.9,2751.65
109,NIFTY CPSE,23 Dec 2022,2742.65,2768.7,2697.6,2705.3
110,NIFTY CPSE,22 Dec 2022,2802.9,2806.3,2742.2,2765.95
111,NIFTY CPSE,21 Dec 2022,2839.35,2847.1,2777.0,2792.5
112,NIFTY CPSE,20 Dec 2022,2839.8,2841.0,2800.35,2832.45
113,NIFTY CPSE,19 Dec 2022,2820.95,2846.2,2813.35,2842.4
114,NIFTY CPSE,16 Dec 2022,2855.1,2875.35,2816.0,2819.75
115,NIFTY CPSE,15 Dec 2022,2887.65,2902.7,2854.75,2858.75
116,NIFTY CPSE,14 Dec 2022,2857.45,2897.9,2855.9,2885.8
117,NIFTY CPSE,13 Dec 2022,2846.85,2856.15,2834.65,2853.15
118,NIFTY CPSE,12 Dec 2022,2828.25,2842.95,2810.65,2835.45
119,NIFTY CPSE,09 Dec 2022,2860.7,2866.15,2823.05,2832.7
120,NIFTY CPSE,08 Dec 2022,2861.4,2864.05,2841.65,2852.95
121,NIFTY CPSE,07 Dec 2022,2882.8,2888.6,2854.5,2860.45
122,NIFTY CPSE,06 Dec 2022,2894.05,2896.3,2869.8,2891.25
123,NIFTY CPSE,05 Dec 2022,2860.7,2899.65,2844.35,2895.95
124,NIFTY CPSE,02 Dec 2022,2847.75,2866.1,2847.1,2852.1
125,NIFTY CPSE,01 Dec 2022,2872.65,2878.55,2841.7,2844.75
126,NIFTY CPSE,30 Nov 2022,2841.15,2865.7,2836.8,2860.1
127,NIFTY CPSE,29 Nov 2022,2866.05,2870.9,2835.25,2841.8
128,NIFTY CPSE,28 Nov 2022,2847.2,2872.9,2846.05,2858.55
129,NIFTY CPSE,25 Nov 2022,2849.4,2869.1,2823.75,2857.7
130,NIFTY CPSE,24 Nov 2022,2815.2,2848.4,2809.8,2844.3
131,NIFTY CPSE,23 Nov 2022,2815.0,2818.2,2798.2,2811.25
132,NIFTY CPSE,22 Nov 2022,2790.4,2808.45,2782.75,2805.3
133,NIFTY CPSE,21 Nov 2022,2801.3,2804.7,2781.9,2794.85
134,NIFTY CPSE,18 Nov 2022,2839.0,2843.7,2789.0,2804.55
135,NIFTY CPSE,17 Nov 2022,2829.3,2845.95,2824.7,2836.35
136,NIFTY CPSE,16 Nov 2022,2838.45,2841.45,2818.2,2835.2
137,NIFTY CPSE,15 Nov 2022,2807.2,2836.7,2805.3,2826.7
138,NIFTY CPSE,14 Nov 2022,2827.4,2832.75,2795.35,2799.3
139,NIFTY CPSE,11 Nov 2022,2836.5,2843.25,2806.35,2816.1
140,NIFTY CPSE,10 Nov 2022,2822.2,2833.95,2792.95,2809.65
141,NIFTY CPSE,09 Nov 2022,2884.2,2885.75,2821.8,2829.15
142,NIFTY CPSE,07 Nov 2022,2851.8,2867.8,2844.4,2853.35
143,NIFTY CPSE,04 Nov 2022,2843.5,2853.55,2829.65,2837.15
144,NIFTY CPSE,03 Nov 2022,2835.75,2862.1,2829.4,2836.9
145,Nifty CPSE,02 Nov 2022,2861.45,2874.75,2842.2,2847.5
146,Nifty CPSE,01 Nov 2022,2812.75,2862.05,2808.75,2856.55
147,NIFTY CPSE,31 Oct 2022,2791.9,2814.15,2775.85,2799.65
148,NIFTY CPSE,28 Oct 2022,2775.4,2813.05,2765.55,2793.1
149,NIFTY CPSE,27 Oct 2022,2743.75,2777.4,2733.7,2771.9
150,NIFTY CPSE,25 Oct 2022,2731.65,2739.3,2701.4,2735.25
151,NIFTY CPSE,24 Oct 2022,2732.55,2743.75,2726.25,2731.25
152,NIFTY CPSE,21 Oct 2022,2716.3,2730.55,2687.9,2703.35
153,NIFTY CPSE,20 Oct 2022,2672.55,2727.5,2660.3,2719.35
154,NIFTY CPSE,19 Oct 2022,2704.55,2720.8,2675.95,2680.3
155,NIFTY CPSE,18 Oct 2022,2679.6,2706.45,2672.0,2700.35
156,NIFTY CPSE,17 Oct 2022,2641.55,2672.9,2626.75,2668.2
