,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY DIV OPPS 50,05 Jun 2023,4133.75,4139.95,4116.80,4118.8
1,NIFTY DIV OPPS 50,02 Jun 2023,4118.40,4130.75,4110.45,4120.2
2,NIFTY DIV OPPS 50,01 Jun 2023,4109.00,4124.95,4102.40,4107.3
3,NIFTY DIV OPPS 50,31 May 2023,4112.00,4116.80,4093.45,4104.5
4,NIFTY DIV OPPS 50,30 May 2023,4109.35,4128.80,4104.50,4117.15
5,NIFTY DIV OPPS 50,29 May 2023,4116.70,4119.20,4097.70,4102.75
6,NIFTY DIV OPPS 50,26 May 2023,4062.75,4096.55,4062.75,4094.85
7,NIFTY DIV OPPS 50,25 May 2023,4043.85,4060.55,4037.05,4056.45
8,NIFTY DIV OPPS 50,24 May 2023,4030.90,4057.60,4026.35,4043.5
9,NIFTY DIV OPPS 50,23 May 2023,4043.10,4061.30,4034.95,4038.3
10,NIFTY DIV OPPS 50,22 May 2023,3994.40,4036.80,3985.35,4033.55
11,NIFTY DIV OPPS 50,19 May 2023,3992.45,3993.50,3963.50,3988.5
12,NIFTY DIV OPPS 50,18 May 2023,4035.65,4036.70,3977.40,3980.55
13,NIFTY DIV OPPS 50,17 May 2023,4039.20,4042.40,4000.10,4014.75
14,NIFTY DIV OPPS 50,16 May 2023,4052.60,4056.45,4035.50,4037.95
15,NIFTY DIV OPPS 50,15 May 2023,4009.75,4048.15,3999.85,4035.65
16,NIFTY DIV OPPS 50,12 May 2023,4019.25,4019.25,3993.45,4002.55
17,NIFTY DIV OPPS 50,11 May 2023,4030.20,4034.20,4016.45,4022.75
18,NIFTY DIV OPPS 50,10 May 2023,4014.30,4019.20,3999.50,4014.5
19,NIFTY DIV OPPS 50,09 May 2023,4018.20,4025.40,3991.50,4004.65
20,NIFTY DIV OPPS 50,08 May 2023,3991.80,4013.75,3987.15,4010.15
21,NIFTY DIV OPPS 50,05 May 2023,4000.65,4002.55,3971.35,3981.45
22,NIFTY DIV OPPS 50,04 May 2023,3980.90,4003.05,3975.55,3999.2
23,NIFTY DIV OPPS 50,03 May 2023,3976.85,3989.65,3967.85,3981.05
24,NIFTY DIV OPPS 50,02 May 2023,3966.60,3995.75,3964.25,3987.6
25,NIFTY DIV OPPS 50,28 Apr 2023,3920.35,3960.00,3912.10,3953.65
26,NIFTY DIV OPPS 50,27 Apr 2023,3904.25,3922.30,3901.35,3919.35
27,NIFTY DIV OPPS 50,26 Apr 2023,3891.50,3909.20,3882.35,3905.9
28,NIFTY DIV OPPS 50,25 Apr 2023,3884.05,3902.05,3874.85,3891.4
29,NIFTY DIV OPPS 50,24 Apr 2023,3868.50,3886.30,3853.15,3883.85
30,NIFTY DIV OPPS 50,21 Apr 2023,3859.60,3868.55,3842.75,3865.65
31,NIFTY DIV OPPS 50,20 Apr 2023,3858.30,3871.30,3847.90,3853.05
32,NIFTY DIV OPPS 50,19 Apr 2023,3875.35,3878.15,3850.75,3856.0
33,NIFTY DIV OPPS 50,18 Apr 2023,3889.30,3890.80,3866.60,3879.1
34,NIFTY DIV OPPS 50,17 Apr 2023,3860.35,3882.35,3832.65,3878.75
35,NIFTY DIV OPPS 50,13 Apr 2023,3929.90,3934.00,3899.55,3913.15
36,NIFTY DIV OPPS 50,12 Apr 2023,3943.95,3945.20,3924.60,3939.6
37,NIFTY DIV OPPS 50,11 Apr 2023,3926.45,3942.25,3908.10,3932.2
38,NIFTY DIV OPPS 50,10 Apr 2023,3897.90,3929.30,3893.50,3917.8
39,NIFTY DIV OPPS 50,06 Apr 2023,3898.45,3901.60,3883.05,3893.15
40,NIFTY DIV OPPS 50,05 Apr 2023,3867.55,3905.40,3864.20,3901.3
41,NIFTY DIV OPPS 50,03 Apr 2023,3892.55,3892.55,3861.50,3872.95
42,NIFTY DIV OPPS 50,31 Mar 2023,3855.85,3880.90,3849.00,3874.6
43,NIFTY DIV OPPS 50,29 Mar 2023,3788.95,3834.45,3784.90,3824.45
44,NIFTY DIV OPPS 50,28 Mar 2023,3810.10,3816.80,3779.25,3783.05
45,NIFTY DIV OPPS 50,27 Mar 2023,3807.50,3827.65,3793.05,3802.15
46,NIFTY DIV OPPS 50,24 Mar 2023,3842.90,3855.45,3794.15,3802.2
