,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY ENERGY,05 Jun 2023,23902.4,23927.15,23845.0,23901.7
1,NIFTY ENERGY,02 Jun 2023,23916.05,23927.7,23746.1,23785.7
2,NIFTY ENERGY,01 Jun 2023,23880.95,23915.6,23755.85,23825.3
3,NIFTY ENERGY,31 May 2023,24154.45,24181.45,23734.15,23875.55
4,NIFTY ENERGY,30 May 2023,24319.7,24384.45,24189.5,24218.15
5,NIFTY ENERGY,29 May 2023,24258.4,24314.0,24150.6,24261.3
6,NIFTY ENERGY,26 May 2023,24164.05,24270.45,24098.3,24238.9
7,NIFTY ENERGY,25 May 2023,24113.55,24144.4,23899.55,24071.7
8,NIFTY ENERGY,24 May 2023,24117.95,24220.35,24043.95,24085.25
9,NIFTY ENERGY,23 May 2023,24046.2,24124.8,24009.35,24028.45
10,NIFTY ENERGY,22 May 2023,23782.65,24019.8,23775.9,23898.2
11,NIFTY ENERGY,19 May 2023,23653.15,23754.85,23458.35,23723.35
12,NIFTY ENERGY,18 May 2023,24011.55,24014.05,23663.35,23692.15
13,NIFTY ENERGY,17 May 2023,24118.0,24118.0,23835.9,23901.15
14,NIFTY ENERGY,16 May 2023,24128.4,24193.45,23994.9,24027.8
15,NIFTY ENERGY,15 May 2023,24092.4,24132.8,23932.8,24040.2
16,NIFTY ENERGY,12 May 2023,24254.0,24263.9,23963.85,24040.2
17,NIFTY ENERGY,11 May 2023,24284.4,24458.35,24253.25,24316.5
18,NIFTY ENERGY,10 May 2023,24156.35,24281.8,24088.75,24268.95
19,NIFTY ENERGY,09 May 2023,24107.6,24254.15,24028.95,24099.1
20,NIFTY ENERGY,08 May 2023,23896.35,24166.3,23863.5,24129.65
21,NIFTY ENERGY,05 May 2023,24036.8,24091.15,23901.5,23946.75
22,NIFTY ENERGY,04 May 2023,23910.55,24072.25,23855.4,24042.4
23,NIFTY ENERGY,03 May 2023,24049.0,24067.65,23877.5,23901.15
24,NIFTY ENERGY,02 May 2023,23876.3,24104.05,23862.45,24046.95
25,NIFTY ENERGY,28 Apr 2023,23528.4,23764.2,23376.35,23734.55
26,NIFTY ENERGY,27 Apr 2023,23401.95,23470.35,23323.4,23443.65
27,NIFTY ENERGY,26 Apr 2023,23397.85,23419.25,23230.45,23365.8
28,NIFTY ENERGY,25 Apr 2023,23206.75,23431.6,23195.65,23385.75
29,NIFTY ENERGY,24 Apr 2023,23248.55,23279.95,23133.0,23207.4
30,NIFTY ENERGY,21 Apr 2023,23227.45,23250.15,23095.6,23185.45
31,NIFTY ENERGY,20 Apr 2023,23182.5,23225.15,23116.05,23185.25
32,NIFTY ENERGY,19 Apr 2023,23160.2,23236.3,23076.55,23159.4
33,NIFTY ENERGY,18 Apr 2023,23426.8,23431.95,23124.6,23211.85
34,NIFTY ENERGY,17 Apr 2023,23494.6,23494.6,23272.05,23363.75
35,NIFTY ENERGY,13 Apr 2023,23266.85,23350.7,23117.75,23215.65
36,NIFTY ENERGY,12 Apr 2023,23396.7,23435.4,23181.4,23233.1
37,NIFTY ENERGY,11 Apr 2023,23181.5,23321.3,23162.85,23297.2
38,NIFTY ENERGY,10 Apr 2023,22930.0,23122.15,22904.6,23060.05
39,NIFTY ENERGY,06 Apr 2023,22763.15,22887.4,22683.05,22816.05
40,NIFTY ENERGY,05 Apr 2023,22907.35,22942.55,22622.4,22707.9
41,NIFTY ENERGY,03 Apr 2023,22937.65,22952.9,22734.3,22805.9
42,NIFTY ENERGY,31 Mar 2023,22552.65,22948.85,22550.35,22814.45
43,NIFTY ENERGY,29 Mar 2023,22260.6,22494.8,22205.45,22373.05
44,NIFTY ENERGY,28 Mar 2023,22452.55,22473.45,22300.0,22388.85
45,NIFTY ENERGY,27 Mar 2023,22718.05,22811.5,22466.5,22514.55
46,NIFTY ENERGY,24 Mar 2023,22905.1,22947.75,22580.45,22613.4
47,NIFTY ENERGY,23 Mar 2023,22841.85,22918.55,22739.45,22821.75
48,NIFTY ENERGY,22 Mar 2023,22930.25,22940.35,22785.95,22835.75
49,NIFTY ENERGY,21 Mar 2023,22715.25,22826.5,22589.15,22792.9
50,NIFTY ENERGY,20 Mar 2023,22529.9,22655.45,22405.55,22585.7
51,NIFTY ENERGY,17 Mar 2023,22850.2,22870.75,22598.45,22659.0
52,NIFTY ENERGY,16 Mar 2023,22480.5,22735.6,22295.3,22621.35
53,NIFTY ENERGY,15 Mar 2023,22505.85,22550.0,22351.7,22393.7
54,NIFTY ENERGY,14 Mar 2023,22564.9,22678.35,22319.45,22403.3
55,NIFTY ENERGY,13 Mar 2023,22836.65,22918.9,22513.2,22561.65
56,NIFTY ENERGY,10 Mar 2023,22570.45,22718.05,22509.45,22696.75
57,NIFTY ENERGY,09 Mar 2023,22988.3,22989.25,22654.6,22682.15
58,NIFTY ENERGY,08 Mar 2023,22717.6,22898.6,22646.8,22887.75
59,NIFTY ENERGY,06 Mar 2023,22446.1,22785.35,22436.1,22698.5
60,NIFTY ENERGY,03 Mar 2023,22098.9,22339.2,22066.9,22268.75
61,NIFTY ENERGY,02 Mar 2023,21894.55,21961.35,21831.9,21900.05
62,NIFTY ENERGY,01 Mar 2023,21768.95,21899.35,21725.65,21874.6
63,NIFTY ENERGY,28 Feb 2023,21801.3,21844.65,21631.1,21682.25
64,NIFTY ENERGY,27 Feb 2023,21890.05,21937.2,21724.65,21900.6
65,NIFTY ENERGY,24 Feb 2023,21774.9,21979.85,21770.2,21946.65
66,NIFTY ENERGY,23 Feb 2023,21880.95,21975.5,21750.85,21801.8
67,NIFTY ENERGY,22 Feb 2023,22204.85,22226.2,21862.1,21916.45
68,NIFTY ENERGY,21 Feb 2023,22296.15,22425.75,22220.7,22339.0
69,NIFTY ENERGY,20 Feb 2023,22461.55,22506.8,22217.45,22249.05
70,NIFTY ENERGY,17 Feb 2023,22367.95,22544.7,22324.1,22469.2
71,NIFTY ENERGY,16 Feb 2023,22448.65,22631.4,22380.7,22427.65
72,NIFTY ENERGY,15 Feb 2023,22140.2,22380.75,22132.05,22349.15
73,NIFTY ENERGY,14 Feb 2023,22203.7,22295.7,22106.05,22273.85
74,NIFTY ENERGY,13 Feb 2023,22248.05,22322.15,22160.2,22258.95
75,NIFTY ENERGY,10 Feb 2023,22365.4,22391.45,22242.1,22325.85
76,NIFTY ENERGY,09 Feb 2023,22506.8,22559.7,22329.05,22499.75
77,NIFTY ENERGY,08 Feb 2023,22440.6,22607.75,22414.1,22559.8
78,NIFTY ENERGY,07 Feb 2023,22391.7,22646.75,22314.1,22386.5
79,NIFTY ENERGY,06 Feb 2023,22328.7,22501.15,22304.1,22478.05
80,NIFTY ENERGY,03 Feb 2023,22707.8,22707.8,22350.35,22638.4
81,NIFTY ENERGY,02 Feb 2023,22994.05,23123.6,22785.25,22874.0
82,NIFTY ENERGY,01 Feb 2023,24060.45,24064.15,23001.8,23402.75
83,NIFTY ENERGY,31 Jan 2023,23497.95,23770.85,23305.05,23713.5
84,NIFTY ENERGY,30 Jan 2023,23711.45,24181.5,23144.85,23434.7
85,NIFTY ENERGY,27 Jan 2023,25262.0,25336.2,23948.85,24169.95
86,NIFTY ENERGY,25 Jan 2023,25864.2,25908.3,25374.1,25450.3
87,NIFTY ENERGY,24 Jan 2023,26230.0,26230.0,25896.4,25962.25
88,NIFTY ENERGY,23 Jan 2023,26232.3,26294.75,26077.1,26137.45
89,NIFTY ENERGY,20 Jan 2023,26189.1,26252.5,26087.55,26135.05
90,NIFTY ENERGY,19 Jan 2023,26216.15,26230.55,26013.15,26163.0
91,NIFTY ENERGY,18 Jan 2023,26307.55,26340.65,26174.65,26272.55
92,NIFTY ENERGY,17 Jan 2023,26116.6,26369.35,26080.5,26331.1
93,NIFTY ENERGY,16 Jan 2023,25943.05,26055.6,25788.4,26026.9
94,NIFTY ENERGY,13 Jan 2023,25668.75,25883.2,25578.9,25862.55
95,NIFTY ENERGY,12 Jan 2023,25941.55,25941.55,25584.75,25699.6
96,NIFTY ENERGY,11 Jan 2023,26115.4,26152.9,25830.95,25876.6
97,NIFTY ENERGY,10 Jan 2023,26223.3,26227.35,25831.25,26092.9
98,NIFTY ENERGY,09 Jan 2023,25886.15,26208.85,25876.55,26163.95
99,NIFTY ENERGY,06 Jan 2023,25766.0,25857.7,25641.95,25728.85
100,NIFTY ENERGY,05 Jan 2023,25702.55,25772.85,25453.45,25717.85
101,NIFTY ENERGY,04 Jan 2023,26018.8,26029.0,25571.95,25605.55
102,NIFTY ENERGY,03 Jan 2023,26018.95,26070.95,25878.95,26005.3
103,NIFTY ENERGY,02 Jan 2023,25948.2,26127.5,25879.55,26031.0
104,NIFTY ENERGY,30 Dec 2022,25984.5,26180.05,25797.15,25869.85
105,NIFTY ENERGY,29 Dec 2022,25566.05,25974.6,25493.5,25863.6
106,NIFTY ENERGY,28 Dec 2022,25583.05,25774.2,25542.05,25725.35
107,NIFTY ENERGY,27 Dec 2022,25539.85,25803.95,25425.85,25641.7
108,NIFTY ENERGY,26 Dec 2022,24924.95,25553.15,24665.55,25395.65
109,NIFTY ENERGY,23 Dec 2022,25678.95,25779.5,24783.65,24879.95
