,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY FIN SERVICE,05 Jun 2023,19453.50,19512.60,19426.05,19438.5
1,NIFTY FIN SERVICE,02 Jun 2023,19419.25,19435.35,19318.30,19368.2
2,NIFTY FIN SERVICE,01 Jun 2023,19508.40,19509.10,19285.90,19322.7
3,NIFTY FIN SERVICE,31 May 2023,19567.70,19572.55,19338.55,19445.75
4,NIFTY FIN SERVICE,30 May 2023,19518.20,19636.90,19493.55,19606.05
5,NIFTY FIN SERVICE,29 May 2023,19516.95,19614.10,19476.50,19532.7
6,NIFTY FIN SERVICE,26 May 2023,19276.50,19391.45,19200.65,19370.5
7,NIFTY FIN SERVICE,25 May 2023,19219.55,19255.90,19118.40,19239.3
8,NIFTY FIN SERVICE,24 May 2023,19309.10,19433.25,19227.15,19243.0
9,NIFTY FIN SERVICE,23 May 2023,19437.15,19465.35,19356.75,19397.8
10,NIFTY FIN SERVICE,22 May 2023,19405.40,19448.85,19310.75,19386.2
11,NIFTY FIN SERVICE,19 May 2023,19443.20,19446.10,19266.85,19420.2
12,NIFTY FIN SERVICE,18 May 2023,19421.75,19485.55,19332.05,19363.75
13,NIFTY FIN SERVICE,17 May 2023,19460.70,19461.30,19206.40,19301.35
14,NIFTY FIN SERVICE,16 May 2023,19584.55,19584.55,19392.65,19439.0
15,NIFTY FIN SERVICE,15 May 2023,19519.80,19631.85,19461.40,19583.2
16,NIFTY FIN SERVICE,12 May 2023,19366.70,19556.35,19335.85,19507.15
17,NIFTY FIN SERVICE,11 May 2023,19428.15,19517.65,19366.75,19401.5
18,NIFTY FIN SERVICE,10 May 2023,19306.00,19356.15,19138.10,19337.15
19,NIFTY FIN SERVICE,09 May 2023,19360.45,19424.90,19238.15,19274.7
20,NIFTY FIN SERVICE,08 May 2023,19079.40,19353.40,19055.65,19303.95
21,NIFTY FIN SERVICE,05 May 2023,19104.15,19306.75,18995.35,19023.85
22,NIFTY FIN SERVICE,04 May 2023,19161.85,19501.20,19152.50,19479.35
23,NIFTY FIN SERVICE,03 May 2023,19151.55,19200.45,19091.80,19182.25
24,NIFTY FIN SERVICE,02 May 2023,19229.50,19265.20,19168.05,19208.05
25,NIFTY FIN SERVICE,28 Apr 2023,19109.45,19189.05,18977.75,19162.55
26,NIFTY FIN SERVICE,27 Apr 2023,18976.70,19118.75,18970.70,19097.15
27,NIFTY FIN SERVICE,26 Apr 2023,18929.15,19024.00,18859.85,19003.0
28,NIFTY FIN SERVICE,25 Apr 2023,19010.50,19050.25,18934.30,18961.85
29,NIFTY FIN SERVICE,24 Apr 2023,18910.40,19006.35,18822.65,18992.95
30,NIFTY FIN SERVICE,21 Apr 2023,18786.35,18843.30,18671.55,18753.75
31,NIFTY FIN SERVICE,20 Apr 2023,18793.50,18851.35,18733.75,18790.3
32,NIFTY FIN SERVICE,19 Apr 2023,18783.35,18794.45,18704.20,18768.65
33,NIFTY FIN SERVICE,18 Apr 2023,18890.00,18896.40,18718.35,18764.6
