,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY FINSRV25 50,05 Jun 2023,19132.00,19181.30,19105.25,19116.65
1,NIFTY FINSRV25 50,02 Jun 2023,19093.90,19108.45,18991.60,19046.4
2,NIFTY FINSRV25 50,01 Jun 2023,19138.90,19139.30,18973.05,19003.2
3,NIFTY FINSRV25 50,31 May 2023,19175.10,19177.55,18986.85,19079.1
4,NIFTY FINSRV25 50,30 May 2023,19076.45,19206.70,19039.95,19183.2
5,NIFTY FINSRV25 50,29 May 2023,19048.60,19186.80,19017.95,19088.05
6,NIFTY FINSRV25 50,26 May 2023,18771.95,18896.50,18725.60,18878.05
7,NIFTY FINSRV25 50,25 May 2023,18690.20,18754.85,18635.60,18741.55
8,NIFTY FINSRV25 50,24 May 2023,18765.60,18878.75,18701.80,18712.85
9,NIFTY FINSRV25 50,23 May 2023,18826.45,18894.90,18798.80,18831.1
10,NIFTY FINSRV25 50,22 May 2023,18765.95,18807.25,18718.95,18783.05
11,NIFTY FINSRV25 50,19 May 2023,18828.40,18830.10,18635.75,18779.2
12,NIFTY FINSRV25 50,18 May 2023,18803.90,18883.25,18726.60,18756.0
13,NIFTY FINSRV25 50,17 May 2023,18849.85,18850.30,18613.45,18701.35
14,NIFTY FINSRV25 50,16 May 2023,18963.35,18965.60,18785.55,18826.2
15,NIFTY FINSRV25 50,15 May 2023,18875.80,18983.90,18822.35,18942.15
16,NIFTY FINSRV25 50,12 May 2023,18780.80,18917.70,18731.45,18862.25
17,NIFTY FINSRV25 50,11 May 2023,18812.80,18868.95,18755.30,18812.1
18,NIFTY FINSRV25 50,10 May 2023,18694.05,18745.85,18538.25,18729.9
19,NIFTY FINSRV25 50,09 May 2023,18736.70,18797.30,18618.50,18650.2
20,NIFTY FINSRV25 50,08 May 2023,18463.10,18722.60,18435.60,18683.1
21,NIFTY FINSRV25 50,05 May 2023,18461.80,18657.20,18383.00,18406.7
22,NIFTY FINSRV25 50,04 May 2023,18429.90,18750.45,18418.75,18735.3
23,NIFTY FINSRV25 50,03 May 2023,18413.85,18432.05,18357.10,18417.15
24,NIFTY FINSRV25 50,02 May 2023,18445.10,18508.80,18404.40,18457.8
25,NIFTY FINSRV25 50,28 Apr 2023,18295.20,18399.35,18185.35,18373.3
26,NIFTY FINSRV25 50,27 Apr 2023,18216.50,18314.60,18185.10,18295.8
27,NIFTY FINSRV25 50,26 Apr 2023,18180.60,18235.40,18103.55,18219.3
28,NIFTY FINSRV25 50,25 Apr 2023,18232.55,18275.05,18179.70,18199.5
29,NIFTY FINSRV25 50,24 Apr 2023,18138.15,18221.90,18059.90,18210.75
30,NIFTY FINSRV25 50,21 Apr 2023,18062.95,18096.30,17893.75,17971.5
31,NIFTY FINSRV25 50,20 Apr 2023,18056.95,18091.45,17992.90,18048.05
32,NIFTY FINSRV25 50,19 Apr 2023,18089.05,18096.60,17991.25,18036.25
33,NIFTY FINSRV25 50,18 Apr 2023,18158.95,18183.05,18018.30,18077.9
34,NIFTY FINSRV25 50,17 Apr 2023,18252.40,18252.40,17959.70,18103.75
35,NIFTY FINSRV25 50,13 Apr 2023,17966.95,18089.70,17916.80,18070.15
36,NIFTY FINSRV25 50,12 Apr 2023,17886.40,17972.70,17845.50,17951.55
37,NIFTY FINSRV25 50,11 Apr 2023,17810.10,17875.45,17751.45,17862.1
38,NIFTY FINSRV25 50,10 Apr 2023,17788.20,17794.05,17678.25,17717.7
39,NIFTY FINSRV25 50,06 Apr 2023,17577.55,17779.80,17554.00,17756.95
40,NIFTY FINSRV25 50,05 Apr 2023,17477.00,17605.45,17457.35,17591.45
41,NIFTY FINSRV25 50,03 Apr 2023,17331.05,17437.15,17291.30,17420.35
42,NIFTY FINSRV25 50,31 Mar 2023,17156.75,17305.85,17141.50,17281.05
43,NIFTY FINSRV25 50,29 Mar 2023,16940.35,17107.35,16938.65,17054.0
44,NIFTY FINSRV25 50,28 Mar 2023,16930.00,16954.50,16833.10,16904.9
45,NIFTY FINSRV25 50,27 Mar 2023,16937.80,16981.60,16834.25,16879.65
46,NIFTY FINSRV25 50,24 Mar 2023,17028.80,17081.25,16885.55,16925.3
47,NIFTY FINSRV25 50,23 Mar 2023,17127.90,17281.00,17069.20,17097.05
48,NIFTY FINSRV25 50,22 Mar 2023,17173.00,17215.50,17113.80,17184.15
49,NIFTY FINSRV25 50,21 Mar 2023,16934.05,17129.75,16891.95,17109.4
