,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY GROWSECT 15,05 Jun 2023,9435.35,9442.45,9377.65,9383.65
1,NIFTY GROWSECT 15,02 Jun 2023,9380.25,9406.2,9354.55,9400.8
2,NIFTY GROWSECT 15,01 Jun 2023,9358.15,9379.95,9335.85,9356.5
3,NIFTY GROWSECT 15,31 May 2023,9320.75,9355.2,9291.95,9337.0
4,NIFTY GROWSECT 15,30 May 2023,9304.4,9339.0,9289.65,9320.15
5,NIFTY GROWSECT 15,29 May 2023,9317.35,9336.55,9265.4,9291.2
6,NIFTY GROWSECT 15,26 May 2023,9164.05,9278.8,9154.55,9271.4
7,NIFTY GROWSECT 15,25 May 2023,9130.4,9170.5,9103.15,9146.7
8,NIFTY GROWSECT 15,24 May 2023,9057.2,9141.45,9054.8,9131.15
9,NIFTY GROWSECT 15,23 May 2023,9091.1,9133.05,9075.95,9084.6
10,NIFTY GROWSECT 15,22 May 2023,8991.45,9090.45,8971.15,9082.9
11,NIFTY GROWSECT 15,19 May 2023,8979.1,8996.0,8920.0,8987.6
12,NIFTY GROWSECT 15,18 May 2023,9082.3,9082.3,8949.15,8958.85
13,NIFTY GROWSECT 15,17 May 2023,9071.35,9088.7,8993.05,9038.7
14,NIFTY GROWSECT 15,16 May 2023,9128.4,9137.15,9063.4,9075.25
15,NIFTY GROWSECT 15,15 May 2023,9074.15,9134.35,9041.55,9106.9
16,NIFTY GROWSECT 15,12 May 2023,9037.55,9094.55,9018.9,9065.1
17,NIFTY GROWSECT 15,11 May 2023,9032.85,9042.1,8983.75,9029.55
18,NIFTY GROWSECT 15,10 May 2023,8990.05,8999.25,8958.2,8990.85
19,NIFTY GROWSECT 15,09 May 2023,8993.0,9000.85,8936.4,8970.0
20,NIFTY GROWSECT 15,08 May 2023,8941.4,8982.65,8928.3,8976.7
21,NIFTY GROWSECT 15,05 May 2023,8886.2,8935.4,8882.25,8913.9
22,NIFTY GROWSECT 15,04 May 2023,8832.4,8888.2,8825.6,8881.0
23,NIFTY GROWSECT 15,03 May 2023,8836.8,8854.15,8803.1,8836.7
24,NIFTY GROWSECT 15,02 May 2023,8843.65,8865.75,8819.75,8844.85
25,NIFTY GROWSECT 15,28 Apr 2023,8739.65,8829.9,8725.15,8813.0
26,NIFTY GROWSECT 15,27 Apr 2023,8725.25,8750.05,8706.3,8739.0
27,NIFTY GROWSECT 15,26 Apr 2023,8697.1,8732.0,8676.3,8724.95
28,NIFTY GROWSECT 15,25 Apr 2023,8673.5,8690.9,8636.4,8682.4
29,NIFTY GROWSECT 15,24 Apr 2023,8650.45,8673.65,8596.2,8669.45
30,NIFTY GROWSECT 15,21 Apr 2023,8616.05,8643.25,8590.45,8638.8
31,NIFTY GROWSECT 15,20 Apr 2023,8620.35,8661.4,8586.55,8601.05
32,NIFTY GROWSECT 15,19 Apr 2023,8681.8,8690.2,8604.7,8617.85
33,NIFTY GROWSECT 15,18 Apr 2023,8695.85,8699.1,8648.9,8680.15
34,NIFTY GROWSECT 15,17 Apr 2023,8679.65,8692.6,8609.8,8673.9
35,NIFTY GROWSECT 15,13 Apr 2023,8732.85,8741.35,8699.9,8712.5
36,NIFTY GROWSECT 15,12 Apr 2023,8753.2,8753.8,8708.15,8744.6
37,NIFTY GROWSECT 15,11 Apr 2023,8722.15,8769.45,8702.25,8726.1
38,NIFTY GROWSECT 15,10 Apr 2023,8684.65,8734.95,8665.7,8709.8
39,NIFTY GROWSECT 15,06 Apr 2023,8694.1,8698.5,8651.2,8678.4
40,NIFTY GROWSECT 15,05 Apr 2023,8597.75,8708.3,8587.9,8698.45
41,NIFTY GROWSECT 15,03 Apr 2023,8650.85,8651.9,8583.6,8612.5
42,NIFTY GROWSECT 15,31 Mar 2023,8586.5,8612.85,8535.75,8604.25
43,NIFTY GROWSECT 15,29 Mar 2023,8451.55,8540.8,8445.75,8526.25
44,NIFTY GROWSECT 15,28 Mar 2023,8481.7,8494.65,8417.5,8433.55
45,NIFTY GROWSECT 15,27 Mar 2023,8449.15,8509.7,8414.4,8464.85
46,NIFTY GROWSECT 15,24 Mar 2023,8473.35,8501.85,8430.55,8440.65
47,NIFTY GROWSECT 15,23 Mar 2023,8452.5,8509.0,8430.7,8482.2
48,NIFTY GROWSECT 15,22 Mar 2023,8428.7,8460.4,8406.95,8454.65
49,NIFTY GROWSECT 15,21 Mar 2023,8470.35,8476.5,8404.9,8409.55
50,NIFTY GROWSECT 15,20 Mar 2023,8401.75,8463.85,8343.45,8455.15
51,NIFTY GROWSECT 15,17 Mar 2023,8506.2,8511.25,8386.2,8427.35
52,NIFTY GROWSECT 15,16 Mar 2023,8398.1,8480.7,8383.3,8459.85
53,NIFTY GROWSECT 15,15 Mar 2023,8446.35,8477.85,8370.15,8377.3
54,NIFTY GROWSECT 15,14 Mar 2023,8483.15,8484.3,8392.6,8410.05
55,NIFTY GROWSECT 15,13 Mar 2023,8552.4,8588.25,8440.1,8465.9
56,NIFTY GROWSECT 15,10 Mar 2023,8552.5,8561.3,8509.9,8553.4
57,NIFTY GROWSECT 15,09 Mar 2023,8673.45,8685.4,8567.45,8572.15
58,NIFTY GROWSECT 15,08 Mar 2023,8625.8,8673.25,8595.5,8668.7
59,NIFTY GROWSECT 15,06 Mar 2023,8623.6,8672.0,8613.6,8633.65
60,NIFTY GROWSECT 15,03 Mar 2023,8560.9,8616.05,8551.6,8598.75
61,NIFTY GROWSECT 15,02 Mar 2023,8612.6,8614.4,8521.05,8528.6
62,NIFTY GROWSECT 15,01 Mar 2023,8545.2,8610.15,8545.2,8594.9
63,NIFTY GROWSECT 15,28 Feb 2023,8621.0,8667.85,8526.55,8552.95
64,NIFTY GROWSECT 15,27 Feb 2023,8694.6,8699.65,8566.9,8605.95
65,NIFTY GROWSECT 15,24 Feb 2023,8758.25,8767.35,8675.9,8703.95
66,NIFTY GROWSECT 15,23 Feb 2023,8752.0,8798.65,8702.1,8740.05
67,NIFTY GROWSECT 15,22 Feb 2023,8782.85,8791.8,8724.4,8734.8
68,NIFTY GROWSECT 15,21 Feb 2023,8845.7,8853.55,8771.65,8786.25
69,NIFTY GROWSECT 15,20 Feb 2023,8848.25,8857.8,8803.0,8810.95
70,NIFTY GROWSECT 15,17 Feb 2023,8888.45,8899.5,8836.15,8846.25
71,NIFTY GROWSECT 15,16 Feb 2023,8931.3,8962.75,8896.65,8912.25
72,NIFTY GROWSECT 15,15 Feb 2023,8836.5,8908.8,8816.05,8904.3
73,NIFTY GROWSECT 15,14 Feb 2023,8869.55,8918.85,8836.35,8878.75
74,NIFTY GROWSECT 15,13 Feb 2023,8853.55,8869.75,8794.55,8844.55
