,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY IND DIGITAL,05 Jun 2023,5672.50,5687.20,5630.65,5640.9
1,NIFTY IND DIGITAL,02 Jun 2023,5614.55,5664.20,5612.40,5659.05
2,NIFTY IND DIGITAL,01 Jun 2023,5580.40,5620.70,5570.90,5596.35
3,NIFTY IND DIGITAL,31 May 2023,5515.20,5598.45,5508.30,5574.4
4,NIFTY IND DIGITAL,30 May 2023,5539.35,5539.40,5501.85,5516.05
5,NIFTY IND DIGITAL,29 May 2023,5567.60,5574.50,5525.40,5536.0
6,NIFTY IND DIGITAL,26 May 2023,5477.95,5543.50,5475.35,5535.2
7,NIFTY IND DIGITAL,25 May 2023,5427.30,5475.15,5418.80,5469.4
8,NIFTY IND DIGITAL,24 May 2023,5402.75,5431.00,5386.30,5424.05
9,NIFTY IND DIGITAL,23 May 2023,5449.05,5467.70,5416.45,5423.8
10,NIFTY IND DIGITAL,22 May 2023,5381.40,5439.90,5373.40,5426.75
11,NIFTY IND DIGITAL,19 May 2023,5341.60,5380.30,5317.40,5375.35
12,NIFTY IND DIGITAL,18 May 2023,5376.35,5379.70,5308.45,5316.55
13,NIFTY IND DIGITAL,17 May 2023,5374.50,5382.05,5303.70,5347.45
14,NIFTY IND DIGITAL,16 May 2023,5384.80,5400.90,5361.70,5373.85
15,NIFTY IND DIGITAL,15 May 2023,5310.40,5384.55,5306.80,5368.15
16,NIFTY IND DIGITAL,12 May 2023,5332.40,5350.20,5298.85,5319.25
17,NIFTY IND DIGITAL,11 May 2023,5368.00,5371.35,5327.15,5334.6
18,NIFTY IND DIGITAL,10 May 2023,5344.60,5353.80,5312.40,5341.0
19,NIFTY IND DIGITAL,09 May 2023,5343.75,5357.70,5317.05,5326.85
20,NIFTY IND DIGITAL,08 May 2023,5299.50,5340.85,5292.60,5333.2
21,NIFTY IND DIGITAL,05 May 2023,5303.25,5314.05,5261.20,5287.3
22,NIFTY IND DIGITAL,04 May 2023,5244.95,5310.85,5243.30,5304.15
23,NIFTY IND DIGITAL,03 May 2023,5264.65,5272.50,5240.35,5248.45
24,NIFTY IND DIGITAL,02 May 2023,5259.30,5299.50,5248.50,5277.95
25,NIFTY IND DIGITAL,28 Apr 2023,5153.20,5252.80,5150.25,5247.95
26,NIFTY IND DIGITAL,27 Apr 2023,5080.15,5142.75,5076.15,5136.65
27,NIFTY IND DIGITAL,26 Apr 2023,5066.35,5082.75,5049.65,5073.4
28,NIFTY IND DIGITAL,25 Apr 2023,5062.15,5086.55,5041.55,5059.65
29,NIFTY IND DIGITAL,24 Apr 2023,5050.00,5059.30,5019.25,5053.0
30,NIFTY IND DIGITAL,21 Apr 2023,5025.10,5040.30,5008.80,5035.6
31,NIFTY IND DIGITAL,20 Apr 2023,5009.85,5029.65,4999.05,5011.85
32,NIFTY IND DIGITAL,19 Apr 2023,5062.45,5064.70,4996.40,5003.55
33,NIFTY IND DIGITAL,18 Apr 2023,5058.35,5062.40,5021.55,5054.15
34,NIFTY IND DIGITAL,17 Apr 2023,5071.10,5071.10,4968.70,5036.45
35,NIFTY IND DIGITAL,13 Apr 2023,5186.90,5188.10,5135.95,5154.5
36,NIFTY IND DIGITAL,12 Apr 2023,5197.00,5211.90,5171.80,5206.7
37,NIFTY IND DIGITAL,11 Apr 2023,5205.05,5221.65,5170.15,5183.95
38,NIFTY IND DIGITAL,10 Apr 2023,5156.50,5200.00,5144.60,5190.1
39,NIFTY IND DIGITAL,06 Apr 2023,5173.70,5175.15,5138.50,5148.6
40,NIFTY IND DIGITAL,05 Apr 2023,5120.50,5189.20,5114.25,5181.0
41,NIFTY IND DIGITAL,03 Apr 2023,5147.70,5147.80,5089.25,5127.6
42,NIFTY IND DIGITAL,31 Mar 2023,5075.80,5133.05,5064.70,5117.3
43,NIFTY IND DIGITAL,29 Mar 2023,5001.15,5049.85,4986.90,5037.85
44,NIFTY IND DIGITAL,28 Mar 2023,5060.70,5065.05,4985.90,4992.6
45,NIFTY IND DIGITAL,27 Mar 2023,5067.70,5093.10,5040.85,5048.85
46,NIFTY IND DIGITAL,24 Mar 2023,5116.60,5145.10,5061.20,5070.75
47,NIFTY IND DIGITAL,23 Mar 2023,5106.00,5113.10,5082.85,5100.35
48,NIFTY IND DIGITAL,22 Mar 2023,5140.85,5166.40,5114.30,5121.2
49,NIFTY IND DIGITAL,21 Mar 2023,5128.60,5139.60,5101.20,5109.65
50,NIFTY IND DIGITAL,20 Mar 2023,5132.85,5154.95,5080.30,5112.4
51,NIFTY IND DIGITAL,17 Mar 2023,5134.40,5193.80,5133.85,5176.3
52,NIFTY IND DIGITAL,16 Mar 2023,5092.35,5112.95,5034.35,5095.45
53,NIFTY IND DIGITAL,15 Mar 2023,5145.45,5162.35,5078.35,5095.15
54,NIFTY IND DIGITAL,14 Mar 2023,5161.10,5180.40,5074.05,5105.45
55,NIFTY IND DIGITAL,13 Mar 2023,5237.90,5275.40,5144.15,5156.8
56,NIFTY IND DIGITAL,10 Mar 2023,5214.05,5226.10,5186.50,5221.25
57,NIFTY IND DIGITAL,09 Mar 2023,5319.95,5319.95,5246.65,5253.6
58,NIFTY IND DIGITAL,08 Mar 2023,5286.50,5302.25,5242.20,5294.8
59,NIFTY IND DIGITAL,06 Mar 2023,5305.85,5352.30,5301.30,5320.55
60,NIFTY IND DIGITAL,03 Mar 2023,5281.20,5293.75,5267.30,5279.95
61,NIFTY IND DIGITAL,02 Mar 2023,5261.70,5268.50,5229.75,5247.85
62,NIFTY IND DIGITAL,01 Mar 2023,5205.10,5281.55,5204.40,5274.1
63,NIFTY IND DIGITAL,28 Feb 2023,5237.55,5265.30,5191.55,5199.1
64,NIFTY IND DIGITAL,27 Feb 2023,5280.60,5280.60,5191.50,5221.95
65,NIFTY IND DIGITAL,24 Feb 2023,5324.55,5346.55,5289.80,5299.95
66,NIFTY IND DIGITAL,23 Feb 2023,5314.35,5338.35,5272.70,5300.35
67,NIFTY IND DIGITAL,22 Feb 2023,5338.05,5348.00,5289.60,5299.9
68,NIFTY IND DIGITAL,21 Feb 2023,5397.00,5414.30,5367.80,5376.35
69,NIFTY IND DIGITAL,20 Feb 2023,5355.20,5415.10,5338.75,5384.3
70,NIFTY IND DIGITAL,17 Feb 2023,5361.10,5377.85,5331.40,5346.75
71,NIFTY IND DIGITAL,16 Feb 2023,5369.60,5420.80,5366.05,5393.25
72,NIFTY IND DIGITAL,15 Feb 2023,5291.55,5353.05,5280.30,5346.95
73,NIFTY IND DIGITAL,14 Feb 2023,5295.25,5326.25,5294.05,5298.5
74,NIFTY IND DIGITAL,13 Feb 2023,5398.50,5399.95,5290.85,5299.1
75,NIFTY IND DIGITAL,10 Feb 2023,5403.30,5414.25,5365.30,5408.45
76,NIFTY IND DIGITAL,09 Feb 2023,5388.70,5446.50,5371.40,5425.3
77,NIFTY IND DIGITAL,08 Feb 2023,5294.75,5392.45,5293.80,5384.65
78,NIFTY IND DIGITAL,07 Feb 2023,5282.80,5294.45,5252.80,5266.4
79,NIFTY IND DIGITAL,06 Feb 2023,5252.85,5280.75,5230.95,5269.4
