,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY INDIA DEFENCE,05 Jun 2023,-,-,-,2533.68
1,NIFTY INDIA DEFENCE,02 Jun 2023,-,-,-,2448.6
2,NIFTY INDIA DEFENCE,01 Jun 2023,-,-,-,2412.7
3,NIFTY INDIA DEFENCE,31 May 2023,-,-,-,2410.06
4,NIFTY INDIA DEFENCE,30 May 2023,-,-,-,2393.93
5,NIFTY INDIA DEFENCE,29 May 2023,-,-,-,2374.49
6,NIFTY INDIA DEFENCE,26 May 2023,-,-,-,2359.96
7,NIFTY INDIA DEFENCE,25 May 2023,-,-,-,2346.58
8,NIFTY INDIA DEFENCE,24 May 2023,-,-,-,2359.94
9,NIFTY INDIA DEFENCE,23 May 2023,-,-,-,2371.96
10,NIFTY INDIA DEFENCE,22 May 2023,-,-,-,2383.88
11,NIFTY INDIA DEFENCE,19 May 2023,-,-,-,2376.48
12,NIFTY INDIA DEFENCE,18 May 2023,-,-,-,2388.99
13,NIFTY INDIA DEFENCE,17 May 2023,-,-,-,2410.62
14,NIFTY INDIA DEFENCE,16 May 2023,-,-,-,2386.22
15,NIFTY INDIA DEFENCE,15 May 2023,-,-,-,2337.73
16,NIFTY INDIA DEFENCE,12 May 2023,-,-,-,2327.09
17,NIFTY INDIA DEFENCE,11 May 2023,-,-,-,2346.42
18,NIFTY INDIA DEFENCE,10 May 2023,-,-,-,2335.45
19,NIFTY INDIA DEFENCE,09 May 2023,-,-,-,2331.97
20,NIFTY INDIA DEFENCE,08 May 2023,-,-,-,2348.37
21,NIFTY INDIA DEFENCE,05 May 2023,-,-,-,2346.48
22,NIFTY INDIA DEFENCE,04 May 2023,-,-,-,2367.98
23,NIFTY INDIA DEFENCE,03 May 2023,-,-,-,2358.38
24,NIFTY INDIA DEFENCE,02 May 2023,-,-,-,2330.39
25,NIFTY INDIA DEFENCE,28 Apr 2023,-,-,-,2300.32
26,NIFTY INDIA DEFENCE,27 Apr 2023,-,-,-,2256.29
27,NIFTY INDIA DEFENCE,26 Apr 2023,-,-,-,2253.52
28,NIFTY INDIA DEFENCE,25 Apr 2023,-,-,-,2241.29
29,NIFTY INDIA DEFENCE,24 Apr 2023,-,-,-,2252.12
30,NIFTY INDIA DEFENCE,21 Apr 2023,-,-,-,2239.68
31,NIFTY INDIA DEFENCE,20 Apr 2023,-,-,-,2231.32
32,NIFTY INDIA DEFENCE,19 Apr 2023,-,-,-,2227.23
33,NIFTY INDIA DEFENCE,18 Apr 2023,-,-,-,2243.21
34,NIFTY INDIA DEFENCE,17 Apr 2023,-,-,-,2245.75
35,NIFTY INDIA DEFENCE,13 Apr 2023,-,-,-,2228.08
36,NIFTY INDIA DEFENCE,12 Apr 2023,-,-,-,2226.05
37,NIFTY INDIA DEFENCE,11 Apr 2023,-,-,-,2209.56
38,NIFTY INDIA DEFENCE,10 Apr 2023,-,-,-,2178.84
39,NIFTY INDIA DEFENCE,06 Apr 2023,-,-,-,2164.07
40,NIFTY INDIA DEFENCE,05 Apr 2023,-,-,-,2147.62
41,NIFTY INDIA DEFENCE,03 Apr 2023,-,-,-,2130.61
42,NIFTY INDIA DEFENCE,31 Mar 2023,-,-,-,2131.67
43,NIFTY INDIA DEFENCE,29 Mar 2023,-,-,-,2077.18
44,NIFTY INDIA DEFENCE,28 Mar 2023,-,-,-,2010.72
45,NIFTY INDIA DEFENCE,27 Mar 2023,-,-,-,2031.97
46,NIFTY INDIA DEFENCE,24 Mar 2023,-,-,-,2045.85
47,NIFTY INDIA DEFENCE,23 Mar 2023,-,-,-,2052.45
48,NIFTY INDIA DEFENCE,22 Mar 2023,-,-,-,2083.34
49,NIFTY INDIA DEFENCE,21 Mar 2023,-,-,-,2098.75
50,NIFTY INDIA DEFENCE,20 Mar 2023,-,-,-,2086.52
51,NIFTY INDIA DEFENCE,17 Mar 2023,-,-,-,2119.83
52,NIFTY INDIA DEFENCE,16 Mar 2023,-,-,-,2075.89
53,NIFTY INDIA DEFENCE,15 Mar 2023,-,-,-,2099.61
