,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY INDIA MFG,05 Jun 2023,8796.10,8839.45,8783.60,8829.3
1,NIFTY INDIA MFG,02 Jun 2023,8727.80,8761.85,8717.00,8756.6
2,NIFTY INDIA MFG,01 Jun 2023,8695.85,8721.85,8684.40,8698.15
3,NIFTY INDIA MFG,31 May 2023,8665.75,8692.50,8652.70,8680.4
4,NIFTY INDIA MFG,30 May 2023,8688.60,8703.70,8665.45,8674.75
5,NIFTY INDIA MFG,29 May 2023,8679.55,8683.30,8641.55,8677.75
6,NIFTY INDIA MFG,26 May 2023,8551.65,8635.95,8543.20,8630.9
7,NIFTY INDIA MFG,25 May 2023,8518.70,8552.95,8499.30,8544.5
8,NIFTY INDIA MFG,24 May 2023,8501.35,8548.05,8478.05,8528.8
9,NIFTY INDIA MFG,23 May 2023,8491.25,8530.55,8479.15,8509.0
10,NIFTY INDIA MFG,22 May 2023,8420.05,8475.20,8385.65,8470.7
11,NIFTY INDIA MFG,19 May 2023,8438.70,8441.75,8359.05,8420.2
12,NIFTY INDIA MFG,18 May 2023,8532.50,8535.30,8416.95,8424.05
13,NIFTY INDIA MFG,17 May 2023,8520.60,8536.90,8459.85,8490.8
14,NIFTY INDIA MFG,16 May 2023,8538.55,8559.60,8499.85,8507.6
15,NIFTY INDIA MFG,15 May 2023,8509.60,8532.65,8479.50,8509.7
16,NIFTY INDIA MFG,12 May 2023,8508.75,8510.05,8456.95,8492.4
17,NIFTY INDIA MFG,11 May 2023,8527.85,8527.85,8487.05,8502.25
18,NIFTY INDIA MFG,10 May 2023,8520.20,8528.15,8482.40,8516.85
19,NIFTY INDIA MFG,09 May 2023,8504.25,8531.70,8473.10,8496.75
20,NIFTY INDIA MFG,08 May 2023,8442.00,8494.15,8435.55,8486.4
21,NIFTY INDIA MFG,05 May 2023,8454.10,8476.55,8408.30,8414.3
22,NIFTY INDIA MFG,04 May 2023,8425.70,8458.15,8413.10,8451.35
23,NIFTY INDIA MFG,03 May 2023,8387.60,8411.30,8367.80,8405.2
24,NIFTY INDIA MFG,02 May 2023,8363.20,8409.45,8359.20,8396.3
25,NIFTY INDIA MFG,28 Apr 2023,8290.60,8347.50,8277.20,8340.65
26,NIFTY INDIA MFG,27 Apr 2023,8220.00,8266.00,8209.05,8259.9
27,NIFTY INDIA MFG,26 Apr 2023,8199.80,8221.65,8180.25,8217.8
28,NIFTY INDIA MFG,25 Apr 2023,8200.60,8216.90,8178.70,8205.2
29,NIFTY INDIA MFG,24 Apr 2023,8210.45,8211.40,8173.10,8199.5
30,NIFTY INDIA MFG,21 Apr 2023,8238.75,8240.00,8185.15,8207.55
31,NIFTY INDIA MFG,20 Apr 2023,8250.95,8256.70,8217.90,8228.8
32,NIFTY INDIA MFG,19 Apr 2023,8251.45,8274.95,8231.05,8236.9
33,NIFTY INDIA MFG,18 Apr 2023,8222.55,8250.85,8200.00,8245.65
34,NIFTY INDIA MFG,17 Apr 2023,8213.35,8213.35,8176.65,8209.15
35,NIFTY INDIA MFG,13 Apr 2023,8199.05,8211.60,8168.90,8189.75
36,NIFTY INDIA MFG,12 Apr 2023,8141.35,8192.80,8136.35,8188.05
37,NIFTY INDIA MFG,11 Apr 2023,8092.80,8127.90,8077.40,8122.0
38,NIFTY INDIA MFG,10 Apr 2023,8047.55,8077.45,8033.05,8065.15
39,NIFTY INDIA MFG,06 Apr 2023,7980.90,8029.00,7963.35,8022.85
40,NIFTY INDIA MFG,05 Apr 2023,7970.75,7983.60,7935.90,7977.8
41,NIFTY INDIA MFG,03 Apr 2023,7991.85,7991.95,7936.30,7966.1
42,NIFTY INDIA MFG,31 Mar 2023,7902.45,7964.50,7900.65,7948.1
43,NIFTY INDIA MFG,29 Mar 2023,7783.95,7873.65,7780.00,7862.6
44,NIFTY INDIA MFG,28 Mar 2023,7818.90,7822.30,7754.05,7778.2
45,NIFTY INDIA MFG,27 Mar 2023,7817.95,7841.15,7786.55,7796.9
46,NIFTY INDIA MFG,24 Mar 2023,7883.50,7885.50,7790.85,7803.85
47,NIFTY INDIA MFG,23 Mar 2023,7863.80,7890.80,7851.40,7868.55
48,NIFTY INDIA MFG,22 Mar 2023,7876.05,7900.05,7863.55,7879.75
49,NIFTY INDIA MFG,21 Mar 2023,7851.30,7866.20,7831.10,7851.0
50,NIFTY INDIA MFG,20 Mar 2023,7874.55,7888.60,7769.80,7824.1
51,NIFTY INDIA MFG,17 Mar 2023,7919.65,7930.55,7850.60,7894.0
52,NIFTY INDIA MFG,16 Mar 2023,7877.50,7884.20,7778.70,7856.5
53,NIFTY INDIA MFG,15 Mar 2023,7928.75,7950.50,7873.35,7881.75
54,NIFTY INDIA MFG,14 Mar 2023,7918.05,7920.10,7842.95,7870.25
55,NIFTY INDIA MFG,13 Mar 2023,8017.85,8044.20,7876.90,7904.4
56,NIFTY INDIA MFG,10 Mar 2023,8002.25,8025.80,7955.85,8018.7
57,NIFTY INDIA MFG,09 Mar 2023,8126.15,8140.55,8039.10,8046.35
58,NIFTY INDIA MFG,08 Mar 2023,8058.85,8114.70,8029.95,8106.75
59,NIFTY INDIA MFG,06 Mar 2023,8079.25,8111.75,8074.10,8081.75
60,NIFTY INDIA MFG,03 Mar 2023,8041.50,8068.45,8023.95,8046.9
61,NIFTY INDIA MFG,02 Mar 2023,8059.25,8061.55,7993.50,8001.85
62,NIFTY INDIA MFG,01 Mar 2023,7958.60,8052.45,7957.85,8044.35
63,NIFTY INDIA MFG,28 Feb 2023,7999.25,8005.85,7937.65,7943.6
64,NIFTY INDIA MFG,27 Feb 2023,8070.55,8073.70,7933.85,7986.8
65,NIFTY INDIA MFG,24 Feb 2023,8150.15,8162.85,8062.45,8079.4
66,NIFTY INDIA MFG,23 Feb 2023,8154.10,8164.70,8095.40,8126.75
67,NIFTY INDIA MFG,22 Feb 2023,8217.00,8219.25,8120.55,8137.35
68,NIFTY INDIA MFG,21 Feb 2023,8264.20,8277.15,8217.95,8230.3
69,NIFTY INDIA MFG,20 Feb 2023,8278.65,8284.90,8209.00,8233.05
70,NIFTY INDIA MFG,17 Feb 2023,8292.55,8323.35,8256.65,8270.15
71,NIFTY INDIA MFG,16 Feb 2023,8279.00,8330.35,8273.55,8312.5
72,NIFTY INDIA MFG,15 Feb 2023,8189.75,8252.25,8189.70,8244.75
73,NIFTY INDIA MFG,14 Feb 2023,8214.40,8221.85,8176.40,8199.35
74,NIFTY INDIA MFG,13 Feb 2023,8244.20,8261.65,8183.65,8193.25
75,NIFTY INDIA MFG,10 Feb 2023,8233.25,8250.05,8200.65,8237.9
76,NIFTY INDIA MFG,09 Feb 2023,8246.25,8269.90,8224.50,8234.35
77,NIFTY INDIA MFG,08 Feb 2023,8202.75,8258.90,8174.20,8252.65
78,NIFTY INDIA MFG,07 Feb 2023,8226.70,8235.50,8153.95,8185.45
79,NIFTY INDIA MFG,06 Feb 2023,8230.20,8243.90,8174.45,8235.9
80,NIFTY INDIA MFG,03 Feb 2023,8259.95,8264.50,8156.00,8244.15
