,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY INFRA,05 Jun 2023,5493.9,5502.1,5484.95,5495.75
1,NIFTY INFRA,02 Jun 2023,5470.3,5480.15,5453.75,5472.4
2,NIFTY INFRA,01 Jun 2023,5461.55,5469.05,5439.4,5446.75
3,NIFTY INFRA,31 May 2023,5459.85,5488.8,5432.6,5459.8
4,NIFTY INFRA,30 May 2023,5483.3,5507.9,5469.25,5473.25
5,NIFTY INFRA,29 May 2023,5479.35,5482.4,5457.75,5475.0
6,NIFTY INFRA,26 May 2023,5437.65,5462.25,5424.85,5459.9
7,NIFTY INFRA,25 May 2023,5379.2,5424.05,5370.3,5415.7
8,NIFTY INFRA,24 May 2023,5400.4,5409.65,5371.95,5379.55
9,NIFTY INFRA,23 May 2023,5421.1,5431.75,5390.1,5396.75
10,NIFTY INFRA,22 May 2023,5354.35,5412.9,5343.5,5401.0
11,NIFTY INFRA,19 May 2023,5352.65,5366.65,5312.75,5361.5
12,NIFTY INFRA,18 May 2023,5424.15,5424.7,5341.6,5348.05
13,NIFTY INFRA,17 May 2023,5421.8,5435.85,5377.4,5397.2
14,NIFTY INFRA,16 May 2023,5455.95,5457.9,5407.7,5411.65
15,NIFTY INFRA,15 May 2023,5416.95,5455.0,5407.25,5436.9
16,NIFTY INFRA,12 May 2023,5432.0,5433.9,5392.0,5408.9
17,NIFTY INFRA,11 May 2023,5462.5,5464.05,5433.65,5442.8
18,NIFTY INFRA,10 May 2023,5474.4,5484.75,5453.9,5480.55
19,NIFTY INFRA,09 May 2023,5464.65,5485.05,5440.35,5454.5
20,NIFTY INFRA,08 May 2023,5418.4,5462.2,5413.1,5454.0
21,NIFTY INFRA,05 May 2023,5395.0,5421.15,5392.8,5405.9
22,NIFTY INFRA,04 May 2023,5367.65,5400.55,5358.15,5396.15
23,NIFTY INFRA,03 May 2023,5392.95,5393.85,5354.05,5363.6
24,NIFTY INFRA,02 May 2023,5376.3,5400.1,5371.5,5387.2
25,NIFTY INFRA,28 Apr 2023,5296.9,5362.85,5285.65,5356.2
26,NIFTY INFRA,27 Apr 2023,5253.2,5284.1,5243.2,5279.1
27,NIFTY INFRA,26 Apr 2023,5233.15,5251.75,5215.6,5246.5
28,NIFTY INFRA,25 Apr 2023,5204.0,5236.1,5198.0,5226.55
29,NIFTY INFRA,24 Apr 2023,5184.3,5198.05,5157.6,5194.0
30,NIFTY INFRA,21 Apr 2023,5199.9,5205.85,5155.7,5170.05
31,NIFTY INFRA,20 Apr 2023,5189.0,5199.2,5176.9,5192.4
32,NIFTY INFRA,19 Apr 2023,5180.6,5195.15,5164.25,5177.9
33,NIFTY INFRA,18 Apr 2023,5225.75,5227.85,5162.45,5185.25
34,NIFTY INFRA,17 Apr 2023,5258.8,5258.8,5195.05,5209.65
35,NIFTY INFRA,13 Apr 2023,5232.25,5235.35,5193.85,5209.9
36,NIFTY INFRA,12 Apr 2023,5229.15,5242.05,5214.1,5221.8
37,NIFTY INFRA,11 Apr 2023,5226.1,5237.3,5204.15,5224.7
38,NIFTY INFRA,10 Apr 2023,5181.4,5217.5,5177.45,5207.75
39,NIFTY INFRA,06 Apr 2023,5141.65,5181.95,5139.0,5164.3
40,NIFTY INFRA,05 Apr 2023,5124.3,5147.1,5103.85,5142.0
41,NIFTY INFRA,03 Apr 2023,5120.45,5120.45,5090.05,5105.8
42,NIFTY INFRA,31 Mar 2023,5047.85,5112.2,5046.55,5090.95
43,NIFTY INFRA,29 Mar 2023,4983.15,5028.1,4968.95,5013.55
44,NIFTY INFRA,28 Mar 2023,5032.5,5032.75,4966.0,4981.45
45,NIFTY INFRA,27 Mar 2023,5031.3,5057.75,5011.0,5019.65
46,NIFTY INFRA,24 Mar 2023,5088.25,5091.9,5013.8,5024.35
47,NIFTY INFRA,23 Mar 2023,5094.95,5116.55,5081.2,5086.95
48,NIFTY INFRA,22 Mar 2023,5122.1,5129.25,5098.35,5103.95
49,NIFTY INFRA,21 Mar 2023,5079.85,5108.5,5079.2,5099.95
50,NIFTY INFRA,20 Mar 2023,5072.6,5081.9,5015.8,5057.1
51,NIFTY INFRA,17 Mar 2023,5103.55,5109.55,5066.9,5090.25
52,NIFTY INFRA,16 Mar 2023,5060.85,5094.8,5011.8,5068.2
53,NIFTY INFRA,15 Mar 2023,5074.6,5093.45,5043.65,5053.45
54,NIFTY INFRA,14 Mar 2023,5068.85,5103.0,5031.9,5054.0
55,NIFTY INFRA,13 Mar 2023,5152.75,5169.2,5049.8,5068.0
56,NIFTY INFRA,10 Mar 2023,5132.05,5143.45,5095.55,5139.6
57,NIFTY INFRA,09 Mar 2023,5229.9,5229.9,5162.2,5168.2
58,NIFTY INFRA,08 Mar 2023,5161.2,5204.95,5146.25,5201.8
59,NIFTY INFRA,06 Mar 2023,5153.45,5190.8,5151.65,5163.55
60,NIFTY INFRA,03 Mar 2023,5092.15,5147.6,5085.9,5131.7
61,NIFTY INFRA,02 Mar 2023,5054.7,5060.85,5033.0,5049.5
62,NIFTY INFRA,01 Mar 2023,5022.3,5057.55,5019.95,5051.6
63,NIFTY INFRA,28 Feb 2023,5033.4,5044.35,4998.0,5016.9
64,NIFTY INFRA,27 Feb 2023,5045.95,5047.1,4990.15,5031.55
65,NIFTY INFRA,24 Feb 2023,5061.1,5072.6,5027.4,5050.25
66,NIFTY INFRA,23 Feb 2023,5075.4,5088.05,5034.25,5039.65
67,NIFTY INFRA,22 Feb 2023,5150.35,5150.8,5056.05,5065.55
68,NIFTY INFRA,21 Feb 2023,5175.65,5196.35,5157.2,5161.15
69,NIFTY INFRA,20 Feb 2023,5169.9,5184.95,5147.05,5152.25
70,NIFTY INFRA,17 Feb 2023,5128.15,5175.1,5116.5,5161.5
71,NIFTY INFRA,16 Feb 2023,5146.6,5156.25,5129.3,5138.7
72,NIFTY INFRA,15 Feb 2023,5065.05,5127.4,5060.5,5118.45
73,NIFTY INFRA,14 Feb 2023,5074.2,5086.45,5043.1,5074.6
74,NIFTY INFRA,13 Feb 2023,5078.75,5094.2,5054.25,5062.65
75,NIFTY INFRA,10 Feb 2023,5057.1,5078.7,5047.8,5075.1
76,NIFTY INFRA,09 Feb 2023,5078.2,5085.85,5044.65,5064.15
77,NIFTY INFRA,08 Feb 2023,5060.6,5086.5,5049.65,5079.85
78,NIFTY INFRA,07 Feb 2023,5069.15,5085.9,5043.2,5055.1
79,NIFTY INFRA,06 Feb 2023,5030.75,5059.3,5013.35,5055.65
80,NIFTY INFRA,03 Feb 2023,5028.25,5047.45,4938.8,5042.4
81,NIFTY INFRA,02 Feb 2023,4999.5,5027.5,4941.85,4997.3
82,NIFTY INFRA,01 Feb 2023,5107.15,5133.9,4930.6,5009.45
83,NIFTY INFRA,31 Jan 2023,5041.45,5070.2,5013.8,5061.35
84,NIFTY INFRA,30 Jan 2023,5018.6,5067.55,4957.35,5012.15
85,NIFTY INFRA,27 Jan 2023,5126.8,5128.95,4948.9,5020.25
86,NIFTY INFRA,25 Jan 2023,5193.85,5193.85,5111.35,5124.95
87,NIFTY INFRA,24 Jan 2023,5252.75,5254.5,5190.55,5205.2
88,NIFTY INFRA,23 Jan 2023,5272.4,5284.8,5230.2,5238.4
89,NIFTY INFRA,20 Jan 2023,5303.0,5305.15,5247.35,5257.35
90,NIFTY INFRA,19 Jan 2023,5286.35,5298.3,5267.6,5293.05
91,NIFTY INFRA,18 Jan 2023,5262.8,5298.95,5249.75,5294.25
92,NIFTY INFRA,17 Jan 2023,5214.95,5262.7,5210.55,5258.45
93,NIFTY INFRA,16 Jan 2023,5242.1,5249.7,5192.4,5202.55
94,NIFTY INFRA,13 Jan 2023,5214.5,5234.75,5186.75,5231.25
95,NIFTY INFRA,12 Jan 2023,5236.75,5251.45,5195.4,5214.5
