,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY LARGEMID250,05 Jun 2023,10592.60,10607.30,10575.25,10580.15
1,NIFTY LARGEMID250,02 Jun 2023,10545.65,10559.45,10529.20,10548.15
2,NIFTY LARGEMID250,01 Jun 2023,10525.60,10551.50,10498.30,10509.4
3,NIFTY LARGEMID250,31 May 2023,10498.85,10520.45,10462.45,10508.1
4,NIFTY LARGEMID250,30 May 2023,10493.80,10523.65,10477.90,10510.2
5,NIFTY LARGEMID250,29 May 2023,10493.70,10502.65,10466.00,10483.25
6,NIFTY LARGEMID250,26 May 2023,10365.50,10442.60,10355.45,10437.5
7,NIFTY LARGEMID250,25 May 2023,10317.20,10356.30,10300.50,10347.2
8,NIFTY LARGEMID250,24 May 2023,10315.35,10359.60,10292.70,10318.8
9,NIFTY LARGEMID250,23 May 2023,10317.25,10349.75,10311.00,10324.95
10,NIFTY LARGEMID250,22 May 2023,10220.30,10290.95,10201.85,10283.95
11,NIFTY LARGEMID250,19 May 2023,10227.35,10229.35,10135.25,10222.2
12,NIFTY LARGEMID250,18 May 2023,10305.85,10312.00,10199.00,10207.85
13,NIFTY LARGEMID250,17 May 2023,10300.00,10304.35,10213.00,10257.6
14,NIFTY LARGEMID250,16 May 2023,10333.15,10355.65,10282.10,10290.8
15,NIFTY LARGEMID250,15 May 2023,10265.00,10331.45,10249.90,10305.55
16,NIFTY LARGEMID250,12 May 2023,10270.30,10275.60,10215.15,10255.15
17,NIFTY LARGEMID250,11 May 2023,10284.25,10293.00,10253.95,10268.6
18,NIFTY LARGEMID250,10 May 2023,10256.75,10257.90,10189.45,10251.7
19,NIFTY LARGEMID250,09 May 2023,10254.80,10290.25,10214.00,10231.5
20,NIFTY LARGEMID250,08 May 2023,10162.65,10237.65,10155.85,10229.65
21,NIFTY LARGEMID250,05 May 2023,10180.80,10211.90,10122.90,10132.15
22,NIFTY LARGEMID250,04 May 2023,10141.90,10217.35,10136.10,10210.75
23,NIFTY LARGEMID250,03 May 2023,10120.45,10154.20,10100.55,10133.0
24,NIFTY LARGEMID250,02 May 2023,10110.05,10153.20,10102.45,10133.9
25,NIFTY LARGEMID250,28 Apr 2023,9991.70,10079.25,9975.60,10070.35
26,NIFTY LARGEMID250,27 Apr 2023,9917.75,9974.35,9911.85,9968.5
27,NIFTY LARGEMID250,26 Apr 2023,9890.40,9918.20,9861.60,9913.1
28,NIFTY LARGEMID250,25 Apr 2023,9897.60,9912.45,9875.40,9895.05
29,NIFTY LARGEMID250,24 Apr 2023,9873.30,9892.45,9834.15,9888.5
30,NIFTY LARGEMID250,21 Apr 2023,9879.95,9881.70,9807.75,9844.85
31,NIFTY LARGEMID250,20 Apr 2023,9883.30,9899.35,9855.30,9866.65
32,NIFTY LARGEMID250,19 Apr 2023,9900.85,9906.40,9857.50,9868.8
33,NIFTY LARGEMID250,18 Apr 2023,9898.95,9912.95,9863.20,9892.5
34,NIFTY LARGEMID250,17 Apr 2023,9879.60,9879.60,9800.20,9872.4
35,NIFTY LARGEMID250,13 Apr 2023,9879.15,9894.55,9838.95,9879.65
36,NIFTY LARGEMID250,12 Apr 2023,9837.90,9873.65,9822.60,9869.35
37,NIFTY LARGEMID250,11 Apr 2023,9803.75,9833.45,9779.85,9815.8
38,NIFTY LARGEMID250,10 Apr 2023,9769.05,9786.20,9740.95,9768.2
39,NIFTY LARGEMID250,06 Apr 2023,9694.05,9757.85,9670.80,9741.7
40,NIFTY LARGEMID250,05 Apr 2023,9661.05,9704.00,9653.50,9698.3
41,NIFTY LARGEMID250,03 Apr 2023,9663.15,9663.75,9613.15,9651.8
42,NIFTY LARGEMID250,31 Mar 2023,9555.95,9637.00,9554.10,9618.9
43,NIFTY LARGEMID250,29 Mar 2023,9386.55,9517.35,9386.55,9500.9
44,NIFTY LARGEMID250,28 Mar 2023,9435.20,9439.85,9358.55,9387.5
45,NIFTY LARGEMID250,27 Mar 2023,9454.20,9474.15,9404.10,9418.05
46,NIFTY LARGEMID250,24 Mar 2023,9532.70,9546.15,9425.10,9440.1
47,NIFTY LARGEMID250,23 Mar 2023,9548.95,9577.30,9524.00,9531.35
48,NIFTY LARGEMID250,22 Mar 2023,9577.75,9594.55,9554.15,9568.75
49,NIFTY LARGEMID250,21 Mar 2023,9519.45,9549.45,9494.85,9540.0
50,NIFTY LARGEMID250,20 Mar 2023,9544.10,9549.60,9405.10,9480.75
51,NIFTY LARGEMID250,17 Mar 2023,9573,9592.70,9503.65,9558.3
52,NIFTY LARGEMID250,16 Mar 2023,9498.10,9540.40,9401.65,9506.2
53,NIFTY LARGEMID250,15 Mar 2023,9581.15,9603.50,9487.20,9500.25
54,NIFTY LARGEMID250,14 Mar 2023,9583.10,9599.30,9480.30,9515.55
55,NIFTY LARGEMID250,13 Mar 2023,9725.90,9767.75,9551,9576.3
56,NIFTY LARGEMID250,10 Mar 2023,9743.20,9743.95,9668.80,9733.35
57,NIFTY LARGEMID250,09 Mar 2023,9899.10,9904.90,9798.30,9809.25
58,NIFTY LARGEMID250,08 Mar 2023,9823.05,9888.10,9794.85,9879.65
59,NIFTY LARGEMID250,06 Mar 2023,9827.55,9896.05,9824.85,9850.6
60,NIFTY LARGEMID250,03 Mar 2023,9745.25,9807.70,9737.65,9782.3
61,NIFTY LARGEMID250,02 Mar 2023,9725.30,9732.20,9679.65,9686.65
62,NIFTY LARGEMID250,01 Mar 2023,9636.90,9733.25,9634.25,9727.45
63,NIFTY LARGEMID250,28 Feb 2023,9612.75,9642.55,9583.20,9615.6
64,NIFTY LARGEMID250,27 Feb 2023,9640.85,9645,9540,9604.85
65,NIFTY LARGEMID250,24 Feb 2023,9713.65,9733.45,9640.75,9655.85
66,NIFTY LARGEMID250,23 Feb 2023,9712.45,9720.80,9626.70,9680.0
