,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY M150 QLTY50,05 Jun 2023,16972.00,17025.55,16946.70,17010.55
1,NIFTY M150 QLTY50,02 Jun 2023,16877.30,16912.75,16867.35,16893.45
2,NIFTY M150 QLTY50,01 Jun 2023,16833.75,16890.45,16805.10,16825.05
3,NIFTY M150 QLTY50,31 May 2023,16773.55,16807.90,16754.10,16794.1
4,NIFTY M150 QLTY50,30 May 2023,16749.25,16792.00,16723.10,16765.4
5,NIFTY M150 QLTY50,29 May 2023,16728.85,16745.50,16675.10,16724.7
6,NIFTY M150 QLTY50,26 May 2023,16565.10,16677.85,16527.10,16671.55
7,NIFTY M150 QLTY50,25 May 2023,16552.15,16630.45,16495.70,16613.05
8,NIFTY M150 QLTY50,24 May 2023,16509.80,16565.65,16451.70,16539.85
9,NIFTY M150 QLTY50,23 May 2023,16497.70,16550.85,16469.60,16526.3
10,NIFTY M150 QLTY50,22 May 2023,16339.10,16470.10,16291.05,16460.25
11,NIFTY M150 QLTY50,19 May 2023,16392.45,16392.45,16237.75,16344.15
12,NIFTY M150 QLTY50,18 May 2023,16549.75,16568.65,16343.70,16364.15
13,NIFTY M150 QLTY50,17 May 2023,16479.20,16508.45,16393.40,16486.15
14,NIFTY M150 QLTY50,16 May 2023,16386.75,16533.85,16376.80,16447.1
15,NIFTY M150 QLTY50,15 May 2023,16396.25,16398.45,16323.25,16335.15
16,NIFTY M150 QLTY50,12 May 2023,16362.65,16418.15,16300.30,16368.3
17,NIFTY M150 QLTY50,11 May 2023,16324.80,16377.10,16309.75,16361.55
18,NIFTY M150 QLTY50,10 May 2023,16240.40,16267.95,16187.55,16249.2
19,NIFTY M150 QLTY50,09 May 2023,16181.05,16274.00,16167.30,16184.15
20,NIFTY M150 QLTY50,08 May 2023,16110.60,16148.50,16085.80,16137.65
21,NIFTY M150 QLTY50,05 May 2023,16122.15,16152.55,16041.20,16057.1
22,NIFTY M150 QLTY50,04 May 2023,16059.35,16125.80,16030.15,16110.6
23,NIFTY M150 QLTY50,03 May 2023,16013.55,16087.40,15995.95,16038.7
24,NIFTY M150 QLTY50,02 May 2023,16036.65,16075.25,16001.55,16023.6
25,NIFTY M150 QLTY50,28 Apr 2023,15882.20,16004.05,15837.75,15983.95
26,NIFTY M150 QLTY50,27 Apr 2023,15737.15,15842.30,15728.30,15831.2
27,NIFTY M150 QLTY50,26 Apr 2023,15692.30,15733.30,15664.10,15724.9
28,NIFTY M150 QLTY50,25 Apr 2023,15786.30,15788.95,15687.55,15708.75
29,NIFTY M150 QLTY50,24 Apr 2023,15830.15,15834.30,15763.20,15792.35
30,NIFTY M150 QLTY50,21 Apr 2023,15805.75,15814.50,15735.35,15791.85
31,NIFTY M150 QLTY50,20 Apr 2023,15845.05,15873.85,15776.15,15788.95
32,NIFTY M150 QLTY50,19 Apr 2023,15938.95,15945.70,15815.35,15830.45
33,NIFTY M150 QLTY50,18 Apr 2023,15852.45,15952.50,15830.00,15911.2
34,NIFTY M150 QLTY50,17 Apr 2023,15799.20,15844.95,15716.50,15833.65
35,NIFTY M150 QLTY50,13 Apr 2023,15860.75,15903.95,15821.10,15845.45
36,NIFTY M150 QLTY50,12 Apr 2023,15748.50,15839.75,15724.45,15812.65
37,NIFTY M150 QLTY50,11 Apr 2023,15644.60,15735.30,15623.90,15720.0
38,NIFTY M150 QLTY50,10 Apr 2023,15634.75,15640.70,15555.35,15616.55
39,NIFTY M150 QLTY50,06 Apr 2023,15461.40,15606.30,15418.95,15592.35
40,NIFTY M150 QLTY50,05 Apr 2023,15345.90,15465.00,15299.90,15456.85
41,NIFTY M150 QLTY50,03 Apr 2023,15362.60,15367.85,15260.80,15321.0
42,NIFTY M150 QLTY50,31 Mar 2023,15197.20,15293.70,15190.05,15269.0
43,NIFTY M150 QLTY50,29 Mar 2023,15006.15,15183.50,14990.60,15148.8
44,NIFTY M150 QLTY50,28 Mar 2023,15072.50,15091.05,14957.35,15023.7
45,NIFTY M150 QLTY50,27 Mar 2023,15181.90,15197.65,15026.15,15053.75
46,NIFTY M150 QLTY50,24 Mar 2023,15304.55,15344.05,15145.05,15169.05
47,NIFTY M150 QLTY50,23 Mar 2023,15332.55,15368.60,15295.00,15306.1
48,NIFTY M150 QLTY50,22 Mar 2023,15379.55,15415.20,15335.15,15349.9
49,NIFTY M150 QLTY50,21 Mar 2023,15341.05,15362.75,15283.35,15303.9
50,NIFTY M150 QLTY50,20 Mar 2023,15388.00,15448.85,15209.55,15297.9
51,NIFTY M150 QLTY50,17 Mar 2023,15451.10,15484.65,15376.25,15398.15
52,NIFTY M150 QLTY50,16 Mar 2023,15407.60,15417.20,15257.55,15356.05
53,NIFTY M150 QLTY50,15 Mar 2023,15474.15,15514.70,15400.25,15415.55
54,NIFTY M150 QLTY50,14 Mar 2023,15518.25,15532.95,15304.00,15374.7
55,NIFTY M150 QLTY50,13 Mar 2023,15733.45,15765.95,15450.05,15500.8
56,NIFTY M150 QLTY50,10 Mar 2023,15717.70,15751.05,15591.75,15732.45
57,NIFTY M150 QLTY50,09 Mar 2023,15928.10,15938.90,15776.30,15799.45
58,NIFTY M150 QLTY50,08 Mar 2023,15854.55,15913.05,15811.85,15893.85
59,NIFTY M150 QLTY50,06 Mar 2023,15849.55,15963.45,15844.80,15893.15
60,NIFTY M150 QLTY50,03 Mar 2023,15875.45,15901.35,15761.70,15784.35
61,NIFTY M150 QLTY50,02 Mar 2023,15894.40,15897.90,15803.30,15825.8
62,NIFTY M150 QLTY50,01 Mar 2023,15740.75,15903.40,15740.50,15886.25
63,NIFTY M150 QLTY50,28 Feb 2023,15732.25,15767.30,15670.60,15723.75
64,NIFTY M150 QLTY50,27 Feb 2023,15758.60,15762.80,15548.55,15712.4
65,NIFTY M150 QLTY50,24 Feb 2023,15780.65,15825.30,15740.55,15763.65
66,NIFTY M150 QLTY50,23 Feb 2023,15807.15,15825.85,15642.70,15741.2
67,NIFTY M150 QLTY50,22 Feb 2023,15820.90,15865.70,15740.70,15789.6
68,NIFTY M150 QLTY50,21 Feb 2023,15850.15,15929.50,15820.60,15867.55
69,NIFTY M150 QLTY50,20 Feb 2023,15805.65,15846.60,15675.25,15811.15
70,NIFTY M150 QLTY50,17 Feb 2023,15807.20,15812.50,15756.85,15780.85
71,NIFTY M150 QLTY50,16 Feb 2023,15735.30,15873.85,15728.65,15832.95
