,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY MAHINDRA GROUP,05 Jun 2023,-,-,-,19390.82
1,NIFTY MAHINDRA GROUP,02 Jun 2023,-,-,-,19096.16
2,NIFTY MAHINDRA GROUP,01 Jun 2023,-,-,-,18882.72
3,NIFTY MAHINDRA GROUP,31 May 2023,-,-,-,18783.06
4,NIFTY MAHINDRA GROUP,30 May 2023,-,-,-,18767.41
5,NIFTY MAHINDRA GROUP,29 May 2023,-,-,-,18850.75
6,NIFTY MAHINDRA GROUP,26 May 2023,-,-,-,18441.35
7,NIFTY MAHINDRA GROUP,25 May 2023,-,-,-,18351.9
8,NIFTY MAHINDRA GROUP,24 May 2023,-,-,-,18364.1
9,NIFTY MAHINDRA GROUP,23 May 2023,-,-,-,18240.4
10,NIFTY MAHINDRA GROUP,22 May 2023,-,-,-,18287.56
11,NIFTY MAHINDRA GROUP,19 May 2023,-,-,-,18068.07
12,NIFTY MAHINDRA GROUP,18 May 2023,-,-,-,17838.65
13,NIFTY MAHINDRA GROUP,17 May 2023,-,-,-,17997.63
14,NIFTY MAHINDRA GROUP,16 May 2023,-,-,-,18011.62
15,NIFTY MAHINDRA GROUP,15 May 2023,-,-,-,18213.58
16,NIFTY MAHINDRA GROUP,12 May 2023,-,-,-,17987.38
17,NIFTY MAHINDRA GROUP,11 May 2023,-,-,-,17812.75
18,NIFTY MAHINDRA GROUP,10 May 2023,-,-,-,17797.06
19,NIFTY MAHINDRA GROUP,09 May 2023,-,-,-,17802.31
20,NIFTY MAHINDRA GROUP,08 May 2023,-,-,-,17733.8
21,NIFTY MAHINDRA GROUP,05 May 2023,-,-,-,17474.84
22,NIFTY MAHINDRA GROUP,04 May 2023,-,-,-,17703.4
23,NIFTY MAHINDRA GROUP,03 May 2023,-,-,-,17577.1
24,NIFTY MAHINDRA GROUP,02 May 2023,-,-,-,17577.56
25,NIFTY MAHINDRA GROUP,28 Apr 2023,-,-,-,17303.63
26,NIFTY MAHINDRA GROUP,27 Apr 2023,-,-,-,17166.5
27,NIFTY MAHINDRA GROUP,26 Apr 2023,-,-,-,16970.8
28,NIFTY MAHINDRA GROUP,25 Apr 2023,-,-,-,16905.76
29,NIFTY MAHINDRA GROUP,24 Apr 2023,-,-,-,16971.62
