,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY MEDIA,05 Jun 2023,1796.25,1817.2,1795.25,1800.15
1,NIFTY MEDIA,02 Jun 2023,1772.9,1788.9,1767.8,1784.5
2,NIFTY MEDIA,01 Jun 2023,1761.95,1775.85,1758.4,1768.25
3,NIFTY MEDIA,31 May 2023,1750.85,1762.65,1744.4,1755.85
4,NIFTY MEDIA,30 May 2023,1741.95,1756.2,1737.5,1750.35
5,NIFTY MEDIA,29 May 2023,1743.6,1745.25,1724.35,1738.45
6,NIFTY MEDIA,26 May 2023,1685.05,1736.0,1684.95,1729.95
7,NIFTY MEDIA,25 May 2023,1699.15,1702.65,1684.55,1692.0
8,NIFTY MEDIA,24 May 2023,1685.3,1715.45,1682.7,1692.95
9,NIFTY MEDIA,23 May 2023,1666.6,1692.05,1665.6,1683.65
10,NIFTY MEDIA,22 May 2023,1672.8,1672.8,1655.15,1665.0
11,NIFTY MEDIA,19 May 2023,1675.65,1680.85,1661.15,1666.55
12,NIFTY MEDIA,18 May 2023,1685.1,1686.05,1660.95,1662.9
13,NIFTY MEDIA,17 May 2023,1717.1,1719.5,1662.9,1676.85
14,NIFTY MEDIA,16 May 2023,1736.5,1737.75,1710.15,1712.6
15,NIFTY MEDIA,15 May 2023,1703.15,1739.45,1686.05,1736.55
16,NIFTY MEDIA,12 May 2023,1704.7,1710.2,1690.05,1701.45
17,NIFTY MEDIA,11 May 2023,1719.7,1728.05,1711.0,1720.75
18,NIFTY MEDIA,10 May 2023,1697.3,1720.4,1689.1,1716.55
19,NIFTY MEDIA,09 May 2023,1701.85,1715.55,1690.3,1693.55
20,NIFTY MEDIA,08 May 2023,1712.8,1715.85,1692.95,1697.45
21,NIFTY MEDIA,05 May 2023,1737.0,1739.1,1703.65,1707.65
22,NIFTY MEDIA,04 May 2023,1729.9,1743.2,1728.5,1737.95
23,NIFTY MEDIA,03 May 2023,1721.0,1737.65,1717.9,1727.9
24,NIFTY MEDIA,02 May 2023,1721.05,1734.8,1718.2,1723.1
25,NIFTY MEDIA,28 Apr 2023,1694.75,1719.95,1694.0,1714.85
26,NIFTY MEDIA,27 Apr 2023,1677.45,1696.1,1666.75,1684.35
27,NIFTY MEDIA,26 Apr 2023,1673.05,1680.0,1658.3,1675.5
28,NIFTY MEDIA,25 Apr 2023,1685.7,1691.05,1668.95,1672.25
29,NIFTY MEDIA,24 Apr 2023,1709.8,1710.25,1676.8,1684.3
30,NIFTY MEDIA,21 Apr 2023,1687.4,1713.7,1681.85,1706.65
31,NIFTY MEDIA,20 Apr 2023,1687.1,1688.65,1670.05,1684.2
32,NIFTY MEDIA,19 Apr 2023,1717.45,1717.75,1677.25,1680.85
33,NIFTY MEDIA,18 Apr 2023,1711.2,1718.2,1700.9,1710.1
34,NIFTY MEDIA,17 Apr 2023,1718.7,1743.65,1709.25,1715.8
35,NIFTY MEDIA,13 Apr 2023,1739.75,1742.7,1705.5,1722.5
36,NIFTY MEDIA,12 Apr 2023,1748.95,1751.85,1733.25,1735.35
37,NIFTY MEDIA,11 Apr 2023,1740.65,1750.55,1737.3,1745.4
38,NIFTY MEDIA,10 Apr 2023,1735.35,1743.95,1728.35,1734.9
39,NIFTY MEDIA,06 Apr 2023,1727.15,1742.05,1723.15,1732.8
40,NIFTY MEDIA,05 Apr 2023,1714.05,1728.85,1707.15,1723.15
41,NIFTY MEDIA,03 Apr 2023,1713.75,1720.5,1700.8,1711.7
42,NIFTY MEDIA,31 Mar 2023,1706.4,1722.8,1696.5,1700.1
43,NIFTY MEDIA,29 Mar 2023,1652.75,1696.55,1646.85,1692.8
44,NIFTY MEDIA,28 Mar 2023,1676.65,1687.7,1636.65,1649.1
45,NIFTY MEDIA,27 Mar 2023,1700.4,1705.9,1670.6,1677.35
46,NIFTY MEDIA,24 Mar 2023,1741.0,1743.45,1691.4,1695.65
47,NIFTY MEDIA,23 Mar 2023,1738.5,1756.05,1730.25,1737.05
48,NIFTY MEDIA,22 Mar 2023,1745.4,1759.6,1733.95,1738.35
49,NIFTY MEDIA,21 Mar 2023,1727.7,1748.55,1724.2,1743.95
50,NIFTY MEDIA,20 Mar 2023,1679.6,1734.45,1678.25,1722.75
51,NIFTY MEDIA,17 Mar 2023,1740.55,1740.55,1697.6,1720.65
52,NIFTY MEDIA,16 Mar 2023,1668.0,1743.3,1648.65,1735.85
53,NIFTY MEDIA,15 Mar 2023,1698.85,1710.85,1662.05,1666.45
54,NIFTY MEDIA,14 Mar 2023,1684.2,1700.35,1667.25,1687.1
55,NIFTY MEDIA,13 Mar 2023,1725.85,1727.25,1672.05,1684.45
56,NIFTY MEDIA,10 Mar 2023,1732.8,1740.4,1720.3,1727.9
57,NIFTY MEDIA,09 Mar 2023,1763.55,1769.3,1741.2,1745.6
