,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY METAL,05 Jun 2023,5991.15,5998.90,5956.20,5975.9
1,NIFTY METAL,02 Jun 2023,5934.70,5967.70,5906.85,5956.0
2,NIFTY METAL,01 Jun 2023,5907.30,5944.65,5876.40,5884.2
3,NIFTY METAL,31 May 2023,5900.70,5926.65,5848.40,5890.05
4,NIFTY METAL,30 May 2023,6001.85,6013.30,5925.90,5936.55
5,NIFTY METAL,29 May 2023,5973.30,6016.25,5956.30,5991.2
6,NIFTY METAL,26 May 2023,5888.65,5948.40,5876.45,5935.4
7,NIFTY METAL,25 May 2023,5830.40,5885.20,5786.85,5872.55
8,NIFTY METAL,24 May 2023,5965.90,5981.00,5842.50,5855.15
9,NIFTY METAL,23 May 2023,5855.80,5993.45,5848.70,5947.7
10,NIFTY METAL,22 May 2023,5641.95,5806.60,5620.25,5797.5
11,NIFTY METAL,19 May 2023,5620.55,5629.75,5544.95,5618.05
12,NIFTY METAL,18 May 2023,5666.55,5703.70,5594.75,5601.65
13,NIFTY METAL,17 May 2023,5677.75,5680.50,5612.15,5632.85
14,NIFTY METAL,16 May 2023,5732.70,5753.65,5672.85,5683.45
15,NIFTY METAL,15 May 2023,5698.55,5723.25,5625.75,5701.75
16,NIFTY METAL,12 May 2023,5784.45,5784.45,5683.50,5690.9
17,NIFTY METAL,11 May 2023,5848.90,5848.90,5789.65,5797.3
18,NIFTY METAL,10 May 2023,5843.65,5861.10,5804.40,5822.1
19,NIFTY METAL,09 May 2023,5856.25,5914.20,5820.60,5836.85
20,NIFTY METAL,08 May 2023,5835.30,5861.60,5796.65,5845.65
21,NIFTY METAL,05 May 2023,5902.45,5902.45,5798.35,5807.05
22,NIFTY METAL,04 May 2023,5841.00,5902.90,5830.50,5895.05
23,NIFTY METAL,03 May 2023,5856.30,5869.05,5787.10,5824.25
24,NIFTY METAL,02 May 2023,5828.40,5911.25,5820.70,5882.0
25,NIFTY METAL,28 Apr 2023,5782.40,5805.35,5765.90,5799.4
26,NIFTY METAL,27 Apr 2023,5707.55,5762.85,5688.90,5753.75
27,NIFTY METAL,26 Apr 2023,5715.85,5720.65,5668.50,5713.2
28,NIFTY METAL,25 Apr 2023,5704.10,5774.85,5697.70,5738.25
29,NIFTY METAL,24 Apr 2023,5666.60,5711.70,5647.30,5703.3
30,NIFTY METAL,21 Apr 2023,5764.35,5764.50,5644.20,5677.9
31,NIFTY METAL,20 Apr 2023,5784.90,5805.70,5751.90,5756.95
32,NIFTY METAL,19 Apr 2023,5758.05,5839.90,5750.05,5779.65
33,NIFTY METAL,18 Apr 2023,5745.60,5772.85,5712.95,5749.0
34,NIFTY METAL,17 Apr 2023,5704.30,5741.10,5697.35,5734.5
35,NIFTY METAL,13 Apr 2023,5697.10,5717.70,5655.90,5710.05
