,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY MICROCAP250,05 Jun 2023,12352.75,12392.60,12321.55,12336.3
1,NIFTY MICROCAP250,02 Jun 2023,12227.15,12297.95,12224.35,12265.6
2,NIFTY MICROCAP250,01 Jun 2023,12120.00,12195.90,12112.85,12160.85
3,NIFTY MICROCAP250,31 May 2023,11989.70,12099.65,11965.50,12085.0
4,NIFTY MICROCAP250,30 May 2023,11936.10,11980.60,11909.90,11965.75
5,NIFTY MICROCAP250,29 May 2023,11942.40,11960.20,11894.30,11913.7
6,NIFTY MICROCAP250,26 May 2023,11855.50,11898.60,11853.05,11861.35
7,NIFTY MICROCAP250,25 May 2023,11798.70,11851.55,11772.65,11811.65
8,NIFTY MICROCAP250,24 May 2023,11753.05,11833.95,11730.40,11769.5
9,NIFTY MICROCAP250,23 May 2023,11767.55,11809.90,11734.90,11742.2
10,NIFTY MICROCAP250,22 May 2023,11713.80,11739.40,11662.65,11726.1
11,NIFTY MICROCAP250,19 May 2023,11741.85,11757.50,11583.05,11698.7
12,NIFTY MICROCAP250,18 May 2023,11747.65,11798.45,11684.10,11700.45
13,NIFTY MICROCAP250,17 May 2023,11679.30,11743.35,11611.85,11690.3
14,NIFTY MICROCAP250,16 May 2023,11692.75,11741.00,11657.00,11661.45
15,NIFTY MICROCAP250,15 May 2023,11637.70,11683.20,11579.10,11639.05
16,NIFTY MICROCAP250,12 May 2023,11604.80,11650.70,11571.30,11616.95
17,NIFTY MICROCAP250,11 May 2023,11525.35,11593.35,11525.05,11577.35
18,NIFTY MICROCAP250,10 May 2023,11456.25,11492.80,11350.45,11478.3
19,NIFTY MICROCAP250,09 May 2023,11537.70,11601.80,11404.00,11422.95
20,NIFTY MICROCAP250,08 May 2023,11483.05,11548.75,11478.05,11496.75
21,NIFTY MICROCAP250,05 May 2023,11501.30,11553.25,11412.70,11428.2
22,NIFTY MICROCAP250,04 May 2023,11401.65,11504.95,11397.95,11482.25
23,NIFTY MICROCAP250,03 May 2023,11318.65,11386.40,11309.95,11353.8
24,NIFTY MICROCAP250,02 May 2023,11283.95,11359.35,11281.10,11321.95
25,NIFTY MICROCAP250,28 Apr 2023,11191.85,11233.65,11186.75,11222.1
26,NIFTY MICROCAP250,27 Apr 2023,11084.45,11150.45,11080.40,11143.6
27,NIFTY MICROCAP250,26 Apr 2023,11014.50,11067.85,11014.25,11046.0
28,NIFTY MICROCAP250,25 Apr 2023,11008.70,11060.40,11001.10,11010.15
29,NIFTY MICROCAP250,24 Apr 2023,10974.70,11002.95,10919.70,10981.85
30,NIFTY MICROCAP250,21 Apr 2023,11010.15,11015.40,10901.35,10931.9
31,NIFTY MICROCAP250,20 Apr 2023,11001.10,11043.85,10973.30,10985.25
32,NIFTY MICROCAP250,19 Apr 2023,10953.85,11019.50,10950.85,10967.75
33,NIFTY MICROCAP250,18 Apr 2023,10941.90,10988.80,10889.40,10931.45
34,NIFTY MICROCAP250,17 Apr 2023,10913.60,10928.85,10856.40,10910.5
35,NIFTY MICROCAP250,13 Apr 2023,10859.60,10907.60,10833.40,10903.75
36,NIFTY MICROCAP250,12 Apr 2023,10840.80,10872.00,10820.95,10836.7
37,NIFTY MICROCAP250,11 Apr 2023,10757.50,10826.15,10755.60,10803.1
38,NIFTY MICROCAP250,10 Apr 2023,10789.80,10792.30,10702.90,10715.8
39,NIFTY MICROCAP250,06 Apr 2023,10651.30,10743.60,10626.35,10733.8
