,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY MID LIQ 15,05 Jun 2023,8163.75,8177.25,8125.0,8132.9
1,NIFTY MID LIQ 15,02 Jun 2023,8111.8,8136.7,8105.35,8124.95
2,NIFTY MID LIQ 15,01 Jun 2023,8071.55,8114.85,8058.6,8081.35
3,NIFTY MID LIQ 15,31 May 2023,8038.15,8086.25,8029.55,8073.7
4,NIFTY MID LIQ 15,30 May 2023,8023.05,8059.1,8001.55,8052.5
5,NIFTY MID LIQ 15,29 May 2023,8014.4,8023.8,7965.95,8012.45
6,NIFTY MID LIQ 15,26 May 2023,7885.3,7975.8,7884.5,7968.4
7,NIFTY MID LIQ 15,25 May 2023,7845.1,7900.65,7839.6,7891.4
8,NIFTY MID LIQ 15,24 May 2023,7859.15,7889.05,7815.9,7853.45
9,NIFTY MID LIQ 15,23 May 2023,7818.05,7879.6,7806.4,7856.7
10,NIFTY MID LIQ 15,22 May 2023,7742.45,7808.85,7719.5,7803.0
11,NIFTY MID LIQ 15,19 May 2023,7775.5,7779.8,7693.0,7760.95
12,NIFTY MID LIQ 15,18 May 2023,7875.5,7875.5,7750.15,7760.5
13,NIFTY MID LIQ 15,17 May 2023,7835.1,7863.4,7766.55,7843.45
14,NIFTY MID LIQ 15,16 May 2023,7856.85,7911.55,7829.15,7838.15
15,NIFTY MID LIQ 15,15 May 2023,7771.85,7846.25,7738.45,7825.1
16,NIFTY MID LIQ 15,12 May 2023,7828.0,7828.0,7754.15,7763.05
17,NIFTY MID LIQ 15,11 May 2023,7870.15,7876.5,7830.65,7841.0
18,NIFTY MID LIQ 15,10 May 2023,7840.3,7857.9,7786.7,7852.95
19,NIFTY MID LIQ 15,09 May 2023,7852.35,7910.75,7803.0,7817.75
20,NIFTY MID LIQ 15,08 May 2023,7749.25,7845.85,7743.6,7827.55
21,NIFTY MID LIQ 15,05 May 2023,7825.8,7865.55,7695.25,7706.75
22,NIFTY MID LIQ 15,04 May 2023,7777.95,7808.3,7760.2,7803.05
23,NIFTY MID LIQ 15,03 May 2023,7753.6,7803.4,7738.55,7761.35
24,NIFTY MID LIQ 15,02 May 2023,7746.05,7780.45,7731.6,7763.95
25,NIFTY MID LIQ 15,28 Apr 2023,7679.7,7709.75,7652.15,7703.4
26,NIFTY MID LIQ 15,27 Apr 2023,7668.4,7714.05,7657.45,7679.3
27,NIFTY MID LIQ 15,26 Apr 2023,7642.95,7682.9,7606.05,7677.9
28,NIFTY MID LIQ 15,25 Apr 2023,7604.15,7688.9,7598.75,7652.55
29,NIFTY MID LIQ 15,24 Apr 2023,7550.75,7607.8,7542.65,7601.25
30,NIFTY MID LIQ 15,21 Apr 2023,7590.75,7592.6,7512.25,7544.95
31,NIFTY MID LIQ 15,20 Apr 2023,7601.65,7609.25,7564.15,7573.05
32,NIFTY MID LIQ 15,19 Apr 2023,7584.0,7620.35,7562.2,7579.8
33,NIFTY MID LIQ 15,18 Apr 2023,7517.8,7570.35,7503.6,7560.35
34,NIFTY MID LIQ 15,17 Apr 2023,7447.0,7496.75,7418.3,7488.15
35,NIFTY MID LIQ 15,13 Apr 2023,7474.2,7475.65,7407.7,7465.85
36,NIFTY MID LIQ 15,12 Apr 2023,7434.65,7478.05,7434.2,7471.25
37,NIFTY MID LIQ 15,11 Apr 2023,7422.4,7446.65,7389.65,7427.15
38,NIFTY MID LIQ 15,10 Apr 2023,7393.2,7412.95,7354.45,7401.15
39,NIFTY MID LIQ 15,06 Apr 2023,7304.05,7362.9,7289.55,7357.9
40,NIFTY MID LIQ 15,05 Apr 2023,7342.85,7344.05,7282.75,7306.8
41,NIFTY MID LIQ 15,03 Apr 2023,7353.65,7366.4,7317.75,7346.4
42,NIFTY MID LIQ 15,31 Mar 2023,7265.95,7331.35,7261.7,7308.9
43,NIFTY MID LIQ 15,29 Mar 2023,7074.5,7240.35,7074.5,7223.75
44,NIFTY MID LIQ 15,28 Mar 2023,7105.95,7115.55,7039.85,7081.65
45,NIFTY MID LIQ 15,27 Mar 2023,7122.15,7149.35,7079.35,7094.7
46,NIFTY MID LIQ 15,24 Mar 2023,7219.05,7219.1,7105.5,7125.1
47,NIFTY MID LIQ 15,23 Mar 2023,7242.1,7260.75,7207.0,7217.9
48,NIFTY MID LIQ 15,22 Mar 2023,7281.65,7292.7,7251.9,7260.65
49,NIFTY MID LIQ 15,21 Mar 2023,7246.1,7267.95,7206.5,7248.1
50,NIFTY MID LIQ 15,20 Mar 2023,7298.6,7322.6,7139.75,7213.2
51,NIFTY MID LIQ 15,17 Mar 2023,7320.2,7345.3,7266.0,7315.3
52,NIFTY MID LIQ 15,16 Mar 2023,7184.15,7274.95,7122.95,7254.55
53,NIFTY MID LIQ 15,15 Mar 2023,7272.25,7295.25,7175.35,7188.9
54,NIFTY MID LIQ 15,14 Mar 2023,7259.1,7279.4,7172.6,7214.35
55,NIFTY MID LIQ 15,13 Mar 2023,7418.55,7435.25,7246.7,7266.65
56,NIFTY MID LIQ 15,10 Mar 2023,7437.6,7437.6,7363.1,7428.45
57,NIFTY MID LIQ 15,09 Mar 2023,7577.1,7596.05,7477.1,7487.3
58,NIFTY MID LIQ 15,08 Mar 2023,7468.25,7559.65,7429.3,7554.3
59,NIFTY MID LIQ 15,06 Mar 2023,7489.55,7528.1,7484.3,7491.4
60,NIFTY MID LIQ 15,03 Mar 2023,7438.1,7475.05,7424.4,7456.1
61,NIFTY MID LIQ 15,02 Mar 2023,7397.75,7424.5,7377.5,7400.35
62,NIFTY MID LIQ 15,01 Mar 2023,7306.35,7413.15,7301.85,7402.95
63,NIFTY MID LIQ 15,28 Feb 2023,7295.8,7330.05,7264.0,7291.65
64,NIFTY MID LIQ 15,27 Feb 2023,7311.05,7314.55,7187.5,7262.2
65,NIFTY MID LIQ 15,24 Feb 2023,7353.85,7396.5,7314.45,7326.5
66,NIFTY MID LIQ 15,23 Feb 2023,7372.35,7383.4,7269.45,7348.45
67,NIFTY MID LIQ 15,22 Feb 2023,7446.8,7475.85,7350.3,7379.0
68,NIFTY MID LIQ 15,21 Feb 2023,7555.3,7555.65,7463.65,7470.85
69,NIFTY MID LIQ 15,20 Feb 2023,7530.35,7565.6,7467.7,7518.9
70,NIFTY MID LIQ 15,17 Feb 2023,7582.1,7586.3,7485.2,7503.7
71,NIFTY MID LIQ 15,16 Feb 2023,7578.3,7628.7,7554.55,7604.75
72,NIFTY MID LIQ 15,15 Feb 2023,7501.15,7552.6,7490.75,7538.65
73,NIFTY MID LIQ 15,14 Feb 2023,7539.25,7559.5,7481.55,7524.9
74,NIFTY MID LIQ 15,13 Feb 2023,7617.8,7656.6,7532.95,7540.65
75,NIFTY MID LIQ 15,10 Feb 2023,7536.75,7618.25,7515.9,7614.55
76,NIFTY MID LIQ 15,09 Feb 2023,7547.0,7559.35,7508.3,7553.55
77,NIFTY MID LIQ 15,08 Feb 2023,7504.7,7557.15,7469.5,7543.15
78,NIFTY MID LIQ 15,07 Feb 2023,7498.25,7509.5,7441.35,7487.0
79,NIFTY MID LIQ 15,06 Feb 2023,7436.45,7502.4,7431.7,7491.55
80,NIFTY MID LIQ 15,03 Feb 2023,7467.15,7482.2,7349.35,7464.55
81,NIFTY MID LIQ 15,02 Feb 2023,7423.3,7495.05,7369.3,7435.45
82,NIFTY MID LIQ 15,01 Feb 2023,7564.4,7665.45,7311.45,7455.5
83,NIFTY MID LIQ 15,31 Jan 2023,7374.55,7497.5,7320.35,7476.7
84,NIFTY MID LIQ 15,30 Jan 2023,7346.2,7422.3,7257.75,7339.9
85,NIFTY MID LIQ 15,27 Jan 2023,7428.65,7455.6,7263.2,7341.1
86,NIFTY MID LIQ 15,25 Jan 2023,7496.3,7502.8,7374.5,7401.6
87,NIFTY MID LIQ 15,24 Jan 2023,7569.25,7569.25,7490.5,7503.15
88,NIFTY MID LIQ 15,23 Jan 2023,7471.7,7570.25,7457.3,7557.85
89,NIFTY MID LIQ 15,20 Jan 2023,7543.1,7549.9,7443.0,7454.25
90,NIFTY MID LIQ 15,19 Jan 2023,7499.85,7547.15,7482.85,7537.45
91,NIFTY MID LIQ 15,18 Jan 2023,7504.75,7542.6,7474.85,7518.75
92,NIFTY MID LIQ 15,17 Jan 2023,7520.85,7534.65,7433.7,7487.0
93,NIFTY MID LIQ 15,16 Jan 2023,7554.6,7586.35,7474.65,7500.2
94,NIFTY MID LIQ 15,13 Jan 2023,7558.9,7560.25,7470.1,7535.25
95,NIFTY MID LIQ 15,12 Jan 2023,7587.6,7589.05,7493.5,7532.7
96,NIFTY MID LIQ 15,11 Jan 2023,7592.95,7612.65,7536.7,7553.6
97,NIFTY MID LIQ 15,10 Jan 2023,7638.25,7638.25,7534.1,7581.6
98,NIFTY MID LIQ 15,09 Jan 2023,7591.2,7633.15,7579.7,7626.5
99,NIFTY MID LIQ 15,06 Jan 2023,7618.65,7633.15,7507.55,7536.55
100,NIFTY MID LIQ 15,05 Jan 2023,7600.9,7624.4,7529.95,7614.8
101,NIFTY MID LIQ 15,04 Jan 2023,7695.8,7709.45,7550.95,7573.75
102,NIFTY MID LIQ 15,03 Jan 2023,7723.7,7758.3,7676.5,7693.75
103,NIFTY MID LIQ 15,02 Jan 2023,7710.45,7734.8,7680.85,7722.2
104,NIFTY MID LIQ 15,30 Dec 2022,7689.7,7715.95,7656.15,7676.65
105,NIFTY MID LIQ 15,29 Dec 2022,7596.45,7676.7,7529.35,7642.9
106,NIFTY MID LIQ 15,28 Dec 2022,7611.6,7657.15,7565.55,7646.6
107,NIFTY MID LIQ 15,27 Dec 2022,7550.35,7632.8,7512.6,7620.8
108,NIFTY MID LIQ 15,26 Dec 2022,7315.7,7526.8,7258.05,7501.9
