,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY MID SELECT,05 Jun 2023,7898.05,7910.40,7850.80,7855.45
1,NIFTY MID SELECT,02 Jun 2023,7848.95,7878.55,7845.85,7872.5
2,NIFTY MID SELECT,01 Jun 2023,7810.30,7862.85,7802.60,7819.25
3,NIFTY MID SELECT,31 May 2023,7768.85,7813.50,7756.65,7804.7
4,NIFTY MID SELECT,30 May 2023,7766.75,7800.20,7746.35,7778.0
5,NIFTY MID SELECT,29 May 2023,7764.80,7768.45,7719.55,7759.6
6,NIFTY MID SELECT,26 May 2023,7666.25,7745.40,7660.65,7740.45
7,NIFTY MID SELECT,25 May 2023,7584.85,7665.65,7577.45,7657.85
8,NIFTY MID SELECT,24 May 2023,7606.00,7625.95,7562.85,7593.0
9,NIFTY MID SELECT,23 May 2023,7559.85,7618.85,7555.95,7606.85
10,NIFTY MID SELECT,22 May 2023,7472.45,7547.40,7449.65,7542.1
11,NIFTY MID SELECT,19 May 2023,7488.15,7493.15,7400.55,7479.65
12,NIFTY MID SELECT,18 May 2023,7560.40,7560.80,7466.70,7476.55
13,NIFTY MID SELECT,17 May 2023,7528.45,7548.70,7458.15,7534.6
14,NIFTY MID SELECT,16 May 2023,7526.65,7582.85,7511.60,7527.05
15,NIFTY MID SELECT,15 May 2023,7439.95,7504.50,7419.05,7489.45
16,NIFTY MID SELECT,12 May 2023,7464.05,7470.35,7416.45,7432.6
17,NIFTY MID SELECT,11 May 2023,7474.55,7488.55,7449.95,7463.5
18,NIFTY MID SELECT,10 May 2023,7465.75,7470.25,7393.60,7449.6
19,NIFTY MID SELECT,09 May 2023,7458.90,7501.55,7423.30,7438.4
20,NIFTY MID SELECT,08 May 2023,7351.85,7442.65,7346.30,7435.15
21,NIFTY MID SELECT,05 May 2023,7400.05,7430.55,7315.25,7323.4
22,NIFTY MID SELECT,04 May 2023,7360.40,7391.50,7350.65,7384.35
23,NIFTY MID SELECT,03 May 2023,7318.20,7365.70,7303.70,7339.55
24,NIFTY MID SELECT,02 May 2023,7275.30,7342.45,7262.60,7327.7
25,NIFTY MID SELECT,28 Apr 2023,7172.55,7239.50,7143.65,7232.55
26,NIFTY MID SELECT,27 Apr 2023,7160.45,7200.45,7160.00,7180.3
27,NIFTY MID SELECT,26 Apr 2023,7137.10,7169.65,7108.35,7163.35
28,NIFTY MID SELECT,25 Apr 2023,7126.05,7174.85,7116.65,7152.55
29,NIFTY MID SELECT,24 Apr 2023,7074.85,7121.65,7064.65,7116.15
30,NIFTY MID SELECT,21 Apr 2023,7111.40,7112.05,7037.75,7065.75
31,NIFTY MID SELECT,20 Apr 2023,7105.95,7120.35,7086.10,7100.4
32,NIFTY MID SELECT,19 Apr 2023,7101.10,7122.40,7069.30,7083.6
33,NIFTY MID SELECT,18 Apr 2023,7033.35,7091.90,7022.40,7082.6
34,NIFTY MID SELECT,17 Apr 2023,6973.20,7021.75,6936.20,7014.8
35,NIFTY MID SELECT,13 Apr 2023,6971.50,7004.20,6944.30,6994.95
36,NIFTY MID SELECT,12 Apr 2023,6897.10,6941.50,6892.80,6936.4
37,NIFTY MID SELECT,11 Apr 2023,6884.70,6909.85,6847.60,6885.8
38,NIFTY MID SELECT,10 Apr 2023,6864.65,6868.35,6825.60,6862.85
39,NIFTY MID SELECT,06 Apr 2023,6784.60,6845.90,6762.70,6839.15
40,NIFTY MID SELECT,05 Apr 2023,6821.00,6821.00,6761.15,6783.25
41,NIFTY MID SELECT,03 Apr 2023,6850.05,6853.80,6795.80,6817.35
42,NIFTY MID SELECT,31 Mar 2023,6772.55,6836.55,6769.60,6816.35
43,NIFTY MID SELECT,29 Mar 2023,6613.70,6754.90,6613.45,6739.5
44,NIFTY MID SELECT,28 Mar 2023,6669.80,6677.25,6595.95,6622.35
45,NIFTY MID SELECT,27 Mar 2023,6671.45,6705.45,6641.35,6651.9
46,NIFTY MID SELECT,24 Mar 2023,6765.70,6768.00,6662.05,6677.4
47,NIFTY MID SELECT,23 Mar 2023,6783.70,6800.10,6754.65,6763.4
48,NIFTY MID SELECT,22 Mar 2023,6809.95,6829.35,6790.75,6797.85
49,NIFTY MID SELECT,21 Mar 2023,6773.95,6798.05,6748.60,6784.7
50,NIFTY MID SELECT,20 Mar 2023,6812.80,6836.05,6688.90,6755.05
51,NIFTY MID SELECT,17 Mar 2023,6840.25,6852.30,6780.75,6820.35
52,NIFTY MID SELECT,16 Mar 2023,6715.45,6798.45,6670.15,6780.15
53,NIFTY MID SELECT,15 Mar 2023,6793.65,6815.25,6707.80,6719.75
54,NIFTY MID SELECT,14 Mar 2023,6770.90,6777.00,6684.85,6738.65
55,NIFTY MID SELECT,13 Mar 2023,6900.05,6914.80,6747.70,6768.55
56,NIFTY MID SELECT,10 Mar 2023,6895.45,6909.80,6830.70,6904.25
57,NIFTY MID SELECT,09 Mar 2023,7017.40,7030.90,6926.55,6935.8
58,NIFTY MID SELECT,08 Mar 2023,6933.30,7002.55,6907.55,6996.45
59,NIFTY MID SELECT,06 Mar 2023,6943.55,6988.20,6942.50,6954.35
60,NIFTY MID SELECT,03 Mar 2023,6900.10,6931.35,6880.70,6915.3
61,NIFTY MID SELECT,02 Mar 2023,6870.20,6892.80,6854.35,6864.35
62,NIFTY MID SELECT,01 Mar 2023,6806.65,6880.30,6801.40,6872.7
63,NIFTY MID SELECT,28 Feb 2023,6783.60,6818.95,6771.40,6789.85
64,NIFTY MID SELECT,27 Feb 2023,6815.75,6817.25,6691.60,6756.95
65,NIFTY MID SELECT,24 Feb 2023,6853.00,6886.20,6812.90,6822.7
66,NIFTY MID SELECT,23 Feb 2023,6871.90,6879.40,6772.20,6839.8
67,NIFTY MID SELECT,22 Feb 2023,6938.60,6954.00,6852.20,6873.1
68,NIFTY MID SELECT,21 Feb 2023,7029.05,7029.40,6956.95,6963.7
69,NIFTY MID SELECT,20 Feb 2023,7013.85,7043.35,6960.80,6999.1
70,NIFTY MID SELECT,17 Feb 2023,7040.55,7047.80,6979.50,6992.85
71,NIFTY MID SELECT,16 Feb 2023,7032.75,7078.30,7015.20,7058.25
72,NIFTY MID SELECT,15 Feb 2023,6956.15,7012.40,6945.55,7004.1
73,NIFTY MID SELECT,14 Feb 2023,6984.55,7001.30,6938.55,6971.5
74,NIFTY MID SELECT,13 Feb 2023,7065.75,7092.20,6971.50,6981.0
75,NIFTY MID SELECT,10 Feb 2023,7050.85,7095.75,7022.00,7087.6
76,NIFTY MID SELECT,09 Feb 2023,7054.05,7069.60,7020.45,7058.9
77,NIFTY MID SELECT,08 Feb 2023,6990.55,7044.75,6958.40,7037.3
78,NIFTY MID SELECT,07 Feb 2023,7003.15,7011.50,6948.80,6982.9
79,NIFTY MID SELECT,06 Feb 2023,6951.00,7001.25,6931.40,6993.65
80,NIFTY MID SELECT,03 Feb 2023,6968.30,6976.95,6851.45,6952.7
81,NIFTY MID SELECT,02 Feb 2023,6924.55,6983.05,6873.95,6937.45
82,NIFTY MID SELECT,01 Feb 2023,6999.80,7111.85,6817.05,6934.15
83,NIFTY MID SELECT,31 Jan 2023,6848.25,6950.95,6807.90,6932.7
84,NIFTY MID SELECT,30 Jan 2023,6815.80,6878.70,6760.55,6819.35
85,NIFTY MID SELECT,27 Jan 2023,6942.00,6948.95,6732.15,6807.6
86,NIFTY MID SELECT,25 Jan 2023,7014.35,7018.90,6911.95,6932.75
87,NIFTY MID SELECT,24 Jan 2023,7061.50,7064.80,7012.50,7022.4
88,NIFTY MID SELECT,23 Jan 2023,7002.55,7062.40,6977.65,7052.45
89,NIFTY MID SELECT,20 Jan 2023,7047.90,7051.60,6967.45,6974.75
90,NIFTY MID SELECT,19 Jan 2023,7022.70,7054.60,7003.80,7043.3
91,NIFTY MID SELECT,18 Jan 2023,7009.30,7054.50,6990.10,7039.8
92,NIFTY MID SELECT,17 Jan 2023,7012.00,7018.85,6952.10,6993.65
93,NIFTY MID SELECT,16 Jan 2023,7071.85,7093.15,6992.15,7000.85
94,NIFTY MID SELECT,13 Jan 2023,7093.25,7095.10,7007.95,7054.4
95,NIFTY MID SELECT,12 Jan 2023,7136.35,7136.50,7045.35,7074.9
96,NIFTY MID SELECT,11 Jan 2023,7143.45,7164.10,7099.40,7106.8
97,NIFTY MID SELECT,10 Jan 2023,7177.70,7177.70,7093.90,7131.85
98,NIFTY MID SELECT,09 Jan 2023,7167.50,7189.65,7133.85,7167.0
99,NIFTY MID SELECT,06 Jan 2023,7167.80,7176.05,7088.60,7120.5
100,NIFTY MID SELECT,05 Jan 2023,7147.95,7171.40,7094.15,7164.05
101,NIFTY MID SELECT,04 Jan 2023,7213.25,7225.45,7104.60,7120.45
102,NIFTY MID SELECT,03 Jan 2023,7217.75,7234.75,7181.00,7212.2
