,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY MIDCAP 150,05 Jun 2023,12762.05,12781.80,12733.60,12743.35
1,NIFTY MIDCAP 150,02 Jun 2023,12691.50,12721.90,12685.20,12705.4
2,NIFTY MIDCAP 150,01 Jun 2023,12635.30,12702.85,12631.15,12647.95
3,NIFTY MIDCAP 150,31 May 2023,12574.65,12635.45,12548.95,12623.35
4,NIFTY MIDCAP 150,30 May 2023,12549.05,12589.55,12529.80,12576.6
5,NIFTY MIDCAP 150,29 May 2023,12540.60,12550.35,12485.05,12530.7
6,NIFTY MIDCAP 150,26 May 2023,12407.35,12495.60,12397.25,12486.85
7,NIFTY MIDCAP 150,25 May 2023,12357.95,12403.20,12342.95,12392.15
8,NIFTY MIDCAP 150,24 May 2023,12340.25,12389.35,12300.05,12353.9
9,NIFTY MIDCAP 150,23 May 2023,12306.50,12349.95,12291.20,12335.65
10,NIFTY MIDCAP 150,22 May 2023,12190.55,12272.00,12157.00,12264.65
11,NIFTY MIDCAP 150,19 May 2023,12227.70,12227.70,12090.55,12198.45
12,NIFTY MIDCAP 150,18 May 2023,12332.15,12343.85,12197.25,12213.8
13,NIFTY MIDCAP 150,17 May 2023,12303.95,12323.85,12209.95,12284.35
14,NIFTY MIDCAP 150,16 May 2023,12307.75,12374.60,12285.60,12293.05
15,NIFTY MIDCAP 150,15 May 2023,12205.50,12288.20,12174.30,12264.65
16,NIFTY MIDCAP 150,12 May 2023,12251.00,12251.00,12173.55,12196.1
17,NIFTY MIDCAP 150,11 May 2023,12240.35,12263.85,12212.60,12232.85
18,NIFTY MIDCAP 150,10 May 2023,12215.55,12217.70,12115.10,12195.2
19,NIFTY MIDCAP 150,09 May 2023,12213.05,12271.55,12166.70,12184.95
20,NIFTY MIDCAP 150,08 May 2023,12108.00,12187.05,12100.00,12177.7
21,NIFTY MIDCAP 150,05 May 2023,12152.45,12174.35,12052.80,12066.05
22,NIFTY MIDCAP 150,04 May 2023,12089.45,12155.90,12083.75,12145.5
23,NIFTY MIDCAP 150,03 May 2023,12025.95,12098.60,12003.10,12066.75
24,NIFTY MIDCAP 150,02 May 2023,11997.30,12063.00,11990.55,12037.15
25,NIFTY MIDCAP 150,28 Apr 2023,11841.55,11950.80,11828.25,11943.55
26,NIFTY MIDCAP 150,27 Apr 2023,11753.55,11820.30,11747.90,11811.5
27,NIFTY MIDCAP 150,26 Apr 2023,11720.80,11750.75,11676.20,11743.1
28,NIFTY MIDCAP 150,25 Apr 2023,11748.30,11764.25,11716.20,11730.6
29,NIFTY MIDCAP 150,24 Apr 2023,11723.70,11746.80,11681.40,11738.6
30,NIFTY MIDCAP 150,21 Apr 2023,11776.55,11777.40,11663.50,11707.55
31,NIFTY MIDCAP 150,20 Apr 2023,11784.55,11799.45,11747.55,11755.95
32,NIFTY MIDCAP 150,19 Apr 2023,11805.25,11820.90,11752.55,11763.95
33,NIFTY MIDCAP 150,18 Apr 2023,11739.45,11804.30,11721.30,11783.35
34,NIFTY MIDCAP 150,17 Apr 2023,11649.80,11720.85,11603.80,11714.45
35,NIFTY MIDCAP 150,13 Apr 2023,11676.95,11703.45,11630.10,11671.2
36,NIFTY MIDCAP 150,12 Apr 2023,11607.25,11658.85,11595.70,11652.3
37,NIFTY MIDCAP 150,11 Apr 2023,11562.55,11608.05,11540.40,11582.8
38,NIFTY MIDCAP 150,10 Apr 2023,11529.75,11541.95,11479.00,11532.85
39,NIFTY MIDCAP 150,06 Apr 2023,11416.45,11505.70,11378.70,11491.2
40,NIFTY MIDCAP 150,05 Apr 2023,11412.40,11421.50,11376.10,11415.75
41,NIFTY MIDCAP 150,03 Apr 2023,11410.50,11413.95,11361.00,11404.35
42,NIFTY MIDCAP 150,31 Mar 2023,11298.20,11386.30,11296.45,11352.25
43,NIFTY MIDCAP 150,29 Mar 2023,11054.85,11273.90,11054.85,11250.7
44,NIFTY MIDCAP 150,28 Mar 2023,11119.35,11131.85,11016.50,11065.65
45,NIFTY MIDCAP 150,27 Mar 2023,11172.70,11180.65,11088.85,11102.1
46,NIFTY MIDCAP 150,24 Mar 2023,11293.50,11305.05,11144.20,11164.65
47,NIFTY MIDCAP 150,23 Mar 2023,11324.45,11350.70,11286.05,11295.8
48,NIFTY MIDCAP 150,22 Mar 2023,11350.05,11380.15,11328.75,11339.2
49,NIFTY MIDCAP 150,21 Mar 2023,11288.60,11320.50,11258.90,11308.1
50,NIFTY MIDCAP 150,20 Mar 2023,11349.30,11370.50,11165.85,11245.6
51,NIFTY MIDCAP 150,17 Mar 2023,11378.00,11406.25,11304.25,11354.25
52,NIFTY MIDCAP 150,16 Mar 2023,11291.20,11339.10,11161.95,11305.2
53,NIFTY MIDCAP 150,15 Mar 2023,11383.05,11409.10,11291.80,11308.8
54,NIFTY MIDCAP 150,14 Mar 2023,11387.20,11395.90,11259.95,11304.7
55,NIFTY MIDCAP 150,13 Mar 2023,11556.50,11595.80,11339.55,11375.2
56,NIFTY MIDCAP 150,10 Mar 2023,11594.10,11594.20,11493.70,11582.15
57,NIFTY MIDCAP 150,09 Mar 2023,11753.60,11769.80,11643.95,11660.0
58,NIFTY MIDCAP 150,08 Mar 2023,11650.00,11738.30,11624.45,11724.6
59,NIFTY MIDCAP 150,06 Mar 2023,11653.25,11751.80,11649.30,11686.9
60,NIFTY MIDCAP 150,03 Mar 2023,11600.95,11638.05,11582.75,11605.2
61,NIFTY MIDCAP 150,02 Mar 2023,11580.95,11587.80,11536.05,11547.05
62,NIFTY MIDCAP 150,01 Mar 2023,11428.00,11582.70,11426.90,11572.2
63,NIFTY MIDCAP 150,28 Feb 2023,11365.15,11427.05,11336.05,11411.25
64,NIFTY MIDCAP 150,27 Feb 2023,11395.35,11397.00,11245.30,11339.85
65,NIFTY MIDCAP 150,24 Feb 2023,11464.05,11502.95,11394.10,11403.35
66,NIFTY MIDCAP 150,23 Feb 2023,11466.00,11477.30,11346.65,11431.25
67,NIFTY MIDCAP 150,22 Feb 2023,11538.70,11559.20,11421.20,11459.2
68,NIFTY MIDCAP 150,21 Feb 2023,11629.55,11654.65,11560.20,11575.1
69,NIFTY MIDCAP 150,20 Feb 2023,11635.20,11653.70,11547.00,11606.15
70,NIFTY MIDCAP 150,17 Feb 2023,11654.00,11678.50,11587.25,11605.65
71,NIFTY MIDCAP 150,16 Feb 2023,11637.65,11711.80,11617.65,11679.2
72,NIFTY MIDCAP 150,15 Feb 2023,11520.50,11600.70,11515.40,11590.35
73,NIFTY MIDCAP 150,14 Feb 2023,11590.95,11609.00,11494.60,11535.0
74,NIFTY MIDCAP 150,13 Feb 2023,11726.00,11736.75,11567.75,11584.95
75,NIFTY MIDCAP 150,10 Feb 2023,11688.45,11761.90,11663.45,11738.3
76,NIFTY MIDCAP 150,09 Feb 2023,11721.55,11730.15,11670.55,11709.45
77,NIFTY MIDCAP 150,08 Feb 2023,11626.50,11711.90,11586.55,11699.35
78,NIFTY MIDCAP 150,07 Feb 2023,11621.10,11635.40,11545.85,11601.6
