,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY MIDSMALL INDIA CONSUMPTION,05 Jun 2023,-,-,-,11500.56
1,NIFTY MIDSMALL INDIA CONSUMPTION,02 Jun 2023,-,-,-,11473.6
2,NIFTY MIDSMALL INDIA CONSUMPTION,01 Jun 2023,-,-,-,11414.04
3,NIFTY MIDSMALL INDIA CONSUMPTION,31 May 2023,-,-,-,11414.96
4,NIFTY MIDSMALL INDIA CONSUMPTION,30 May 2023,-,-,-,11358.36
5,NIFTY MIDSMALL INDIA CONSUMPTION,29 May 2023,-,-,-,11308.6
6,NIFTY MIDSMALL INDIA CONSUMPTION,26 May 2023,-,-,-,11293.21
7,NIFTY MIDSMALL INDIA CONSUMPTION,25 May 2023,-,-,-,11172.58
8,NIFTY MIDSMALL INDIA CONSUMPTION,24 May 2023,-,-,-,11150.62
9,NIFTY MIDSMALL INDIA CONSUMPTION,23 May 2023,-,-,-,11080.61
10,NIFTY MIDSMALL INDIA CONSUMPTION,22 May 2023,-,-,-,11015.41
11,NIFTY MIDSMALL INDIA CONSUMPTION,19 May 2023,-,-,-,10938.39
12,NIFTY MIDSMALL INDIA CONSUMPTION,18 May 2023,-,-,-,10910.9
13,NIFTY MIDSMALL INDIA CONSUMPTION,17 May 2023,-,-,-,10978.82
14,NIFTY MIDSMALL INDIA CONSUMPTION,16 May 2023,-,-,-,10963.03
15,NIFTY MIDSMALL INDIA CONSUMPTION,15 May 2023,-,-,-,10988.96
16,NIFTY MIDSMALL INDIA CONSUMPTION,12 May 2023,-,-,-,10867.57
17,NIFTY MIDSMALL INDIA CONSUMPTION,11 May 2023,-,-,-,10884.6
18,NIFTY MIDSMALL INDIA CONSUMPTION,10 May 2023,-,-,-,10853.23
19,NIFTY MIDSMALL INDIA CONSUMPTION,09 May 2023,-,-,-,10839.28
20,NIFTY MIDSMALL INDIA CONSUMPTION,08 May 2023,-,-,-,10817.4
21,NIFTY MIDSMALL INDIA CONSUMPTION,05 May 2023,-,-,-,10763.68
