,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY MIDSML 400,05 Jun 2023,11812.45,11832.15,11781.85,11788.5
1,NIFTY MIDSML 400,02 Jun 2023,11746.75,11778.70,11739.35,11754.25
2,NIFTY MIDSML 400,01 Jun 2023,11672.25,11740.70,11669.20,11700.0
3,NIFTY MIDSML 400,31 May 2023,11590.65,11664.05,11570.85,11652.4
4,NIFTY MIDSML 400,30 May 2023,11580.55,11611.40,11562.95,11593.45
5,NIFTY MIDSML 400,29 May 2023,11578.30,11582.95,11528.15,11563.35
6,NIFTY MIDSML 400,26 May 2023,11469.90,11536.00,11460.50,11525.6
7,NIFTY MIDSML 400,25 May 2023,11421.45,11458.60,11407.05,11449.85
8,NIFTY MIDSML 400,24 May 2023,11400.55,11453.45,11368.45,11414.7
9,NIFTY MIDSML 400,23 May 2023,11387.20,11425.00,11375.20,11401.95
10,NIFTY MIDSML 400,22 May 2023,11291.60,11362.20,11254.30,11353.85
11,NIFTY MIDSML 400,19 May 2023,11327.55,11327.55,11198.75,11298.0
12,NIFTY MIDSML 400,18 May 2023,11414.25,11425.75,11291.95,11308.85
13,NIFTY MIDSML 400,17 May 2023,11373.00,11400.00,11300.50,11367.75
14,NIFTY MIDSML 400,16 May 2023,11378.20,11424.80,11348.55,11356.6
15,NIFTY MIDSML 400,15 May 2023,11282.30,11349.85,11244.65,11337.85
16,NIFTY MIDSML 400,12 May 2023,11321.55,11321.55,11257.65,11268.15
17,NIFTY MIDSML 400,11 May 2023,11302.25,11334.35,11284.75,11305.45
18,NIFTY MIDSML 400,10 May 2023,11256.85,11265.35,11176.60,11255.3
19,NIFTY MIDSML 400,09 May 2023,11278.85,11318.20,11218.50,11229.8
20,NIFTY MIDSML 400,08 May 2023,11188.45,11250.75,11178.35,11241.4
21,NIFTY MIDSML 400,05 May 2023,11221.35,11243.45,11132.75,11145.3
22,NIFTY MIDSML 400,04 May 2023,11158.45,11225.10,11156.60,11214.8
23,NIFTY MIDSML 400,03 May 2023,11103.00,11164.85,11085.45,11134.45
24,NIFTY MIDSML 400,02 May 2023,11084.45,11140.70,11077.25,11111.2
25,NIFTY MIDSML 400,28 Apr 2023,10949.20,11037.15,10942.90,11030.1
26,NIFTY MIDSML 400,27 Apr 2023,10868.60,10921.55,10863.50,10912.95
27,NIFTY MIDSML 400,26 Apr 2023,10824.30,10860.25,10798.60,10853.15
28,NIFTY MIDSML 400,25 Apr 2023,10830.95,10854.35,10808.00,10825.45
29,NIFTY MIDSML 400,24 Apr 2023,10801.35,10828.45,10766.50,10818.1
30,NIFTY MIDSML 400,21 Apr 2023,10841.55,10842.15,10739.00,10781.95
31,NIFTY MIDSML 400,20 Apr 2023,10839.15,10853.05,10809.55,10818.5
32,NIFTY MIDSML 400,19 Apr 2023,10846.45,10865.90,10803.50,10813.5
33,NIFTY MIDSML 400,18 Apr 2023,10803.85,10849.20,10784.10,10825.35
34,NIFTY MIDSML 400,17 Apr 2023,10732.35,10787.75,10695.30,10780.6
35,NIFTY MIDSML 400,13 Apr 2023,10746.45,10774.00,10709.80,10748.5
36,NIFTY MIDSML 400,12 Apr 2023,10693.00,10732.90,10680.85,10725.8
37,NIFTY MIDSML 400,11 Apr 2023,10654.85,10691.15,10635.80,10669.65
38,NIFTY MIDSML 400,10 Apr 2023,10628.95,10632.25,10582.20,10622.7
39,NIFTY MIDSML 400,06 Apr 2023,10526.35,10601.10,10493.15,10591.05
40,NIFTY MIDSML 400,05 Apr 2023,10503.95,10525.55,10477.00,10518.65
41,NIFTY MIDSML 400,03 Apr 2023,10483.35,10496.00,10451.45,10488.0
42,NIFTY MIDSML 400,31 Mar 2023,10360.20,10459.35,10358.95,10428.65
43,NIFTY MIDSML 400,29 Mar 2023,10136.50,10331.55,10136.50,10313.8
44,NIFTY MIDSML 400,28 Mar 2023,10204.35,10215.00,10106.00,10143.15
45,NIFTY MIDSML 400,27 Mar 2023,10288.00,10297.55,10177.65,10191.85
46,NIFTY MIDSML 400,24 Mar 2023,10413.10,10427.25,10262.60,10280.7
47,NIFTY MIDSML 400,23 Mar 2023,10435.05,10463.30,10405.25,10413.8
48,NIFTY MIDSML 400,22 Mar 2023,10450.50,10486.75,10440.70,10451.2
49,NIFTY MIDSML 400,21 Mar 2023,10402.55,10426.85,10377.20,10412.95
50,NIFTY MIDSML 400,20 Mar 2023,10449.00,10484.65,10292.60,10358.6
51,NIFTY MIDSML 400,17 Mar 2023,10470.05,10498.80,10412.20,10455.2
52,NIFTY MIDSML 400,16 Mar 2023,10412.95,10435.60,10278.40,10402.35
53,NIFTY MIDSML 400,15 Mar 2023,10494.80,10524.65,10412.55,10428.4
54,NIFTY MIDSML 400,14 Mar 2023,10505.30,10515.65,10380.10,10419.6
55,NIFTY MIDSML 400,13 Mar 2023,10673.35,10702.90,10462.90,10494.05
56,NIFTY MIDSML 400,10 Mar 2023,10708.10,10710.50,10622.15,10695.45
57,NIFTY MIDSML 400,09 Mar 2023,10848.05,10864.65,10753.25,10769.1
58,NIFTY MIDSML 400,08 Mar 2023,10755.65,10833.65,10724.80,10820.95
59,NIFTY MIDSML 400,06 Mar 2023,10749.05,10841.50,10744.85,10788.05
60,NIFTY MIDSML 400,03 Mar 2023,10687.25,10730.95,10679.85,10701.4
61,NIFTY MIDSML 400,02 Mar 2023,10672.55,10681.60,10631.15,10640.85
62,NIFTY MIDSML 400,01 Mar 2023,10531.95,10668.50,10531.50,10659.55
63,NIFTY MIDSML 400,28 Feb 2023,10487.85,10531.70,10463.65,10516.95
64,NIFTY MIDSML 400,27 Feb 2023,10534.50,10535.60,10388.30,10460.75
65,NIFTY MIDSML 400,24 Feb 2023,10596.35,10632.15,10531.00,10540.85
66,NIFTY MIDSML 400,23 Feb 2023,10586.95,10596.45,10478.90,10564.2
67,NIFTY MIDSML 400,22 Feb 2023,10652.70,10672.50,10544.45,10575.3
68,NIFTY MIDSML 400,21 Feb 2023,10739.10,10751.35,10676.30,10686.8
69,NIFTY MIDSML 400,20 Feb 2023,10758.00,10768.70,10673.50,10718.3
70,NIFTY MIDSML 400,17 Feb 2023,10765.15,10796.10,10716.25,10729.25
71,NIFTY MIDSML 400,16 Feb 2023,10744.70,10814.00,10736.35,10787.2
72,NIFTY MIDSML 400,15 Feb 2023,10640.70,10712.70,10636.75,10704.05
73,NIFTY MIDSML 400,14 Feb 2023,10711.75,10727.35,10622.80,10655.8
74,NIFTY MIDSML 400,13 Feb 2023,10841.20,10847.10,10691.85,10705.35
75,NIFTY MIDSML 400,10 Feb 2023,10790.05,10870.45,10781.00,10842.85
76,NIFTY MIDSML 400,09 Feb 2023,10828.90,10830.65,10778.60,10807.75
77,NIFTY MIDSML 400,08 Feb 2023,10742.85,10819.60,10710.05,10810.4
78,NIFTY MIDSML 400,07 Feb 2023,10756.05,10768.30,10679.80,10722.5
79,NIFTY MIDSML 400,06 Feb 2023,10674.20,10749.10,10665.55,10736.3
80,NIFTY MIDSML 400,03 Feb 2023,10717.35,10736.80,10532.50,10666.2
81,NIFTY MIDSML 400,02 Feb 2023,10621.70,10755.90,10592.10,10687.6
82,NIFTY MIDSML 400,01 Feb 2023,10840.75,10923.50,10504.60,10659.55
83,NIFTY MIDSML 400,31 Jan 2023,10593.15,10784.60,10545.75,10761.8
84,NIFTY MIDSML 400,30 Jan 2023,10567.10,10673.45,10494.25,10562.45
85,NIFTY MIDSML 400,27 Jan 2023,10754.60,10777.10,10471.05,10580.45
86,NIFTY MIDSML 400,25 Jan 2023,10846.70,10850.75,10702.35,10734.3
87,NIFTY MIDSML 400,24 Jan 2023,10915.30,10932.95,10843.70,10857.15
88,NIFTY MIDSML 400,23 Jan 2023,10912.10,10916.60,10867.20,10897.1
89,NIFTY MIDSML 400,20 Jan 2023,10970.20,10978.35,10878.15,10888.4
90,NIFTY MIDSML 400,19 Jan 2023,10951.55,10978.65,10927.40,10960.15
91,NIFTY MIDSML 400,18 Jan 2023,10965.15,10987.45,10937.20,10977.65
92,NIFTY MIDSML 400,17 Jan 2023,10969.85,10973.15,10884.75,10944.15
93,NIFTY MIDSML 400,16 Jan 2023,11002.60,11035.30,10944.15,10953.45
94,NIFTY MIDSML 400,13 Jan 2023,10992.55,10993.85,10922.50,10974.05
95,NIFTY MIDSML 400,12 Jan 2023,11017.05,11023.20,10924.15,10967.45
96,NIFTY MIDSML 400,11 Jan 2023,11029.75,11047.80,10968.25,10981.5
97,NIFTY MIDSML 400,10 Jan 2023,11068.30,11068.30,10952.45,11002.3
98,NIFTY MIDSML 400,09 Jan 2023,11053.50,11084.00,11001.65,11050.7
99,NIFTY MIDSML 400,06 Jan 2023,11069.60,11078.45,10935.95,10975.3
100,NIFTY MIDSML 400,05 Jan 2023,11064.85,11075.00,10981.30,11054.3
101,NIFTY MIDSML 400,04 Jan 2023,11145.10,11160.60,10991.05,11026.35
102,NIFTY MIDSML 400,03 Jan 2023,11130.50,11155.05,11094.20,11125.95
103,NIFTY MIDSML 400,02 Jan 2023,11059.00,11113.25,11019.05,11105.75
104,NIFTY MIDSML 400,30 Dec 2022,11029.05,11082.80,11005.55,11025.7
105,NIFTY MIDSML 400,29 Dec 2022,10912.45,10980.20,10849.35,10962.6
106,NIFTY MIDSML 400,28 Dec 2022,10918.75,10969.35,10856.50,10947.7
107,NIFTY MIDSML 400,27 Dec 2022,10881.00,10951.60,10816.60,10916.4
108,NIFTY MIDSML 400,26 Dec 2022,10513.65,10823.80,10431.45,10804.8
109,NIFTY MIDSML 400,23 Dec 2022,10825.50,10847.85,10493.55,10514.05
110,NIFTY MIDSML 400,22 Dec 2022,11112.05,11149.60,10856.00,10929.35
111,NIFTY MIDSML 400,21 Dec 2022,11300.40,11339.90,11033.85,11062.3
112,NIFTY MIDSML 400,20 Dec 2022,11265.60,11290.85,11169.25,11257.95
113,NIFTY MIDSML 400,19 Dec 2022,11260.45,11286.75,11188.65,11278.35
114,NIFTY MIDSML 400,16 Dec 2022,11331.90,11378.50,11197.95,11231.35
115,NIFTY MIDSML 400,15 Dec 2022,11462.00,11485.85,11349.15,11370.95
116,NIFTY MIDSML 400,14 Dec 2022,11425.70,11480.90,11407.90,11456.65
117,NIFTY MIDSML 400,13 Dec 2022,11372.20,11389.70,11340.65,11382.85
118,NIFTY MIDSML 400,12 Dec 2022,11290.80,11336.40,11204.95,11329.55
119,NIFTY MIDSML 400,09 Dec 2022,11411.65,11429.50,11208.05,11286.55
120,NIFTY MIDSML 400,08 Dec 2022,11331.30,11366.85,11310.60,11360.0
121,NIFTY MIDSML 400,07 Dec 2022,11375.65,11391.90,11283.80,11303.25
122,NIFTY MIDSML 400,06 Dec 2022,11389.00,11407.95,11337.10,11355.35
123,NIFTY MIDSML 400,05 Dec 2022,11425.45,11431.45,11360.75,11400.9
124,NIFTY MIDSML 400,02 Dec 2022,11308.55,11389.80,11300.60,11382.95
125,NIFTY MIDSML 400,01 Dec 2022,11282.65,11324.30,11255.25,11293.4
126,NIFTY MIDSML 400,30 Nov 2022,11153.30,11239.65,11149.30,11220.05
127,NIFTY MIDSML 400,29 Nov 2022,11184.25,11208.35,11117.20,11132.75
128,NIFTY MIDSML 400,28 Nov 2022,11089.70,11178.90,11086.25,11172.55
129,NIFTY MIDSML 400,25 Nov 2022,11015.05,11092.10,11013.15,11082.15
130,NIFTY MIDSML 400,24 Nov 2022,10977.05,10994.40,10963.00,10988.2
131,NIFTY MIDSML 400,23 Nov 2022,10936.20,10954.70,10925.25,10939.05
132,NIFTY MIDSML 400,22 Nov 2022,10898.70,10912.65,10875.65,10900.85
133,NIFTY MIDSML 400,21 Nov 2022,10877.85,10905.20,10844.90,10877.35
134,NIFTY MIDSML 400,18 Nov 2022,10946.45,10958.85,10820.70,10873.65
135,NIFTY MIDSML 400,17 Nov 2022,10947.10,10958.60,10899.95,10919.15
136,NIFTY MIDSML 400,16 Nov 2022,11025.45,11045.85,10917.75,10954.45
137,NIFTY MIDSML 400,15 Nov 2022,11028.70,11040.00,10989.00,11011.05
138,NIFTY MIDSML 400,14 Nov 2022,11009.10,11027.30,10948.60,11012.3
139,NIFTY MIDSML 400,11 Nov 2022,11092.40,11123.75,10984.30,10999.0
140,NIFTY MIDSML 400,10 Nov 2022,11063.85,11082.20,10932.20,10976.5
141,NIFTY MIDSML 400,09 Nov 2022,11192.95,11193.75,11072.90,11089.15
142,NIFTY MIDSML 400,07 Nov 2022,11124.35,11156.40,11094.85,11149.75
143,NIFTY MIDSML 400,04 Nov 2022,11081.30,11106.10,11045.55,11068.0
144,NIFTY MIDSML 400,03 Nov 2022,10995.45,11071.60,10990.25,11055.4
145,NIFTY MIDSML 400,02 Nov 2022,11050.55,11085.35,11023.1,11039.0
146,NIFTY MIDSML 400,01 Nov 2022,11006.2,11048.9,10988.55,11039.75
147,NIFTY MIDSML 400,31 Oct 2022,10912.30,10980.85,10906.70,10972.8
148,NIFTY MIDSML 400,28 Oct 2022,10954.95,10963.50,10844.50,10864.6
149,NIFTY MIDSML 400,27 Oct 2022,10916.00,10945.70,10891.35,10934.05
150,NIFTY MIDSML 400,25 Oct 2022,10887.05,10906.30,10809.75,10874.45
151,NIFTY MIDSML 400,24 Oct 2022,10911.55,10913.15,10859.30,10871.15
152,NIFTY MIDSML 400,21 Oct 2022,10883.85,10916.35,10767.85,10797.1
153,NIFTY MIDSML 400,20 Oct 2022,10826.30,10865.10,10774.45,10854.95
154,NIFTY MIDSML 400,19 Oct 2022,10895.85,10922.70,10850.65,10870.55
155,NIFTY MIDSML 400,18 Oct 2022,10829.35,10871.95,10800.25,10863.15
156,NIFTY MIDSML 400,17 Oct 2022,10717.30,10775.40,10635.10,10762.45
157,NIFTY MIDSML 400,14 Oct 2022,10886.60,10911.90,10727.80,10741.0
158,NIFTY MIDSML 400,13 Oct 2022,10813.00,10832.70,10709.05,10744.6
159,NIFTY MIDSML 400,12 Oct 2022,10784.75,10821.35,10678.70,10808.75
160,NIFTY MIDSML 400,11 Oct 2022,10957.00,10960.45,10728.85,10752.65
161,NIFTY MIDSML 400,10 Oct 2022,10904.90,10958.15,10860.25,10925.65
162,NIFTY MIDSML 400,07 Oct 2022,11026.85,11043.70,10940.35,11011.9
163,NIFTY MIDSML 400,06 Oct 2022,10971.35,11049.25,10968.30,11019.1
164,NIFTY MIDSML 400,04 Oct 2022,10835.15,10901.05,10795.45,10893.6
165,NIFTY MIDSML 400,03 Oct 2022,10776.9,10816,10628.1,10684.9
166,NIFTY MIDSML 400,30 Sep 2022,10611.2,10788.05,10522.85,10773.45
167,NIFTY MIDSML 400,29 Sep 2022,10675.10,10712.85,10553.05,10617.2
168,NIFTY MIDSML 400,28 Sep 2022,10538.05,10658.05,10510.50,10567.3
169,NIFTY MIDSML 400,27 Sep 2022,10634.7,10698.65,10517.3,10601.1
170,NIFTY MIDSML 400,26 Sep 2022,10821.35,10823.85,10499.1,10578.75
171,NIFTY MIDSML 400,23 Sep 2022,11163.85,11185.70,10902.55,10915.0
172,NIFTY MIDSML 400,22 Sep 2022,11073.10,11173.65,11026.55,11146.25
173,NIFTY MIDSML 400,21 Sep 2022,11195.80,11253.45,11071.85,11101.45
174,NIFTY MIDSML 400,20 Sep 2022,11114.35,11232.80,11112.45,11176.5
175,NIFTY MIDSML 400,19 Sep 2022,11070.80,11103.55,10930.85,11025.75
176,NIFTY MIDSML 400,16 Sep 2022,11326.30,11343.35,10983.95,11048.6
177,NIFTY MIDSML 400,15 Sep 2022,11364.60,11403.90,11274.30,11326.8
178,NIFTY MIDSML 400,14 Sep 2022,11182.15,11326.05,11171.10,11302.35
179,NIFTY MIDSML 400,13 Sep 2022,11369.05,11385.10,11314.70,11326.1
180,NIFTY MIDSML 400,12 Sep 2022,11272.60,11320.55,11265.40,11311.0
181,NIFTY MIDSML 400,09 Sep 2022,11259.40,11278.65,11186.60,11215.2
182,NIFTY MIDSML 400,08 Sep 2022,11225.60,11243.95,11161.85,11190.85
183,NIFTY MIDSML 400,07 Sep 2022,11042.45,11147.50,11027.10,11139.85
184,NIFTY MIDSML 400,06 Sep 2022,11091.10,11111.45,11018.95,11071.5
185,NIFTY MIDSML 400,05 Sep 2022,10994.10,11048.15,10990.25,11032.2
186,NIFTY MIDSML 400,02 Sep 2022,11028.45,11049.70,10946.20,10957.1
187,NIFTY MIDSML 400,01 Sep 2022,10889.80,10993.05,10878.15,10970.05
188,NIFTY MIDSML 400,30 Aug 2022,10833.95,10948.05,10833.20,10940.75
189,NIFTY MIDSML 400,29 Aug 2022,10543.35,10762.70,10542.80,10750.55
190,NIFTY MIDSML 400,26 Aug 2022,10842.80,10885.20,10809.85,10832.25
191,NIFTY MIDSML 400,25 Aug 2022,10821.65,10860.80,10761.65,10779.65
192,NIFTY MIDSML 400,24 Aug 2022,10689.95,10768.35,10686.25,10761.75
193,NIFTY MIDSML 400,23 Aug 2022,10505.20,10704.90,10498.15,10684.5
194,NIFTY MIDSML 400,22 Aug 2022,10722.00,10722.00,10566.05,10582.1
195,NIFTY MIDSML 400,19 Aug 2022,10909.60,10926.85,10723.35,10746.95
196,NIFTY MIDSML 400,18 Aug 2022,10864.70,10909.10,10842.75,10877.0
197,NIFTY MIDSML 400,17 Aug 2022,10854.05,10882.15,10840.75,10856.1
198,NIFTY MIDSML 400,16 Aug 2022,10734.60,10815.70,10722.75,10809.5
199,NIFTY MIDSML 400,12 Aug 2022,10643.60,10696.45,10624.00,10680.1
200,NIFTY MIDSML 400,11 Aug 2022,10628.50,10640.25,10607.30,10625.15
201,NIFTY MIDSML 400,10 Aug 2022,10605.35,10618.25,10521.00,10546.95
202,NIFTY MIDSML 400,08 Aug 2022,10559.35,10601.95,10510.85,10571.5
203,NIFTY MIDSML 400,05 Aug 2022,10558.05,10585.75,10524.35,10545.25
204,NIFTY MIDSML 400,04 Aug 2022,10545.30,10583.50,10361.25,10525.15
205,NIFTY MIDSML 400,03 Aug 2022,10552.30,10562.45,10418.85,10494.45
206,NIFTY MIDSML 400,02 Aug 2022,10491.65,10564.45,10447.80,10545.55
207,NIFTY MIDSML 400,01 Aug 2022,10391.20,10498.80,10341.90,10492.15
208,NIFTY MIDSML 400,29 Jul 2022,10259.60,10342.75,10253.40,10331.7
209,NIFTY MIDSML 400,28 Jul 2022,10176.70,10197.90,10130.90,10188.75
210,NIFTY MIDSML 400,27 Jul 2022,10042.40,10123.00,10014.70,10113.45
211,NIFTY MIDSML 400,26 Jul 2022,10168.15,10171.45,10041.05,10053.5
212,NIFTY MIDSML 400,25 Jul 2022,10183.05,10195.50,10118.05,10160.8
213,NIFTY MIDSML 400,22 Jul 2022,10204.40,10220.30,10144.60,10178.6
