,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY MNC,05 Jun 2023,21035.15,21075.05,21018.40,21031.6
1,NIFTY MNC,02 Jun 2023,20908.90,20998.25,20867.30,20986.55
2,NIFTY MNC,01 Jun 2023,20828.25,20887.65,20761.75,20835.8
3,NIFTY MNC,31 May 2023,20733.35,20844.30,20679.95,20801.4
4,NIFTY MNC,30 May 2023,20702.50,20757.25,20681.40,20743.9
5,NIFTY MNC,29 May 2023,20777.10,20789.50,20651.95,20676.95
6,NIFTY MNC,26 May 2023,20480.70,20683.90,20459.90,20667.75
7,NIFTY MNC,25 May 2023,20367.20,20451.45,20328.20,20419.55
8,NIFTY MNC,24 May 2023,20375.95,20454.15,20325.10,20352.0
9,NIFTY MNC,23 May 2023,20410.65,20501.40,20354.55,20369.05
10,NIFTY MNC,22 May 2023,20346.55,20387.30,20233.85,20364.35
11,NIFTY MNC,19 May 2023,20448.45,20452.55,20262.05,20396.6
12,NIFTY MNC,18 May 2023,20677.15,20702.80,20422.85,20450.7
13,NIFTY MNC,17 May 2023,20586.95,20634.15,20503.65,20587.4
14,NIFTY MNC,16 May 2023,20630.70,20663.95,20559.20,20575.9
15,NIFTY MNC,15 May 2023,20548.85,20625.20,20515.30,20580.85
16,NIFTY MNC,12 May 2023,20528.85,20596.95,20494.80,20535.85
17,NIFTY MNC,11 May 2023,20403.20,20532.70,20348.20,20511.25
18,NIFTY MNC,10 May 2023,20304.15,20364.35,20266.60,20345.05
19,NIFTY MNC,09 May 2023,20307.85,20343.55,20186.90,20238.95
20,NIFTY MNC,08 May 2023,20183.75,20262.65,20162.95,20236.3
21,NIFTY MNC,05 May 2023,20021.75,20146.05,20015.10,20102.4
22,NIFTY MNC,04 May 2023,19927.20,20033.00,19907.50,20018.05
23,NIFTY MNC,03 May 2023,19834.95,19950.15,19794.50,19905.75
24,NIFTY MNC,02 May 2023,19874.15,19924.55,19835.10,19854.25
25,NIFTY MNC,28 Apr 2023,19600.30,19845.10,19588.80,19811.55
26,NIFTY MNC,27 Apr 2023,19587.75,19629.10,19544.95,19593.1
27,NIFTY MNC,26 Apr 2023,19398.10,19571.35,19376.70,19559.35
28,NIFTY MNC,25 Apr 2023,19334.70,19436.20,19306.35,19404.85
29,NIFTY MNC,24 Apr 2023,19271.25,19321.55,19199.60,19299.85
30,NIFTY MNC,21 Apr 2023,19328.20,19334.50,19213.05,19245.3
31,NIFTY MNC,20 Apr 2023,19352.15,19441.85,19302.65,19325.35
32,NIFTY MNC,19 Apr 2023,19431.25,19442.50,19323.35,19363.8
33,NIFTY MNC,18 Apr 2023,19454.50,19499.45,19379.45,19408.15
34,NIFTY MNC,17 Apr 2023,19395.45,19453.90,19309.20,19420.5
35,NIFTY MNC,13 Apr 2023,19328.25,19415.20,19287.00,19317.7
36,NIFTY MNC,12 Apr 2023,19354.95,19371.05,19304.70,19333.5
37,NIFTY MNC,11 Apr 2023,19357.65,19387.55,19258.85,19327.3
38,NIFTY MNC,10 Apr 2023,19381.30,19381.30,19268.75,19301.75
39,NIFTY MNC,06 Apr 2023,19330.15,19370.05,19251.55,19355.55
40,NIFTY MNC,05 Apr 2023,19259.80,19339.80,19186.65,19319.55
41,NIFTY MNC,03 Apr 2023,19272.55,19284.50,19142.20,19265.7
42,NIFTY MNC,31 Mar 2023,19019.80,19151.55,19016.50,19134.9
43,NIFTY MNC,29 Mar 2023,18751.60,18975.35,18739.35,18941.0
44,NIFTY MNC,28 Mar 2023,18821.55,18851.30,18651.05,18725.7
45,NIFTY MNC,27 Mar 2023,18885.10,18918.00,18764.85,18786.8
46,NIFTY MNC,24 Mar 2023,18982.75,19004.85,18821.10,18848.45
47,NIFTY MNC,23 Mar 2023,18937.55,19010.30,18901.55,18947.8
48,NIFTY MNC,22 Mar 2023,18989.65,19015.05,18918.75,18952.85
49,NIFTY MNC,21 Mar 2023,18993.20,19030.95,18890.00,18925.15
50,NIFTY MNC,20 Mar 2023,18952.55,19006.35,18757.70,18934.4
51,NIFTY MNC,17 Mar 2023,19054.15,19087.10,18975.90,19018.95
52,NIFTY MNC,16 Mar 2023,18842.65,18996.00,18738.40,18953.0
53,NIFTY MNC,15 Mar 2023,19008.75,19038.25,18812.90,18829.3
54,NIFTY MNC,14 Mar 2023,19002.50,19010.95,18791.80,18875.95
55,NIFTY MNC,13 Mar 2023,19173.15,19243.50,18911.65,18960.0
56,NIFTY MNC,10 Mar 2023,19133.55,19175.85,19023.25,19166.0
57,NIFTY MNC,09 Mar 2023,19386.35,19412.60,19199.10,19221.55
58,NIFTY MNC,08 Mar 2023,19214.70,19357.95,19170.60,19348.25
59,NIFTY MNC,06 Mar 2023,19308.70,19344.30,19239.50,19267.5
60,NIFTY MNC,03 Mar 2023,19147.15,19263.80,19108.80,19228.05
61,NIFTY MNC,02 Mar 2023,19196.05,19201.30,19032.25,19061.1
62,NIFTY MNC,01 Mar 2023,19006.35,19199.80,19005.45,19175.2
63,NIFTY MNC,28 Feb 2023,18961.30,19027.50,18913.25,19009.6
64,NIFTY MNC,27 Feb 2023,19105.55,19113.90,18821.95,18950.6
65,NIFTY MNC,24 Feb 2023,19244.25,19290.45,19104.95,19137.0
66,NIFTY MNC,23 Feb 2023,19237.85,19248.90,19101.00,19188.1
67,NIFTY MNC,22 Feb 2023,19357.20,19358.15,19169.80,19221.2
68,NIFTY MNC,21 Feb 2023,19416.35,19469.40,19346.90,19377.7
69,NIFTY MNC,20 Feb 2023,19503.05,19531.95,19341.65,19372.7
70,NIFTY MNC,17 Feb 2023,19568.30,19599.50,19457.50,19480.3
71,NIFTY MNC,16 Feb 2023,19634.65,19665.15,19563.80,19601.35
72,NIFTY MNC,15 Feb 2023,19390.20,19539.60,19352.50,19524.4
73,NIFTY MNC,14 Feb 2023,19466.95,19496.40,19393.85,19415.6
74,NIFTY MNC,13 Feb 2023,19575.80,19614.75,19411.05,19434.7
75,NIFTY MNC,10 Feb 2023,19560.10,19577.80,19507.70,19561.7
76,NIFTY MNC,09 Feb 2023,19589.90,19626.65,19538.80,19570.95
77,NIFTY MNC,08 Feb 2023,19570.20,19607.30,19516.70,19595.0
78,NIFTY MNC,07 Feb 2023,19573.70,19573.90,19432.15,19531.4
79,NIFTY MNC,06 Feb 2023,19484.35,19551.20,19372.00,19531.8
80,NIFTY MNC,03 Feb 2023,19435.30,19504.60,19222.30,19486.15
81,NIFTY MNC,02 Feb 2023,19235.95,19410.85,19040.95,19358.65
82,NIFTY MNC,01 Feb 2023,19487.30,19552.55,18902.05,19113.6
83,NIFTY MNC,31 Jan 2023,19261.90,19404.50,19138.70,19364.9
84,NIFTY MNC,30 Jan 2023,19256.75,19353.20,19004.40,19200.6
85,NIFTY MNC,27 Jan 2023,19563.70,19589.85,18975.05,19199.4
86,NIFTY MNC,25 Jan 2023,19713.40,19723.05,19474.50,19500.75
87,NIFTY MNC,24 Jan 2023,19731.90,19772.05,19671.90,19732.4
88,NIFTY MNC,23 Jan 2023,19725.80,19735.10,19648.75,19692.55
89,NIFTY MNC,20 Jan 2023,19843.40,19866.75,19650.45,19673.35
90,NIFTY MNC,19 Jan 2023,19935.00,19971.60,19854.50,19910.75
91,NIFTY MNC,18 Jan 2023,19884.35,19996.00,19872.55,19969.25
92,NIFTY MNC,17 Jan 2023,19788.10,19882.00,19747.85,19863.4
93,NIFTY MNC,16 Jan 2023,19866.65,19871.15,19702.15,19741.9
94,NIFTY MNC,13 Jan 2023,19847.95,19891.00,19754.50,19831.7
95,NIFTY MNC,12 Jan 2023,19833.50,19888.10,19745.10,19808.6
96,NIFTY MNC,11 Jan 2023,19888.55,19907.80,19772.10,19802.4
97,NIFTY MNC,10 Jan 2023,19940.05,19951.55,19763.30,19844.15
98,NIFTY MNC,09 Jan 2023,19873.15,19950.45,19821.75,19926.25
99,NIFTY MNC,06 Jan 2023,19822.10,19890.95,19726.40,19779.95
100,NIFTY MNC,05 Jan 2023,19656.80,19832.00,19652.20,19809.75
101,NIFTY MNC,04 Jan 2023,19747.50,19769.20,19579.85,19610.65
102,NIFTY MNC,03 Jan 2023,19724.85,19750.40,19647.55,19719.1
103,NIFTY MNC,02 Jan 2023,19754.15,19781.75,19648.70,19720.55
104,NIFTY MNC,30 Dec 2022,19828.85,19880.35,19685.70,19701.3
105,NIFTY MNC,29 Dec 2022,19724.05,19812.65,19582.45,19748.1
106,NIFTY MNC,28 Dec 2022,19760.95,19824.65,19711.50,19774.2
107,NIFTY MNC,27 Dec 2022,19766.50,19825.45,19681.70,19761.85
108,NIFTY MNC,26 Dec 2022,19508.70,19773.75,19405.55,19682.25
109,NIFTY MNC,23 Dec 2022,19867.65,19913.70,19460.85,19503.8
110,NIFTY MNC,22 Dec 2022,20123.95,20153.80,19893.35,19980.05
111,NIFTY MNC,21 Dec 2022,20328.40,20372.20,19958.30,20043.55
112,NIFTY MNC,20 Dec 2022,20318.20,20318.20,20148.45,20281.05
113,NIFTY MNC,19 Dec 2022,20128.00,20370.40,20064.15,20342.5
114,NIFTY MNC,16 Dec 2022,20223.45,20277.95,20075.90,20094.75
115,NIFTY MNC,15 Dec 2022,20495.90,20527.95,20242.15,20277.85
116,NIFTY MNC,14 Dec 2022,20582.55,20598.55,20462.75,20502.35
117,NIFTY MNC,13 Dec 2022,20581.80,20608.35,20500.65,20529.3
118,NIFTY MNC,12 Dec 2022,20481.85,20557.60,20354.10,20543.4
119,NIFTY MNC,09 Dec 2022,20586.35,20626.45,20357.85,20493.45
120,NIFTY MNC,08 Dec 2022,20429.10,20501.10,20384.75,20476.7
121,NIFTY MNC,07 Dec 2022,20384.95,20450.35,20344.80,20404.55
122,NIFTY MNC,06 Dec 2022,20327.25,20368.15,20277.70,20345.3
123,NIFTY MNC,05 Dec 2022,20430.80,20455.40,20294.55,20361.9
124,NIFTY MNC,02 Dec 2022,20439.60,20457.05,20337.90,20394.45
125,NIFTY MNC,01 Dec 2022,20455.60,20470.20,20359.00,20451.95
126,NIFTY MNC,30 Nov 2022,20255.40,20431.95,20233.80,20371.3
127,NIFTY MNC,29 Nov 2022,20096.70,20288.05,20088.85,20223.25
128,NIFTY MNC,28 Nov 2022,20033.00,20101.65,20023.15,20078.55
129,NIFTY MNC,25 Nov 2022,20040.05,20049.90,19934.45,20032.45
130,NIFTY MNC,24 Nov 2022,19929.40,20017.40,19883.30,19980.0
131,NIFTY MNC,23 Nov 2022,19945.75,19950.25,19845.45,19864.9
132,NIFTY MNC,22 Nov 2022,19887.00,19937.10,19851.80,19875.85
133,NIFTY MNC,21 Nov 2022,19916.30,19916.30,19804.90,19858.85
134,NIFTY MNC,18 Nov 2022,20038.45,20056.35,19806.80,19912.65
135,NIFTY MNC,17 Nov 2022,20060.65,20073.80,19948.30,19980.3
136,NIFTY MNC,16 Nov 2022,20155.95,20180.85,19993.60,20079.1
137,NIFTY MNC,15 Nov 2022,20175.25,20177.40,20059.90,20143.25
138,NIFTY MNC,14 Nov 2022,20136.80,20213.55,20062.20,20110.0
139,NIFTY MNC,11 Nov 2022,20230.45,20264.30,20024.50,20072.3
140,NIFTY MNC,10 Nov 2022,20096.20,20157.15,19957.80,20029.15
141,NIFTY MNC,09 Nov 2022,20304.25,20336.00,20084.35,20136.9
142,NIFTY MNC,07 Nov 2022,20186.00,20280.15,20110.15,20213.05
143,NIFTY MNC,04 Nov 2022,19986.60,20073.60,19978.80,20052.1
144,NIFTY MNC,03 Nov 2022,19854.60,19980.30,19838.65,19946.45
145,Nifty MNC,02 Nov 2022,20054.8,20073.4,19898.65,19968.85
146,Nifty MNC,01 Nov 2022,19996.55,20058.4,19940.2,20036.7
147,NIFTY MNC,31 Oct 2022,19800.05,19936.45,19795.50,19909.6
148,NIFTY MNC,28 Oct 2022,19682.15,19756.20,19580.60,19742.1
149,NIFTY MNC,27 Oct 2022,19651.05,19682.90,19542.15,19635.35
150,NIFTY MNC,25 Oct 2022,19684.95,19699.00,19541.35,19584.05
151,NIFTY MNC,24 Oct 2022,19686.15,19707.25,19629.20,19655.3
152,NIFTY MNC,21 Oct 2022,19674.85,19731.80,19493.50,19574.8
153,NIFTY MNC,20 Oct 2022,19546.10,19663.15,19517.85,19637.1
154,NIFTY MNC,19 Oct 2022,19669.95,19692.80,19581.30,19602.9
155,NIFTY MNC,18 Oct 2022,19595.70,19677.45,19562.65,19607.9
156,NIFTY MNC,17 Oct 2022,19368.10,19518.75,19278.00,19480.45
157,NIFTY MNC,14 Oct 2022,19659.90,19676.90,19385.10,19403.95
158,NIFTY MNC,13 Oct 2022,19503.40,19523.50,19337.55,19416.25
159,NIFTY MNC,12 Oct 2022,19396.90,19510.00,19215.60,19486.7
160,NIFTY MNC,11 Oct 2022,19808.75,19819.70,19291.40,19325.5
161,NIFTY MNC,10 Oct 2022,19640.40,19783.65,19579.40,19764.35
162,NIFTY MNC,07 Oct 2022,19810.85,19867.90,19653.15,19849.1
163,NIFTY MNC,06 Oct 2022,19800.15,19873.65,19754.50,19786.55
164,NIFTY MNC,04 Oct 2022,19644.55,19704.05,19544.65,19681.15
165,Nifty MNC,03 Oct 2022,19757.35,19772,19254.4,19343.05
166,Nifty MNC,30 Sep 2022,19488.2,19757.45,19361,19707.75
167,NIFTY MNC,29 Sep 2022,19564.25,19605.60,19352.60,19465.65
168,NIFTY MNC,28 Sep 2022,19359.05,19587.85,19260.25,19428.7
169,Nifty MNC,27 Sep 2022,19492.85,19617.4,19302.95,19455.2
170,Nifty MNC,26 Sep 2022,19749.4,19764.4,19393.75,19438.05
171,NIFTY MNC,23 Sep 2022,20065.15,20125.55,19818.60,19855.9
172,NIFTY MNC,22 Sep 2022,19854.65,20110.30,19811.00,20044.95
173,NIFTY MNC,21 Sep 2022,19994.20,20157.80,19891.05,19928.85
174,NIFTY MNC,20 Sep 2022,20013.85,20146.80,19953.60,19987.55
175,NIFTY MNC,19 Sep 2022,19703.65,19915.15,19518.90,19857.2
176,NIFTY MNC,16 Sep 2022,20135.95,20167.50,19620.65,19678.35
177,NIFTY MNC,15 Sep 2022,20291.55,20348.85,20161.35,20234.45
178,NIFTY MNC,14 Sep 2022,19787.35,20215.25,19787.35,20165.55
179,NIFTY MNC,13 Sep 2022,19956.55,20035.85,19938.90,20007.3
180,NIFTY MNC,12 Sep 2022,19787.95,19879.80,19758.45,19843.55
181,NIFTY MNC,09 Sep 2022,19867.25,19934.25,19704.75,19744.35
182,NIFTY MNC,08 Sep 2022,19783.60,19806.50,19653.75,19726.5
183,NIFTY MNC,07 Sep 2022,19585.60,19709.80,19557.15,19655.9
184,NIFTY MNC,06 Sep 2022,19702.45,19740.85,19552.75,19612.7
185,NIFTY MNC,05 Sep 2022,19714.30,19774.35,19606.90,19648.7
186,NIFTY MNC,02 Sep 2022,19827.50,19846.35,19681.35,19701.7
187,NIFTY MNC,01 Sep 2022,19664.60,19854.55,19652.20,19748.15
188,NIFTY MNC,30 Aug 2022,19523.05,19789.25,19508.85,19768.65
189,NIFTY MNC,29 Aug 2022,19115.50,19447.45,19097.00,19407.4
190,NIFTY MNC,26 Aug 2022,19505.65,19561.80,19393.40,19419.1
191,NIFTY MNC,25 Aug 2022,19493.45,19559.85,19361.15,19390.95
192,NIFTY MNC,24 Aug 2022,19337.55,19437.90,19248.25,19412.95
193,NIFTY MNC,23 Aug 2022,19190.40,19421.00,19167.70,19341.9
194,NIFTY MNC,22 Aug 2022,19483.80,19483.80,19278.85,19303.4
195,NIFTY MNC,19 Aug 2022,19725.30,19749.50,19461.00,19514.1
196,NIFTY MNC,18 Aug 2022,19666.45,19737.70,19592.20,19669.2
197,NIFTY MNC,17 Aug 2022,19689.10,19730.25,19646.45,19677.45
198,NIFTY MNC,16 Aug 2022,19413.60,19641.65,19362.00,19610.15
199,NIFTY MNC,12 Aug 2022,19360.60,19362.25,19269.00,19311.55
200,NIFTY MNC,11 Aug 2022,19402.65,19463.25,19292.30,19330.8
201,NIFTY MNC,10 Aug 2022,19419.35,19470.40,19210.00,19294.75
202,NIFTY MNC,08 Aug 2022,19316.45,19373.05,19285.70,19329.4
203,NIFTY MNC,05 Aug 2022,19350.80,19422.15,19276.60,19294.3
204,NIFTY MNC,04 Aug 2022,19291.20,19357.75,19069.80,19323.65
205,NIFTY MNC,03 Aug 2022,19384.75,19421.35,19106.85,19231.4
206,NIFTY MNC,02 Aug 2022,19385.30,19453.25,19281.70,19423.95
207,NIFTY MNC,01 Aug 2022,19296.60,19365.45,19224.15,19334.4
208,NIFTY MNC,29 Jul 2022,19085.35,19271.25,19070.65,19200.55
