,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY NEXT 50,05 Jun 2023,42419.0,42546.55,42360.45,42401.35
1,NIFTY NEXT 50,02 Jun 2023,42290.3,42372.9,42216.05,42331.4
2,NIFTY NEXT 50,01 Jun 2023,42132.9,42320.9,42067.8,42154.7
3,NIFTY NEXT 50,31 May 2023,41899.4,42129.35,41804.85,42049.3
4,NIFTY NEXT 50,30 May 2023,41961.6,42031.25,41834.85,41946.0
5,NIFTY NEXT 50,29 May 2023,41980.5,41996.95,41840.25,41925.3
6,NIFTY NEXT 50,26 May 2023,41225.5,41710.85,41186.35,41684.7
7,NIFTY NEXT 50,25 May 2023,41005.2,41275.2,40944.6,41213.3
8,NIFTY NEXT 50,24 May 2023,41014.65,41122.55,40897.7,40984.05
9,NIFTY NEXT 50,23 May 2023,41100.0,41194.0,40968.15,41010.35
10,NIFTY NEXT 50,22 May 2023,40601.9,40938.2,40465.85,40923.45
11,NIFTY NEXT 50,19 May 2023,40453.4,40630.5,40090.25,40546.15
12,NIFTY NEXT 50,18 May 2023,40983.2,41044.2,40353.4,40415.35
13,NIFTY NEXT 50,17 May 2023,41124.5,41137.0,40668.65,40821.4
14,NIFTY NEXT 50,16 May 2023,41097.2,41256.8,41018.45,41052.05
15,NIFTY NEXT 50,15 May 2023,40825.25,41145.95,40778.7,40995.05
16,NIFTY NEXT 50,12 May 2023,40874.0,40976.15,40651.0,40801.1
17,NIFTY NEXT 50,11 May 2023,40741.65,40900.8,40648.2,40867.0
18,NIFTY NEXT 50,10 May 2023,40386.75,40580.05,40256.0,40551.5
19,NIFTY NEXT 50,09 May 2023,40447.0,40613.6,40218.3,40323.3
20,NIFTY NEXT 50,08 May 2023,40174.05,40391.95,40153.15,40365.1
21,NIFTY NEXT 50,05 May 2023,40101.55,40303.2,40034.25,40091.25
22,NIFTY NEXT 50,04 May 2023,39949.6,40119.95,39881.25,40096.15
23,NIFTY NEXT 50,03 May 2023,39731.4,39931.8,39658.3,39845.15
24,NIFTY NEXT 50,02 May 2023,39647.55,39828.85,39606.9,39774.5
25,NIFTY NEXT 50,28 Apr 2023,39100.7,39558.8,39032.1,39514.2
26,NIFTY NEXT 50,27 Apr 2023,38917.5,39022.7,38841.7,38992.0
27,NIFTY NEXT 50,26 Apr 2023,38722.9,38913.2,38679.7,38888.4
28,NIFTY NEXT 50,25 Apr 2023,38613.4,38809.15,38570.85,38738.6
29,NIFTY NEXT 50,24 Apr 2023,38521.75,38592.5,38380.75,38572.0
30,NIFTY NEXT 50,21 Apr 2023,38524.0,38548.55,38303.25,38426.05
31,NIFTY NEXT 50,20 Apr 2023,38513.5,38581.85,38414.45,38475.65
32,NIFTY NEXT 50,19 Apr 2023,38834.5,38841.3,38415.9,38459.95
33,NIFTY NEXT 50,18 Apr 2023,38745.9,38885.65,38620.7,38806.15
34,NIFTY NEXT 50,17 Apr 2023,38498.35,38690.0,38300.95,38663.5
35,NIFTY NEXT 50,13 Apr 2023,38592.0,38623.3,38411.55,38496.75
36,NIFTY NEXT 50,12 Apr 2023,38482.35,38588.45,38403.1,38560.9
37,NIFTY NEXT 50,11 Apr 2023,38467.55,38580.05,38245.6,38379.65
38,NIFTY NEXT 50,10 Apr 2023,38293.7,38375.95,38159.1,38296.75
39,NIFTY NEXT 50,06 Apr 2023,38119.4,38231.55,38008.4,38187.05
40,NIFTY NEXT 50,05 Apr 2023,37905.3,38125.95,37828.2,38094.3
41,NIFTY NEXT 50,03 Apr 2023,37987.45,37987.75,37687.2,37891.35
42,NIFTY NEXT 50,31 Mar 2023,37493.0,37848.35,37488.4,37797.75
43,NIFTY NEXT 50,29 Mar 2023,36911.45,37383.05,36903.05,37279.0
44,NIFTY NEXT 50,28 Mar 2023,37319.4,37328.6,36895.65,36982.3
45,NIFTY NEXT 50,27 Mar 2023,37570.9,37696.95,37287.15,37334.0
46,NIFTY NEXT 50,24 Mar 2023,37929.0,37951.25,37472.55,37528.55
47,NIFTY NEXT 50,23 Mar 2023,37894.6,37989.7,37779.1,37818.55
48,NIFTY NEXT 50,22 Mar 2023,37895.3,38061.35,37876.85,37973.0
49,NIFTY NEXT 50,21 Mar 2023,37690.25,37796.65,37497.5,37728.7
50,NIFTY NEXT 50,20 Mar 2023,37572.15,37680.25,37254.15,37512.45
51,NIFTY NEXT 50,17 Mar 2023,37895.7,37987.1,37727.85,37787.35
52,NIFTY NEXT 50,16 Mar 2023,37348.9,37685.15,36926.85,37579.15
53,NIFTY NEXT 50,15 Mar 2023,37586.6,37647.9,37302.25,37354.0
54,NIFTY NEXT 50,14 Mar 2023,37611.95,37669.2,37150.4,37375.55
55,NIFTY NEXT 50,13 Mar 2023,38101.05,38268.25,37535.6,37594.95
56,NIFTY NEXT 50,10 Mar 2023,37935.0,38115.75,37693.8,38083.2
57,NIFTY NEXT 50,09 Mar 2023,38570.3,38643.8,38124.65,38171.85
58,NIFTY NEXT 50,08 Mar 2023,38209.8,38483.45,38022.1,38452.8
59,NIFTY NEXT 50,06 Mar 2023,38234.95,38406.35,38222.0,38310.55
60,NIFTY NEXT 50,03 Mar 2023,37921.45,38097.65,37865.05,38008.05
61,NIFTY NEXT 50,02 Mar 2023,37724.25,37756.5,37552.8,37665.6
62,NIFTY NEXT 50,01 Mar 2023,37294.15,37713.25,37294.15,37686.65
63,NIFTY NEXT 50,28 Feb 2023,37159.6,37390.0,37054.5,37252.55
64,NIFTY NEXT 50,27 Feb 2023,37372.5,37387.25,36850.75,37153.15
65,NIFTY NEXT 50,24 Feb 2023,37622.25,37721.45,37382.7,37504.2
66,NIFTY NEXT 50,23 Feb 2023,37709.2,37730.2,37290.3,37536.3
67,NIFTY NEXT 50,22 Feb 2023,38074.35,38074.35,37574.0,37698.0
68,NIFTY NEXT 50,21 Feb 2023,38417.6,38469.5,38203.45,38248.25
69,NIFTY NEXT 50,20 Feb 2023,38447.6,38514.55,38191.8,38319.3
70,NIFTY NEXT 50,17 Feb 2023,38526.9,38672.0,38357.85,38439.4
71,NIFTY NEXT 50,16 Feb 2023,38488.55,38749.15,38457.2,38680.1
72,NIFTY NEXT 50,15 Feb 2023,38042.45,38449.1,38013.0,38405.2
73,NIFTY NEXT 50,14 Feb 2023,38130.3,38215.4,37952.4,38134.85
74,NIFTY NEXT 50,13 Feb 2023,38674.75,38699.2,38138.3,38177.1
