,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY OIL AND GAS,05 Jun 2023,7402.60,7410.90,7367.75,7391.15
1,NIFTY OIL AND GAS,02 Jun 2023,7447.75,7455.10,7360.65,7372.6
2,NIFTY OIL AND GAS,01 Jun 2023,7436.50,7478.00,7407.20,7422.45
3,NIFTY OIL AND GAS,31 May 2023,7496.50,7509.95,7394.30,7432.15
4,NIFTY OIL AND GAS,30 May 2023,7548.50,7582.50,7521.30,7526.9
5,NIFTY OIL AND GAS,29 May 2023,7562.30,7576.75,7520.80,7540.35
6,NIFTY OIL AND GAS,26 May 2023,7575.65,7593.05,7546.20,7581.45
7,NIFTY OIL AND GAS,25 May 2023,7549.60,7564.15,7492.80,7543.0
8,NIFTY OIL AND GAS,24 May 2023,7552.35,7591.95,7540.40,7551.65
9,NIFTY OIL AND GAS,23 May 2023,7531.95,7571.75,7524.85,7542.55
10,NIFTY OIL AND GAS,22 May 2023,7435.25,7499.20,7420.60,7488.7
11,NIFTY OIL AND GAS,19 May 2023,7413.30,7441.90,7347.70,7430.75
12,NIFTY OIL AND GAS,18 May 2023,7528.75,7538.75,7426.50,7435.85
13,NIFTY OIL AND GAS,17 May 2023,7570.80,7572.50,7491.05,7518.45
14,NIFTY OIL AND GAS,16 May 2023,7599.10,7622.95,7546.75,7554.4
15,NIFTY OIL AND GAS,15 May 2023,7580.10,7590.95,7530.10,7568.05
16,NIFTY OIL AND GAS,12 May 2023,7606.00,7612.35,7547.45,7568.4
17,NIFTY OIL AND GAS,11 May 2023,7650.30,7686.40,7629.65,7636.5
18,NIFTY OIL AND GAS,10 May 2023,7594.95,7640.30,7570.45,7634.55
19,NIFTY OIL AND GAS,09 May 2023,7554.80,7618.25,7552.50,7573.75
20,NIFTY OIL AND GAS,08 May 2023,7503.45,7568.95,7494.90,7559.8
21,NIFTY OIL AND GAS,05 May 2023,7544.00,7567.75,7499.10,7508.6
22,NIFTY OIL AND GAS,04 May 2023,7517.60,7557.05,7491.70,7548.65
23,NIFTY OIL AND GAS,03 May 2023,7580.80,7583.45,7514.75,7520.1
24,NIFTY OIL AND GAS,02 May 2023,7528.00,7595.45,7523.40,7578.4
25,NIFTY OIL AND GAS,28 Apr 2023,7446.75,7498.80,7381.20,7491.8
26,NIFTY OIL AND GAS,27 Apr 2023,7411.00,7435.05,7394.60,7428.2
27,NIFTY OIL AND GAS,26 Apr 2023,7407.85,7418.15,7364.95,7402.35
28,NIFTY OIL AND GAS,25 Apr 2023,7363.70,7419.45,7354.50,7404.7
29,NIFTY OIL AND GAS,24 Apr 2023,7366.60,7379.35,7336.20,7352.4
30,NIFTY OIL AND GAS,21 Apr 2023,7339.55,7350.90,7307.60,7336.4
31,NIFTY OIL AND GAS,20 Apr 2023,7358.15,7365.55,7309.05,7326.85
32,NIFTY OIL AND GAS,19 Apr 2023,7317.30,7351.10,7298.85,7344.6
33,NIFTY OIL AND GAS,18 Apr 2023,7361.90,7367.50,7301.35,7328.9
34,NIFTY OIL AND GAS,17 Apr 2023,7359.00,7359.00,7273.90,7348.65
35,NIFTY OIL AND GAS,13 Apr 2023,7324.55,7332.80,7260.40,7279.2
36,NIFTY OIL AND GAS,12 Apr 2023,7314.15,7327.55,7273.30,7301.65
37,NIFTY OIL AND GAS,11 Apr 2023,7244.50,7294.20,7238.65,7288.35
38,NIFTY OIL AND GAS,10 Apr 2023,7193.05,7246.15,7185.10,7221.2
