,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY PSE,05 Jun 2023,4816.85,4842.30,4810.90,4818.8
1,NIFTY PSE,02 Jun 2023,4795.55,4807.95,4786.05,4798.7
2,NIFTY PSE,01 Jun 2023,4778.15,4794.75,4761.60,4776.5
3,NIFTY PSE,31 May 2023,4832.50,4832.50,4767.95,4799.65
4,NIFTY PSE,30 May 2023,4824.30,4841.70,4809.50,4826.15
5,NIFTY PSE,29 May 2023,4810.10,4829.65,4776.95,4813.1
6,NIFTY PSE,26 May 2023,4811.45,4823.00,4789.10,4804.9
7,NIFTY PSE,25 May 2023,4799.55,4813.85,4782.80,4804.75
8,NIFTY PSE,24 May 2023,4793.85,4810.20,4780.65,4794.55
9,NIFTY PSE,23 May 2023,4786.75,4803.15,4779.15,4784.3
10,NIFTY PSE,22 May 2023,4749.65,4792.15,4737.45,4771.0
11,NIFTY PSE,19 May 2023,4764.80,4773.45,4718.85,4742.05
12,NIFTY PSE,18 May 2023,4838.25,4839.60,4760.15,4766.7
13,NIFTY PSE,17 May 2023,4843.50,4857.40,4800.85,4816.0
14,NIFTY PSE,16 May 2023,4835.15,4852.90,4824.40,4831.35
15,NIFTY PSE,15 May 2023,4773.70,4814.70,4765.25,4806.95
16,NIFTY PSE,12 May 2023,4832.55,4832.55,4764.45,4770.4
17,NIFTY PSE,11 May 2023,4821.35,4845.80,4815.90,4833.3
18,NIFTY PSE,10 May 2023,4789.80,4816.20,4770.10,4813.2
19,NIFTY PSE,09 May 2023,4796.30,4826.65,4763.95,4777.0
20,NIFTY PSE,08 May 2023,4748.50,4798.80,4742.05,4791.75
21,NIFTY PSE,05 May 2023,4784.90,4787.65,4737.10,4746.3
22,NIFTY PSE,04 May 2023,4780.30,4796.95,4761.55,4783.55
23,NIFTY PSE,03 May 2023,4756.40,4789.15,4746.45,4771.55
24,NIFTY PSE,02 May 2023,4703.60,4766.80,4701.35,4758.6
25,NIFTY PSE,28 Apr 2023,4663.90,4688.40,4622.60,4683.15
26,NIFTY PSE,27 Apr 2023,4641.60,4652.50,4631.45,4648.85
27,NIFTY PSE,26 Apr 2023,4612.60,4646.50,4600.75,4642.5
28,NIFTY PSE,25 Apr 2023,4610.65,4635.00,4605.30,4615.4
29,NIFTY PSE,24 Apr 2023,4584.80,4613.95,4575.85,4610.55
30,NIFTY PSE,21 Apr 2023,4595.75,4597.95,4570.45,4590.95
31,NIFTY PSE,20 Apr 2023,4593.95,4616.00,4583.60,4591.3
32,NIFTY PSE,19 Apr 2023,4584.65,4609.30,4572.00,4582.7
33,NIFTY PSE,18 Apr 2023,4604.15,4611.45,4578.55,4596.5
34,NIFTY PSE,17 Apr 2023,4567.80,4603.75,4565.60,4599.05
35,NIFTY PSE,13 Apr 2023,4585.65,4592.05,4546.05,4565.65
36,NIFTY PSE,12 Apr 2023,4595.85,4597.70,4570.30,4578.35
37,NIFTY PSE,11 Apr 2023,4566.35,4594.20,4557.15,4591.3
38,NIFTY PSE,10 Apr 2023,4493.70,4563.35,4490.30,4557.5
39,NIFTY PSE,06 Apr 2023,4490.85,4495.60,4472.85,4485.8
40,NIFTY PSE,05 Apr 2023,4510.05,4511.50,4468.95,4486.1
41,NIFTY PSE,03 Apr 2023,4497.30,4516.35,4475.80,4488.2
42,NIFTY PSE,31 Mar 2023,4457.90,4503.30,4456.15,4474.0
43,NIFTY PSE,29 Mar 2023,4380.95,4447.05,4372.10,4428.5
44,NIFTY PSE,28 Mar 2023,4404.45,4407.50,4366.80,4377.25
45,NIFTY PSE,27 Mar 2023,4417.15,4443.50,4390.20,4399.7
46,NIFTY PSE,24 Mar 2023,4480.55,4481.50,4411.85,4421.15
47,NIFTY PSE,23 Mar 2023,4476.05,4493.50,4456.45,4473.3
48,NIFTY PSE,22 Mar 2023,4530.00,4530.95,4484.10,4494.1
49,NIFTY PSE,21 Mar 2023,4543.25,4552.30,4499.35,4520.05
50,NIFTY PSE,20 Mar 2023,4556.80,4562.05,4503.20,4526.4
51,NIFTY PSE,17 Mar 2023,4599.70,4607.90,4553.00,4568.05
52,NIFTY PSE,16 Mar 2023,4532.25,4574.50,4482.75,4559.6
53,NIFTY PSE,15 Mar 2023,4545.40,4559.55,4524.75,4531.1
54,NIFTY PSE,14 Mar 2023,4531.00,4548.80,4495.90,4513.45
55,NIFTY PSE,13 Mar 2023,4590.85,4604.15,4524.30,4532.9
56,NIFTY PSE,10 Mar 2023,4549.55,4591.40,4523.25,4583.35
57,NIFTY PSE,09 Mar 2023,4614.10,4622.80,4577.25,4583.1
58,NIFTY PSE,08 Mar 2023,4547.90,4608.75,4542.25,4606.45
59,NIFTY PSE,06 Mar 2023,4507.75,4580.40,4500.55,4563.35
60,NIFTY PSE,03 Mar 2023,4479.65,4515.75,4474.90,4488.45
61,NIFTY PSE,02 Mar 2023,4445.85,4464.90,4431.70,4459.15
62,NIFTY PSE,01 Mar 2023,4390.90,4448.55,4389.75,4445.15
63,NIFTY PSE,28 Feb 2023,4399.80,4408.10,4374.45,4389.5
64,NIFTY PSE,27 Feb 2023,4387.40,4404.45,4348.55,4397.2
65,NIFTY PSE,24 Feb 2023,4369.40,4389.70,4351.30,4386.1
66,NIFTY PSE,23 Feb 2023,4365.55,4382.90,4332.35,4356.25
67,NIFTY PSE,22 Feb 2023,4399.15,4403.80,4336.00,4353.85
68,NIFTY PSE,21 Feb 2023,4417.55,4442.40,4405.00,4409.5
69,NIFTY PSE,20 Feb 2023,4434.40,4434.45,4392.75,4397.55
70,NIFTY PSE,17 Feb 2023,4408.15,4456.80,4401.25,4422.55
71,NIFTY PSE,16 Feb 2023,4380.15,4421.25,4365.45,4416.5
72,NIFTY PSE,15 Feb 2023,4334.25,4359.40,4324.70,4352.7
73,NIFTY PSE,14 Feb 2023,4361.40,4364.10,4314.45,4343.9
74,NIFTY PSE,13 Feb 2023,4346.20,4368.50,4335.80,4351.55
75,NIFTY PSE,10 Feb 2023,4342.85,4358.55,4332.30,4339.3
76,NIFTY PSE,09 Feb 2023,4340.90,4357.25,4313.20,4349.3
77,NIFTY PSE,08 Feb 2023,4329.80,4339.45,4301.60,4334.95
78,NIFTY PSE,07 Feb 2023,4326.85,4340.90,4299.80,4319.3
79,NIFTY PSE,06 Feb 2023,4269.15,4320.95,4267.80,4316.8
80,NIFTY PSE,03 Feb 2023,4295.15,4298.05,4212.05,4285.5
81,NIFTY PSE,02 Feb 2023,4293.40,4312.05,4255.55,4277.45
82,NIFTY PSE,01 Feb 2023,4452.00,4453.45,4249.85,4313.65
83,NIFTY PSE,31 Jan 2023,4347.70,4428.35,4339.70,4399.95
84,NIFTY PSE,30 Jan 2023,4359.75,4381.85,4291.80,4326.15
85,NIFTY PSE,27 Jan 2023,4461.70,4473.15,4309.55,4363.95
86,NIFTY PSE,25 Jan 2023,4489.20,4495.15,4438.50,4452.95
87,NIFTY PSE,24 Jan 2023,4536.85,4539.25,4491.35,4497.0
