,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY PSU BANK,05 Jun 2023,4109.7,4116.85,4071.15,4075.4
1,NIFTY PSU BANK,02 Jun 2023,4071.3,4103.7,4067.0,4093.2
2,NIFTY PSU BANK,01 Jun 2023,4032.45,4080.25,4029.35,4053.6
3,NIFTY PSU BANK,31 May 2023,4018.15,4044.5,3986.3,4029.7
4,NIFTY PSU BANK,30 May 2023,4037.95,4053.9,4023.95,4039.45
5,NIFTY PSU BANK,29 May 2023,4048.55,4064.7,4024.65,4040.65
6,NIFTY PSU BANK,26 May 2023,3975.8,4023.75,3973.1,4017.2
7,NIFTY PSU BANK,25 May 2023,3981.6,3984.3,3945.5,3969.25
8,NIFTY PSU BANK,24 May 2023,3992.95,4022.8,3980.7,3987.3
9,NIFTY PSU BANK,23 May 2023,4003.15,4027.45,3994.55,4007.8
10,NIFTY PSU BANK,22 May 2023,3988.65,3999.85,3964.05,3991.55
11,NIFTY PSU BANK,19 May 2023,3979.8,3994.75,3912.9,3971.55
12,NIFTY PSU BANK,18 May 2023,4064.45,4069.7,3948.55,3959.15
13,NIFTY PSU BANK,17 May 2023,4063.95,4092.6,3997.0,4035.8
14,NIFTY PSU BANK,16 May 2023,4045.25,4090.95,4039.15,4049.7
15,NIFTY PSU BANK,15 May 2023,3982.8,4026.35,3945.65,4020.8
16,NIFTY PSU BANK,12 May 2023,3970.05,3993.75,3952.35,3975.9
17,NIFTY PSU BANK,11 May 2023,3976.45,4008.15,3962.4,3967.6
18,NIFTY PSU BANK,10 May 2023,3988.05,3998.85,3899.5,3959.3
19,NIFTY PSU BANK,09 May 2023,4139.8,4153.5,3986.8,4001.8
20,NIFTY PSU BANK,08 May 2023,4143.7,4166.25,4060.8,4115.1
21,NIFTY PSU BANK,05 May 2023,4192.25,4249.65,4144.2,4153.6
22,NIFTY PSU BANK,04 May 2023,4150.95,4198.85,4143.3,4194.35
23,NIFTY PSU BANK,03 May 2023,4127.25,4155.9,4110.35,4143.2
24,NIFTY PSU BANK,02 May 2023,4197.5,4217.85,4175.6,4184.1
25,NIFTY PSU BANK,28 Apr 2023,4085.35,4178.2,4082.3,4167.65
26,NIFTY PSU BANK,27 Apr 2023,4051.55,4077.2,4040.5,4068.0
27,NIFTY PSU BANK,26 Apr 2023,4033.45,4062.25,3997.15,4057.45
28,NIFTY PSU BANK,25 Apr 2023,3997.7,4069.5,3994.95,4036.35
29,NIFTY PSU BANK,24 Apr 2023,3893.2,3989.55,3888.55,3984.2
30,NIFTY PSU BANK,21 Apr 2023,3916.15,3921.0,3851.4,3883.0
31,NIFTY PSU BANK,20 Apr 2023,3925.45,3939.15,3897.9,3916.0
32,NIFTY PSU BANK,19 Apr 2023,3948.7,3978.55,3910.35,3920.2
33,NIFTY PSU BANK,18 Apr 2023,3940.95,3969.6,3915.3,3953.55
34,NIFTY PSU BANK,17 Apr 2023,3792.65,3931.9,3789.0,3923.9
35,NIFTY PSU BANK,13 Apr 2023,3751.8,3815.45,3734.0,3804.75
36,NIFTY PSU BANK,12 Apr 2023,3783.35,3785.75,3736.45,3750.25
37,NIFTY PSU BANK,11 Apr 2023,3773.8,3814.9,3763.85,3774.35
38,NIFTY PSU BANK,10 Apr 2023,3748.3,3755.5,3702.8,3714.5
39,NIFTY PSU BANK,06 Apr 2023,3726.8,3785.5,3705.1,3738.0
40,NIFTY PSU BANK,05 Apr 2023,3763.0,3766.25,3703.2,3725.7
41,NIFTY PSU BANK,03 Apr 2023,3729.85,3762.05,3709.85,3755.5
42,NIFTY PSU BANK,31 Mar 2023,3709.55,3732.85,3703.55,3716.15
43,NIFTY PSU BANK,29 Mar 2023,3566.3,3698.35,3550.45,3682.2
44,NIFTY PSU BANK,28 Mar 2023,3581.65,3593.0,3528.75,3567.35
