,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY PVT BANK,05 Jun 2023,22460.9,22593.3,22454.35,22509.45
1,NIFTY PVT BANK,02 Jun 2023,22408.8,22440.3,22300.8,22357.2
2,NIFTY PVT BANK,01 Jun 2023,22472.05,22510.7,22266.95,22311.2
3,NIFTY PVT BANK,31 May 2023,22562.4,22574.3,22309.45,22470.7
4,NIFTY PVT BANK,30 May 2023,22442.6,22614.15,22410.7,22583.6
5,NIFTY PVT BANK,29 May 2023,22469.85,22561.8,22420.35,22452.45
6,NIFTY PVT BANK,26 May 2023,22231.35,22391.1,22131.5,22361.8
7,NIFTY PVT BANK,25 May 2023,22147.05,22208.55,22025.85,22189.35
8,NIFTY PVT BANK,24 May 2023,22206.65,22325.1,22150.9,22170.4
9,NIFTY PVT BANK,23 May 2023,22298.05,22378.9,22242.05,22306.4
10,NIFTY PVT BANK,22 May 2023,22276.45,22334.85,22161.15,22257.25
11,NIFTY PVT BANK,19 May 2023,22297.45,22344.05,22087.2,22314.9
12,NIFTY PVT BANK,18 May 2023,22304.45,22334.35,22183.35,22214.6
13,NIFTY PVT BANK,17 May 2023,22259.4,22271.05,22028.95,22143.6
14,NIFTY PVT BANK,16 May 2023,22407.0,22407.0,22205.65,22245.1
15,NIFTY PVT BANK,15 May 2023,22217.45,22418.75,22128.95,22375.65
16,NIFTY PVT BANK,12 May 2023,22061.1,22257.75,21972.3,22204.3
17,NIFTY PVT BANK,11 May 2023,22099.6,22211.65,22011.65,22068.15
18,NIFTY PVT BANK,10 May 2023,21929.25,22014.8,21732.15,21989.15
19,NIFTY PVT BANK,09 May 2023,21923.6,22047.5,21839.3,21874.95
20,NIFTY PVT BANK,08 May 2023,21566.25,21896.5,21560.75,21843.3
21,NIFTY PVT BANK,05 May 2023,21833.15,22046.35,21436.15,21478.95
22,NIFTY PVT BANK,04 May 2023,21930.5,22127.65,21906.75,22102.6
23,NIFTY PVT BANK,03 May 2023,21879.75,21985.7,21834.2,21966.95
24,NIFTY PVT BANK,02 May 2023,21976.4,22019.85,21900.25,21953.5
25,NIFTY PVT BANK,28 Apr 2023,21834.45,21922.2,21706.65,21885.75
26,NIFTY PVT BANK,27 Apr 2023,21681.4,21834.6,21657.7,21812.25
27,NIFTY PVT BANK,26 Apr 2023,21518.8,21702.05,21489.7,21681.25
28,NIFTY PVT BANK,25 Apr 2023,21618.4,21668.55,21546.65,21582.25
29,NIFTY PVT BANK,24 Apr 2023,21524.4,21637.75,21405.5,21557.35
30,NIFTY PVT BANK,21 Apr 2023,21396.35,21481.9,21245.5,21322.3
31,NIFTY PVT BANK,20 Apr 2023,21366.3,21453.3,21310.6,21402.9
32,NIFTY PVT BANK,19 Apr 2023,21404.6,21427.65,21271.2,21336.2
33,NIFTY PVT BANK,18 Apr 2023,21438.35,21522.65,21331.95,21396.05
34,NIFTY PVT BANK,17 Apr 2023,21565.4,21565.4,21155.3,21366.4
35,NIFTY PVT BANK,13 Apr 2023,21085.6,21323.45,20928.7,21289.3
36,NIFTY PVT BANK,12 Apr 2023,20979.4,21088.35,20938.3,21065.0
37,NIFTY PVT BANK,11 Apr 2023,20909.15,20987.15,20778.75,20962.35
38,NIFTY PVT BANK,10 Apr 2023,20873.35,20885.15,20662.5,20723.9
39,NIFTY PVT BANK,06 Apr 2023,20796.15,20951.25,20719.95,20829.75
40,NIFTY PVT BANK,05 Apr 2023,20865.45,20878.15,20745.75,20829.8
41,NIFTY PVT BANK,03 Apr 2023,20675.65,20795.45,20592.45,20774.2
42,NIFTY PVT BANK,31 Mar 2023,20395.65,20658.9,20367.05,20618.1
43,NIFTY PVT BANK,29 Mar 2023,20077.7,20313.35,20075.9,20229.25
44,NIFTY PVT BANK,28 Mar 2023,20056.5,20101.9,19927.2,20065.05
45,NIFTY PVT BANK,27 Mar 2023,20078.2,20136.2,19919.8,19996.8
46,NIFTY PVT BANK,24 Mar 2023,20110.5,20219.85,19979.7,20031.05
47,NIFTY PVT BANK,23 Mar 2023,20238.6,20449.0,20113.3,20147.8
48,NIFTY PVT BANK,22 Mar 2023,20322.95,20347.55,20225.2,20320.8
