,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY SERV SECTOR,05 Jun 2023,24219.8,24273.0,24160.4,24170.5
1,NIFTY SERV SECTOR,02 Jun 2023,24192.05,24207.75,24064.05,24117.35
2,NIFTY SERV SECTOR,01 Jun 2023,24255.9,24259.75,24080.85,24115.55
3,NIFTY SERV SECTOR,31 May 2023,24271.7,24285.25,24103.0,24192.1
4,NIFTY SERV SECTOR,30 May 2023,24268.25,24345.8,24221.35,24321.5
5,NIFTY SERV SECTOR,29 May 2023,24338.8,24382.4,24242.15,24271.55
6,NIFTY SERV SECTOR,26 May 2023,24028.65,24172.7,23965.3,24151.95
7,NIFTY SERV SECTOR,25 May 2023,23934.15,24002.5,23834.05,23983.1
8,NIFTY SERV SECTOR,24 May 2023,23991.5,24128.25,23938.45,23960.7
9,NIFTY SERV SECTOR,23 May 2023,24123.75,24176.45,24026.4,24066.3
10,NIFTY SERV SECTOR,22 May 2023,23928.55,24070.35,23889.9,24033.75
11,NIFTY SERV SECTOR,19 May 2023,23856.95,23934.85,23731.3,23913.65
12,NIFTY SERV SECTOR,18 May 2023,23914.7,23928.0,23737.6,23768.7
13,NIFTY SERV SECTOR,17 May 2023,23970.1,23987.95,23661.85,23758.95
14,NIFTY SERV SECTOR,16 May 2023,24115.0,24115.0,23910.75,23956.7
15,NIFTY SERV SECTOR,15 May 2023,24046.45,24178.2,23979.55,24095.6
16,NIFTY SERV SECTOR,12 May 2023,23938.3,24080.05,23848.9,24023.85
17,NIFTY SERV SECTOR,11 May 2023,24030.7,24102.05,23949.1,23982.2
18,NIFTY SERV SECTOR,10 May 2023,23916.15,23943.75,23734.95,23926.3
19,NIFTY SERV SECTOR,09 May 2023,23913.25,23986.15,23831.6,23864.1
20,NIFTY SERV SECTOR,08 May 2023,23634.6,23902.9,23610.05,23864.7
21,NIFTY SERV SECTOR,05 May 2023,23711.3,23848.8,23553.5,23574.95
22,NIFTY SERV SECTOR,04 May 2023,23703.7,24025.65,23684.55,24009.35
23,NIFTY SERV SECTOR,03 May 2023,23754.0,23769.55,23674.15,23734.7
24,NIFTY SERV SECTOR,02 May 2023,23815.95,23888.8,23771.15,23828.95
25,NIFTY SERV SECTOR,28 Apr 2023,23644.55,23767.2,23524.45,23733.75
26,NIFTY SERV SECTOR,27 Apr 2023,23456.2,23623.75,23451.1,23603.45
27,NIFTY SERV SECTOR,26 Apr 2023,23414.4,23499.2,23335.6,23478.5
28,NIFTY SERV SECTOR,25 Apr 2023,23434.75,23512.4,23364.05,23419.75
29,NIFTY SERV SECTOR,24 Apr 2023,23344.6,23419.45,23236.6,23406.8
30,NIFTY SERV SECTOR,21 Apr 2023,23230.05,23288.9,23093.85,23206.8
31,NIFTY SERV SECTOR,20 Apr 2023,23200.25,23275.9,23154.75,23213.5
32,NIFTY SERV SECTOR,19 Apr 2023,23295.95,23299.4,23126.5,23175.65
33,NIFTY SERV SECTOR,18 Apr 2023,23435.0,23435.0,23222.75,23287.0
34,NIFTY SERV SECTOR,17 Apr 2023,23592.95,23592.95,23102.65,23335.0
35,NIFTY SERV SECTOR,13 Apr 2023,23603.2,23680.8,23476.8,23657.75
36,NIFTY SERV SECTOR,12 Apr 2023,23561.1,23668.85,23474.65,23643.65
37,NIFTY SERV SECTOR,11 Apr 2023,23507.8,23558.6,23407.55,23490.85
38,NIFTY SERV SECTOR,10 Apr 2023,23400.0,23477.95,23324.0,23374.45
39,NIFTY SERV SECTOR,06 Apr 2023,23281.75,23427.2,23212.65,23356.65
40,NIFTY SERV SECTOR,05 Apr 2023,23126.4,23341.9,23108.65,23318.25
41,NIFTY SERV SECTOR,03 Apr 2023,23114.8,23122.5,22975.7,23103.0
42,NIFTY SERV SECTOR,31 Mar 2023,22885.45,23069.9,22849.75,23037.0
43,NIFTY SERV SECTOR,29 Mar 2023,22549.05,22747.1,22526.9,22672.4
44,NIFTY SERV SECTOR,28 Mar 2023,22604.2,22637.7,22462.1,22519.95
45,NIFTY SERV SECTOR,27 Mar 2023,22642.85,22711.2,22503.6,22561.4
46,NIFTY SERV SECTOR,24 Mar 2023,22694.3,22782.05,22539.5,22581.5
47,NIFTY SERV SECTOR,23 Mar 2023,22709.7,22889.6,22638.5,22675.05
48,NIFTY SERV SECTOR,22 Mar 2023,22827.6,22877.2,22708.15,22784.6
49,NIFTY SERV SECTOR,21 Mar 2023,22658.0,22751.25,22552.7,22716.65
50,NIFTY SERV SECTOR,20 Mar 2023,22699.95,22699.95,22356.2,22557.15
51,NIFTY SERV SECTOR,17 Mar 2023,22671.2,22796.55,22512.75,22742.25
52,NIFTY SERV SECTOR,16 Mar 2023,22516.75,22613.3,22333.2,22501.9
53,NIFTY SERV SECTOR,15 Mar 2023,22802.35,22848.75,22456.05,22500.8
54,NIFTY SERV SECTOR,14 Mar 2023,22792.55,22879.25,22535.2,22631.05
55,NIFTY SERV SECTOR,13 Mar 2023,23160.85,23335.6,22750.5,22804.05
56,NIFTY SERV SECTOR,10 Mar 2023,23195.75,23204.35,23034.55,23146.45
57,NIFTY SERV SECTOR,09 Mar 2023,23615.1,23626.6,23395.7,23415.15
58,NIFTY SERV SECTOR,08 Mar 2023,23457.45,23590.65,23402.15,23572.15
59,NIFTY SERV SECTOR,06 Mar 2023,23475.85,23659.35,23465.05,23539.4
60,NIFTY SERV SECTOR,03 Mar 2023,23173.6,23415.95,23131.7,23347.1
61,NIFTY SERV SECTOR,02 Mar 2023,23112.1,23164.4,22953.65,22979.35
62,NIFTY SERV SECTOR,01 Mar 2023,23067.05,23194.35,23037.0,23171.15
63,NIFTY SERV SECTOR,28 Feb 2023,23041.1,23139.5,22907.15,22972.9
64,NIFTY SERV SECTOR,27 Feb 2023,22995.1,23097.1,22885.65,23061.4
65,NIFTY SERV SECTOR,24 Feb 2023,23252.85,23276.2,23027.3,23077.95
66,NIFTY SERV SECTOR,23 Feb 2023,23204.8,23258.25,23019.95,23132.35
67,NIFTY SERV SECTOR,22 Feb 2023,23439.95,23473.1,23155.3,23195.9
68,NIFTY SERV SECTOR,21 Feb 2023,23692.8,23732.15,23548.65,23586.3
69,NIFTY SERV SECTOR,20 Feb 2023,23806.2,23897.95,23595.75,23638.35
70,NIFTY SERV SECTOR,17 Feb 2023,23921.8,23944.7,23684.95,23782.45
71,NIFTY SERV SECTOR,16 Feb 2023,24087.1,24166.3,23954.05,24010.3
72,NIFTY SERV SECTOR,15 Feb 2023,23876.3,24036.1,23776.55,24005.95
73,NIFTY SERV SECTOR,14 Feb 2023,23825.65,23957.2,23776.4,23930.3
74,NIFTY SERV SECTOR,13 Feb 2023,23923.2,23932.45,23680.7,23747.85
75,NIFTY SERV SECTOR,10 Feb 2023,23925.35,24016.05,23878.25,23968.45
76,NIFTY SERV SECTOR,09 Feb 2023,23973.8,24036.4,23839.6,24011.6
77,NIFTY SERV SECTOR,08 Feb 2023,23813.8,24016.35,23811.5,23962.5
78,NIFTY SERV SECTOR,07 Feb 2023,23845.45,23912.0,23684.2,23796.75
79,NIFTY SERV SECTOR,06 Feb 2023,23889.7,23900.75,23716.9,23811.25
80,NIFTY SERV SECTOR,03 Feb 2023,23696.95,23974.85,23581.25,23955.55
81,NIFTY SERV SECTOR,02 Feb 2023,23373.5,23634.2,23306.35,23584.1
82,NIFTY SERV SECTOR,01 Feb 2023,23889.05,24162.7,23208.8,23626.45
83,NIFTY SERV SECTOR,31 Jan 2023,23785.55,23802.75,23491.3,23671.25
84,NIFTY SERV SECTOR,30 Jan 2023,23571.4,23893.95,23373.1,23736.45
85,NIFTY SERV SECTOR,27 Jan 2023,24386.9,24401.95,23683.5,23821.0
86,NIFTY SERV SECTOR,25 Jan 2023,24956.65,24971.7,24508.0,24533.05
87,NIFTY SERV SECTOR,24 Jan 2023,25085.9,25134.85,24944.0,25006.95
88,NIFTY SERV SECTOR,23 Jan 2023,24960.15,25015.2,24894.65,24982.65
89,NIFTY SERV SECTOR,20 Jan 2023,24847.2,24931.35,24783.15,24803.9
