,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY TATA GROUP 25% CAP,05 Jun 2023,-,-,-,10944.03
1,NIFTY TATA GROUP 25% CAP,02 Jun 2023,-,-,-,10912.51
2,NIFTY TATA GROUP 25% CAP,01 Jun 2023,-,-,-,10854.92
3,NIFTY TATA GROUP 25% CAP,31 May 2023,-,-,-,10774.02
4,NIFTY TATA GROUP 25% CAP,30 May 2023,-,-,-,10768.17
5,NIFTY TATA GROUP 25% CAP,29 May 2023,-,-,-,10798.91
6,NIFTY TATA GROUP 25% CAP,26 May 2023,-,-,-,10699.6
7,NIFTY TATA GROUP 25% CAP,25 May 2023,-,-,-,10579.93
8,NIFTY TATA GROUP 25% CAP,24 May 2023,-,-,-,10558.31
9,NIFTY TATA GROUP 25% CAP,23 May 2023,-,-,-,10561.07
10,NIFTY TATA GROUP 25% CAP,22 May 2023,-,-,-,10544.72
11,NIFTY TATA GROUP 25% CAP,19 May 2023,-,-,-,10481.38
12,NIFTY TATA GROUP 25% CAP,18 May 2023,-,-,-,10432.98
13,NIFTY TATA GROUP 25% CAP,17 May 2023,-,-,-,10525.18
14,NIFTY TATA GROUP 25% CAP,16 May 2023,-,-,-,10629.62
15,NIFTY TATA GROUP 25% CAP,15 May 2023,-,-,-,10631.34
16,NIFTY TATA GROUP 25% CAP,12 May 2023,-,-,-,10582.86
17,NIFTY TATA GROUP 25% CAP,11 May 2023,-,-,-,10603.35
18,NIFTY TATA GROUP 25% CAP,10 May 2023,-,-,-,10588.1
19,NIFTY TATA GROUP 25% CAP,09 May 2023,-,-,-,10562.22
20,NIFTY TATA GROUP 25% CAP,08 May 2023,-,-,-,10505.11
21,NIFTY TATA GROUP 25% CAP,05 May 2023,-,-,-,10348.24
22,NIFTY TATA GROUP 25% CAP,04 May 2023,-,-,-,10346.96
23,NIFTY TATA GROUP 25% CAP,03 May 2023,-,-,-,10291.83
24,NIFTY TATA GROUP 25% CAP,02 May 2023,-,-,-,10309.69
25,NIFTY TATA GROUP 25% CAP,28 Apr 2023,-,-,-,10230.68
26,NIFTY TATA GROUP 25% CAP,27 Apr 2023,-,-,-,10198.04
27,NIFTY TATA GROUP 25% CAP,26 Apr 2023,-,-,-,10159.89
28,NIFTY TATA GROUP 25% CAP,25 Apr 2023,-,-,-,10106.98
29,NIFTY TATA GROUP 25% CAP,24 Apr 2023,-,-,-,10096.4
30,NIFTY TATA GROUP 25% CAP,21 Apr 2023,-,-,-,9994.58
31,NIFTY TATA GROUP 25% CAP,20 Apr 2023,-,-,-,10009.81
32,NIFTY TATA GROUP 25% CAP,19 Apr 2023,-,-,-,9937.95
33,NIFTY TATA GROUP 25% CAP,18 Apr 2023,-,-,-,9992.78
34,NIFTY TATA GROUP 25% CAP,17 Apr 2023,-,-,-,10015.22
35,NIFTY TATA GROUP 25% CAP,13 Apr 2023,-,-,-,10028.65
36,NIFTY TATA GROUP 25% CAP,12 Apr 2023,-,-,-,10068.39
