,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY TATA GROUP,05 Jun 2023,-,-,-,13339.57
1,NIFTY TATA GROUP,02 Jun 2023,-,-,-,13336.52
2,NIFTY TATA GROUP,01 Jun 2023,-,-,-,13322.8
3,NIFTY TATA GROUP,31 May 2023,-,-,-,13199.63
4,NIFTY TATA GROUP,30 May 2023,-,-,-,13236.54
5,NIFTY TATA GROUP,29 May 2023,-,-,-,13262.94
6,NIFTY TATA GROUP,26 May 2023,-,-,-,13207.83
7,NIFTY TATA GROUP,25 May 2023,-,-,-,13066.26
8,NIFTY TATA GROUP,24 May 2023,-,-,-,13075.86
9,NIFTY TATA GROUP,23 May 2023,-,-,-,13062.14
10,NIFTY TATA GROUP,22 May 2023,-,-,-,13052.54
11,NIFTY TATA GROUP,19 May 2023,-,-,-,12885.19
12,NIFTY TATA GROUP,18 May 2023,-,-,-,12808.65
13,NIFTY TATA GROUP,17 May 2023,-,-,-,12887.94
14,NIFTY TATA GROUP,16 May 2023,-,-,-,13044.28
15,NIFTY TATA GROUP,15 May 2023,-,-,-,13043.81
16,NIFTY TATA GROUP,12 May 2023,-,-,-,13040.53
17,NIFTY TATA GROUP,11 May 2023,-,-,-,13069.95
18,NIFTY TATA GROUP,10 May 2023,-,-,-,13062.6
19,NIFTY TATA GROUP,09 May 2023,-,-,-,13041.28
20,NIFTY TATA GROUP,08 May 2023,-,-,-,12940.45
21,NIFTY TATA GROUP,05 May 2023,-,-,-,12803.13
22,NIFTY TATA GROUP,04 May 2023,-,-,-,12783.53
23,NIFTY TATA GROUP,03 May 2023,-,-,-,12673.84
24,NIFTY TATA GROUP,02 May 2023,-,-,-,12753.13
25,NIFTY TATA GROUP,28 Apr 2023,-,-,-,12706.13
26,NIFTY TATA GROUP,27 Apr 2023,-,-,-,12625.52
27,NIFTY TATA GROUP,26 Apr 2023,-,-,-,12612.45
28,NIFTY TATA GROUP,25 Apr 2023,-,-,-,12541.5
29,NIFTY TATA GROUP,24 Apr 2023,-,-,-,12538.87
30,NIFTY TATA GROUP,21 Apr 2023,-,-,-,12443.38
31,NIFTY TATA GROUP,20 Apr 2023,-,-,-,12351.27
32,NIFTY TATA GROUP,19 Apr 2023,-,-,-,12271.01
33,NIFTY TATA GROUP,18 Apr 2023,-,-,-,12384.08
34,NIFTY TATA GROUP,17 Apr 2023,-,-,-,12429.64
35,NIFTY TATA GROUP,13 Apr 2023,-,-,-,12526.34
36,NIFTY TATA GROUP,12 Apr 2023,-,-,-,12638.41
37,NIFTY TATA GROUP,11 Apr 2023,-,-,-,12553.8
38,NIFTY TATA GROUP,10 Apr 2023,-,-,-,12638.02
39,NIFTY TATA GROUP,06 Apr 2023,-,-,-,12472.54
40,NIFTY TATA GROUP,05 Apr 2023,-,-,-,12494.85
41,NIFTY TATA GROUP,03 Apr 2023,-,-,-,12352.42
42,NIFTY TATA GROUP,31 Mar 2023,-,-,-,12334.14
43,NIFTY TATA GROUP,29 Mar 2023,-,-,-,12117.14
44,NIFTY TATA GROUP,28 Mar 2023,-,-,-,12009.63
45,NIFTY TATA GROUP,27 Mar 2023,-,-,-,12060.24
46,NIFTY TATA GROUP,24 Mar 2023,-,-,-,12084.85
47,NIFTY TATA GROUP,23 Mar 2023,-,-,-,12170.4
48,NIFTY TATA GROUP,22 Mar 2023,-,-,-,12173.34
49,NIFTY TATA GROUP,21 Mar 2023,-,-,-,12111.02
50,NIFTY TATA GROUP,20 Mar 2023,-,-,-,12156.69
51,NIFTY TATA GROUP,17 Mar 2023,-,-,-,12300.08
52,NIFTY TATA GROUP,16 Mar 2023,-,-,-,12267.91
53,NIFTY TATA GROUP,15 Mar 2023,-,-,-,12279.29
54,NIFTY TATA GROUP,14 Mar 2023,-,-,-,12288.83
55,NIFTY TATA GROUP,13 Mar 2023,-,-,-,12439.89
56,NIFTY TATA GROUP,10 Mar 2023,-,-,-,12652.63
57,NIFTY TATA GROUP,09 Mar 2023,-,-,-,12671.48
58,NIFTY TATA GROUP,08 Mar 2023,-,-,-,12833.02
59,NIFTY TATA GROUP,06 Mar 2023,-,-,-,12770.04
60,NIFTY TATA GROUP,03 Mar 2023,-,-,-,12666.07
61,NIFTY TATA GROUP,02 Mar 2023,-,-,-,12547.42
62,NIFTY TATA GROUP,01 Mar 2023,-,-,-,12719.82
63,NIFTY TATA GROUP,28 Feb 2023,-,-,-,12511.6
64,NIFTY TATA GROUP,27 Feb 2023,-,-,-,12575.27
65,NIFTY TATA GROUP,24 Feb 2023,-,-,-,12796.73
66,NIFTY TATA GROUP,23 Feb 2023,-,-,-,12858.14
67,NIFTY TATA GROUP,22 Feb 2023,-,-,-,12837.95
68,NIFTY TATA GROUP,21 Feb 2023,-,-,-,13029.17
69,NIFTY TATA GROUP,20 Feb 2023,-,-,-,13121.4
70,NIFTY TATA GROUP,17 Feb 2023,-,-,-,13173.46
71,NIFTY TATA GROUP,16 Feb 2023,-,-,-,13326.81
72,NIFTY TATA GROUP,15 Feb 2023,-,-,-,13219.02
73,NIFTY TATA GROUP,14 Feb 2023,-,-,-,13131.49
74,NIFTY TATA GROUP,13 Feb 2023,-,-,-,13094.55
75,NIFTY TATA GROUP,10 Feb 2023,-,-,-,13220.36
76,NIFTY TATA GROUP,09 Feb 2023,-,-,-,13219.31
77,NIFTY TATA GROUP,08 Feb 2023,-,-,-,13172.35
78,NIFTY TATA GROUP,07 Feb 2023,-,-,-,13040.79
79,NIFTY TATA GROUP,06 Feb 2023,-,-,-,13092.58
80,NIFTY TATA GROUP,03 Feb 2023,-,-,-,13150.84
81,NIFTY TATA GROUP,02 Feb 2023,-,-,-,13019.81
82,NIFTY TATA GROUP,01 Feb 2023,-,-,-,12947.0
83,NIFTY TATA GROUP,31 Jan 2023,-,-,-,12842.24
84,NIFTY TATA GROUP,30 Jan 2023,-,-,-,12917.84
85,NIFTY TATA GROUP,27 Jan 2023,-,-,-,12877.93
86,NIFTY TATA GROUP,25 Jan 2023,-,-,-,12905.15
87,NIFTY TATA GROUP,24 Jan 2023,-,-,-,12966.16
88,NIFTY TATA GROUP,23 Jan 2023,-,-,-,12905.3
89,NIFTY TATA GROUP,20 Jan 2023,-,-,-,12776.13
90,NIFTY TATA GROUP,19 Jan 2023,-,-,-,12814.2
91,NIFTY TATA GROUP,18 Jan 2023,-,-,-,12908.34
92,NIFTY TATA GROUP,17 Jan 2023,-,-,-,12862.27
93,NIFTY TATA GROUP,16 Jan 2023,-,-,-,12751.31
94,NIFTY TATA GROUP,13 Jan 2023,-,-,-,12693.77
95,NIFTY TATA GROUP,12 Jan 2023,-,-,-,12606.28
96,NIFTY TATA GROUP,11 Jan 2023,-,-,-,12620.7
97,NIFTY TATA GROUP,10 Jan 2023,-,-,-,12529.43
98,NIFTY TATA GROUP,09 Jan 2023,-,-,-,12549.08
99,NIFTY TATA GROUP,06 Jan 2023,-,-,-,12301.83
100,NIFTY TATA GROUP,05 Jan 2023,-,-,-,12567.52
101,NIFTY TATA GROUP,04 Jan 2023,-,-,-,12594.04
102,NIFTY TATA GROUP,03 Jan 2023,-,-,-,12662.42
103,NIFTY TATA GROUP,02 Jan 2023,-,-,-,12523.33
104,NIFTY TATA GROUP,30 Dec 2022,-,-,-,12453.8
105,NIFTY TATA GROUP,29 Dec 2022,-,-,-,12436.32
106,NIFTY TATA GROUP,28 Dec 2022,-,-,-,12432.48
107,NIFTY TATA GROUP,27 Dec 2022,-,-,-,12407.29
108,NIFTY TATA GROUP,26 Dec 2022,-,-,-,12281.12
109,NIFTY TATA GROUP,23 Dec 2022,-,-,-,12123.89
110,NIFTY TATA GROUP,22 Dec 2022,-,-,-,12357.86
111,NIFTY TATA GROUP,21 Dec 2022,-,-,-,12455.25
112,NIFTY TATA GROUP,20 Dec 2022,-,-,-,12495.88
113,NIFTY TATA GROUP,19 Dec 2022,-,-,-,12444.07
114,NIFTY TATA GROUP,16 Dec 2022,-,-,-,12506.55
115,NIFTY TATA GROUP,15 Dec 2022,-,-,-,12698.92
116,NIFTY TATA GROUP,14 Dec 2022,-,-,-,12910.13
117,NIFTY TATA GROUP,13 Dec 2022,-,-,-,12797.33
118,NIFTY TATA GROUP,12 Dec 2022,-,-,-,12687.6
119,NIFTY TATA GROUP,09 Dec 2022,-,-,-,12703.82
120,NIFTY TATA GROUP,08 Dec 2022,-,-,-,12854.38
121,NIFTY TATA GROUP,07 Dec 2022,-,-,-,12922.22
122,NIFTY TATA GROUP,06 Dec 2022,-,-,-,12988.17
123,NIFTY TATA GROUP,05 Dec 2022,-,-,-,13103.02
124,NIFTY TATA GROUP,02 Dec 2022,-,-,-,13115.57
125,NIFTY TATA GROUP,01 Dec 2022,-,-,-,13205.67
126,NIFTY TATA GROUP,30 Nov 2022,-,-,-,13004.06
127,NIFTY TATA GROUP,29 Nov 2022,-,-,-,12937.27
128,NIFTY TATA GROUP,28 Nov 2022,-,-,-,12932.67
129,NIFTY TATA GROUP,25 Nov 2022,-,-,-,12912.84
130,NIFTY TATA GROUP,24 Nov 2022,-,-,-,12849.47
131,NIFTY TATA GROUP,23 Nov 2022,-,-,-,12678.99
132,NIFTY TATA GROUP,22 Nov 2022,-,-,-,12697.53
133,NIFTY TATA GROUP,21 Nov 2022,-,-,-,12591.1
134,NIFTY TATA GROUP,18 Nov 2022,-,-,-,12734.49
135,NIFTY TATA GROUP,17 Nov 2022,-,-,-,12773.86
136,NIFTY TATA GROUP,16 Nov 2022,-,-,-,12835.15
137,NIFTY TATA GROUP,15 Nov 2022,-,-,-,12846.49
138,NIFTY TATA GROUP,14 Nov 2022,-,-,-,12831.81
139,NIFTY TATA GROUP,11 Nov 2022,-,-,-,12778.83
140,NIFTY TATA GROUP,10 Nov 2022,-,-,-,12515.07
141,NIFTY TATA GROUP,09 Nov 2022,-,-,-,12659.97
142,NIFTY TATA GROUP,07 Nov 2022,-,-,-,12719.6
143,NIFTY TATA GROUP,04 Nov 2022,-,-,-,12646.87
144,NIFTY TATA GROUP,03 Nov 2022,-,-,-,12590.93
145,NIFTY TATA GROUP,02 Nov 2022,-,-,-,12676.21
146,NIFTY TATA GROUP,01 Nov 2022,-,-,-,12739.4
147,NIFTY TATA GROUP,31 Oct 2022,-,-,-,12546.31
148,NIFTY TATA GROUP,28 Oct 2022,-,-,-,12423.83
149,NIFTY TATA GROUP,27 Oct 2022,-,-,-,12431.63
