,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY100 EQL WGT,05 Jun 2023,21442.30,21470.05,21408.50,21423.15
1,NIFTY100 EQL WGT,02 Jun 2023,21351.65,21390.85,21298.30,21371.7
2,NIFTY100 EQL WGT,01 Jun 2023,21275.60,21342.25,21247.55,21267.5
3,NIFTY100 EQL WGT,31 May 2023,21204.80,21273.35,21152.40,21241.1
4,NIFTY100 EQL WGT,30 May 2023,21256.05,21274.35,21188.35,21223.15
5,NIFTY100 EQL WGT,29 May 2023,21258.00,21279.10,21202.85,21235.15
6,NIFTY100 EQL WGT,26 May 2023,20974.95,21144.65,20948.40,21134.3
7,NIFTY100 EQL WGT,25 May 2023,20861.00,20970.60,20821.55,20947.65
8,NIFTY100 EQL WGT,24 May 2023,20887.35,20939.40,20825.15,20861.5
9,NIFTY100 EQL WGT,23 May 2023,20847.95,20942.45,20838.45,20879.55
10,NIFTY100 EQL WGT,22 May 2023,20566.40,20770.70,20530.25,20759.55
11,NIFTY100 EQL WGT,19 May 2023,20482.05,20548.15,20300.60,20526.35
12,NIFTY100 EQL WGT,18 May 2023,20714.35,20721.65,20428.95,20451.4
13,NIFTY100 EQL WGT,17 May 2023,20748.00,20748.05,20542.60,20620.45
14,NIFTY100 EQL WGT,16 May 2023,20811.25,20853.40,20702.10,20720.6
15,NIFTY100 EQL WGT,15 May 2023,20712.65,20825.45,20684.35,20763.45
16,NIFTY100 EQL WGT,12 May 2023,20743.75,20747.35,20624.40,20689.85
17,NIFTY100 EQL WGT,11 May 2023,20726.50,20758.10,20683.50,20741.9
18,NIFTY100 EQL WGT,10 May 2023,20626.05,20683.85,20545.05,20671.25
19,NIFTY100 EQL WGT,09 May 2023,20645.75,20710.05,20537.70,20579.5
20,NIFTY100 EQL WGT,08 May 2023,20486.55,20623.75,20472.60,20609.15
21,NIFTY100 EQL WGT,05 May 2023,20495.30,20583.70,20439.35,20454.0
22,NIFTY100 EQL WGT,04 May 2023,20368.65,20511.95,20345.50,20503.35
23,NIFTY100 EQL WGT,03 May 2023,20373.50,20424.95,20302.10,20349.15
24,NIFTY100 EQL WGT,02 May 2023,20346.30,20430.65,20326.85,20401.05
25,NIFTY100 EQL WGT,28 Apr 2023,20079.55,20301.80,20035.45,20280.75
26,NIFTY100 EQL WGT,27 Apr 2023,19949.45,20038.40,19928.45,20022.75
27,NIFTY100 EQL WGT,26 Apr 2023,19873.95,19946.50,19838.65,19937.85
28,NIFTY100 EQL WGT,25 Apr 2023,19813.70,19912.75,19794.50,19873.5
