,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY100 LIQ 15,05 Jun 2023,4872.8,4891.4,4867.85,4883.35
1,NIFTY100 LIQ 15,02 Jun 2023,4853.1,4860.15,4834.7,4851.55
2,NIFTY100 LIQ 15,01 Jun 2023,4839.7,4850.0,4821.4,4831.9
3,NIFTY100 LIQ 15,31 May 2023,4839.9,4858.55,4817.6,4835.3
4,NIFTY100 LIQ 15,30 May 2023,4857.9,4866.1,4843.85,4853.75
5,NIFTY100 LIQ 15,29 May 2023,4853.7,4861.05,4839.5,4850.7
6,NIFTY100 LIQ 15,26 May 2023,4780.9,4825.0,4777.65,4821.5
7,NIFTY100 LIQ 15,25 May 2023,4740.55,4775.45,4727.4,4770.65
8,NIFTY100 LIQ 15,24 May 2023,4755.05,4775.65,4737.2,4751.85
9,NIFTY100 LIQ 15,23 May 2023,4756.7,4789.5,4753.65,4762.6
10,NIFTY100 LIQ 15,22 May 2023,4697.1,4743.95,4692.0,4738.8
11,NIFTY100 LIQ 15,19 May 2023,4675.5,4699.8,4637.15,4695.55
12,NIFTY100 LIQ 15,18 May 2023,4705.75,4707.75,4653.35,4660.75
13,NIFTY100 LIQ 15,17 May 2023,4698.8,4703.9,4657.1,4677.4
14,NIFTY100 LIQ 15,16 May 2023,4726.1,4729.65,4689.25,4695.2
15,NIFTY100 LIQ 15,15 May 2023,4702.0,4729.6,4690.25,4714.15
16,NIFTY100 LIQ 15,12 May 2023,4672.1,4702.0,4652.15,4696.55
17,NIFTY100 LIQ 15,11 May 2023,4669.55,4687.45,4656.9,4672.7
18,NIFTY100 LIQ 15,10 May 2023,4657.25,4659.9,4618.7,4656.75
19,NIFTY100 LIQ 15,09 May 2023,4646.3,4663.75,4627.1,4637.3
20,NIFTY100 LIQ 15,08 May 2023,4573.05,4644.45,4570.75,4636.85
21,NIFTY100 LIQ 15,05 May 2023,4574.55,4609.15,4551.6,4557.95
22,NIFTY100 LIQ 15,04 May 2023,4522.65,4576.2,4519.25,4573.75
23,NIFTY100 LIQ 15,03 May 2023,4548.8,4549.9,4510.75,4520.65
24,NIFTY100 LIQ 15,02 May 2023,4563.55,4571.75,4551.75,4560.85
25,NIFTY100 LIQ 15,28 Apr 2023,4520.8,4550.8,4497.15,4543.65
26,NIFTY100 LIQ 15,27 Apr 2023,4489.05,4513.1,4482.1,4509.05
27,NIFTY100 LIQ 15,26 Apr 2023,4476.55,4484.55,4454.0,4481.4
28,NIFTY100 LIQ 15,25 Apr 2023,4450.55,4482.75,4443.3,4469.6
29,NIFTY100 LIQ 15,24 Apr 2023,4424.25,4439.6,4407.9,4436.2
30,NIFTY100 LIQ 15,21 Apr 2023,4438.0,4446.55,4385.2,4407.4
31,NIFTY100 LIQ 15,20 Apr 2023,4430.05,4440.8,4416.95,4432.4
32,NIFTY100 LIQ 15,19 Apr 2023,4430.1,4439.1,4413.55,4423.4
33,NIFTY100 LIQ 15,18 Apr 2023,4448.5,4453.35,4400.45,4429.05
34,NIFTY100 LIQ 15,17 Apr 2023,4472.45,4472.45,4399.9,4433.9
35,NIFTY100 LIQ 15,13 Apr 2023,4412.6,4435.3,4393.9,4430.95
36,NIFTY100 LIQ 15,12 Apr 2023,4410.8,4416.05,4391.3,4411.25
37,NIFTY100 LIQ 15,11 Apr 2023,4403.35,4411.15,4390.35,4404.4
38,NIFTY100 LIQ 15,10 Apr 2023,4391.7,4399.55,4376.55,4383.2
39,NIFTY100 LIQ 15,06 Apr 2023,4352.2,4391.0,4333.35,4373.75
40,NIFTY100 LIQ 15,05 Apr 2023,4372.3,4372.3,4338.1,4351.6
41,NIFTY100 LIQ 15,03 Apr 2023,4341.4,4352.65,4321.35,4349.2
42,NIFTY100 LIQ 15,31 Mar 2023,4295.7,4323.35,4290.25,4316.0
43,NIFTY100 LIQ 15,29 Mar 2023,4212.4,4262.9,4203.1,4251.5
44,NIFTY100 LIQ 15,28 Mar 2023,4250.35,4250.35,4196.0,4206.8
45,NIFTY100 LIQ 15,27 Mar 2023,4238.7,4264.7,4221.2,4236.0
46,NIFTY100 LIQ 15,24 Mar 2023,4294.65,4305.15,4220.1,4229.4
47,NIFTY100 LIQ 15,23 Mar 2023,4297.9,4324.15,4285.3,4294.55
48,NIFTY100 LIQ 15,22 Mar 2023,4316.6,4333.15,4300.8,4310.0
49,NIFTY100 LIQ 15,21 Mar 2023,4274.75,4306.25,4267.95,4301.0
50,NIFTY100 LIQ 15,20 Mar 2023,4299.65,4300.55,4219.75,4249.75
51,NIFTY100 LIQ 15,17 Mar 2023,4314.15,4321.45,4273.35,4309.15
52,NIFTY100 LIQ 15,16 Mar 2023,4281.1,4308.8,4241.15,4278.35
53,NIFTY100 LIQ 15,15 Mar 2023,4338.9,4353.2,4276.6,4285.8
54,NIFTY100 LIQ 15,14 Mar 2023,4332.7,4354.35,4290.9,4313.15
55,NIFTY100 LIQ 15,13 Mar 2023,4415.35,4441.5,4327.9,4337.45
