,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY100 LOWVOL30,05 Jun 2023,14074.05,14090.00,14009.55,14016.85
1,NIFTY100 LOWVOL30,02 Jun 2023,14046.20,14065.35,13995.75,14025.85
2,NIFTY100 LOWVOL30,01 Jun 2023,13993.60,14039.75,13965.30,13998.05
3,NIFTY100 LOWVOL30,31 May 2023,13956.55,13988.60,13914.90,13965.35
4,NIFTY100 LOWVOL30,30 May 2023,13934.50,13965.10,13906.25,13947.85
5,NIFTY100 LOWVOL30,29 May 2023,13958.80,13975.05,13907.25,13925.15
6,NIFTY100 LOWVOL30,26 May 2023,13759.05,13896.15,13751.40,13888.1
7,NIFTY100 LOWVOL30,25 May 2023,13712.15,13755.20,13676.35,13736.6
8,NIFTY100 LOWVOL30,24 May 2023,13639.45,13728.70,13632.00,13698.7
9,NIFTY100 LOWVOL30,23 May 2023,13672.70,13714.45,13645.50,13655.6
10,NIFTY100 LOWVOL30,22 May 2023,13567.30,13669.35,13538.65,13658.95
11,NIFTY100 LOWVOL30,19 May 2023,13602.50,13607.15,13511.40,13565.25
12,NIFTY100 LOWVOL30,18 May 2023,13693.10,13703.85,13552.85,13567.95
13,NIFTY100 LOWVOL30,17 May 2023,13701.50,13707.45,13584.65,13629.05
14,NIFTY100 LOWVOL30,16 May 2023,13783.90,13803.40,13679.35,13691.35
15,NIFTY100 LOWVOL30,15 May 2023,13685.65,13784.80,13643.20,13746.9
16,NIFTY100 LOWVOL30,12 May 2023,13720.50,13731.40,13651.75,13669.95
17,NIFTY100 LOWVOL30,11 May 2023,13727.85,13734.35,13685.90,13723.95
18,NIFTY100 LOWVOL30,10 May 2023,13716.75,13735.30,13669.00,13714.75
19,NIFTY100 LOWVOL30,09 May 2023,13673.30,13708.35,13641.40,13676.15
20,NIFTY100 LOWVOL30,08 May 2023,13578.15,13661.40,13562.80,13650.2
21,NIFTY100 LOWVOL30,05 May 2023,13563.60,13603.55,13511.90,13533.9
22,NIFTY100 LOWVOL30,04 May 2023,13522.60,13597.20,13512.60,13585.85
23,NIFTY100 LOWVOL30,03 May 2023,13514.30,13543.05,13483.40,13517.05
24,NIFTY100 LOWVOL30,02 May 2023,13496.20,13552.30,13484.80,13521.7
25,NIFTY100 LOWVOL30,28 Apr 2023,13349.85,13492.35,13316.65,13476.75
26,NIFTY100 LOWVOL30,27 Apr 2023,13288.10,13339.60,13264.65,13328.9
27,NIFTY100 LOWVOL30,26 Apr 2023,13218.05,13288.75,13196.75,13271.85
28,NIFTY100 LOWVOL30,25 Apr 2023,13205.55,13236.75,13173.05,13213.4
29,NIFTY100 LOWVOL30,24 Apr 2023,13179.15,13210.80,13114.10,13203.45
30,NIFTY100 LOWVOL30,21 Apr 2023,13128.65,13143.90,13094.50,13134.1
31,NIFTY100 LOWVOL30,20 Apr 2023,13101.20,13141.60,13063.65,13098.85
32,NIFTY100 LOWVOL30,19 Apr 2023,13163.40,13175.80,13066.90,13086.7
33,NIFTY100 LOWVOL30,18 Apr 2023,13196.65,13197.15,13130.20,13179.35
34,NIFTY100 LOWVOL30,17 Apr 2023,13166.35,13178.50,13097.80,13169.35
35,NIFTY100 LOWVOL30,13 Apr 2023,13228.60,13239.90,13168.25,13204.55
36,NIFTY100 LOWVOL30,12 Apr 2023,13216.85,13263.50,13178.95,13240.95
37,NIFTY100 LOWVOL30,11 Apr 2023,13217.95,13255.70,13150.25,13192.45
38,NIFTY100 LOWVOL30,10 Apr 2023,13144.30,13187.80,13107.90,13166.4
