,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY50 VALUE 20,05 Jun 2023,9668.95,9684.95,9616.9,9621.75
1,NIFTY50 VALUE 20,02 Jun 2023,9627.45,9660.4,9607.2,9631.85
2,NIFTY50 VALUE 20,01 Jun 2023,9626.7,9658.75,9598.95,9608.65
3,NIFTY50 VALUE 20,31 May 2023,9644.2,9658.85,9584.1,9610.4
4,NIFTY50 VALUE 20,30 May 2023,9632.05,9678.45,9615.75,9657.35
5,NIFTY50 VALUE 20,29 May 2023,9654.4,9667.75,9608.45,9617.1
6,NIFTY50 VALUE 20,26 May 2023,9526.85,9606.65,9526.85,9601.15
7,NIFTY50 VALUE 20,25 May 2023,9488.65,9522.65,9463.65,9512.25
8,NIFTY50 VALUE 20,24 May 2023,9442.0,9510.85,9430.55,9487.35
9,NIFTY50 VALUE 20,23 May 2023,9471.5,9522.5,9458.8,9467.3
10,NIFTY50 VALUE 20,22 May 2023,9356.35,9461.85,9332.35,9452.4
11,NIFTY50 VALUE 20,19 May 2023,9338.8,9352.95,9276.3,9343.8
12,NIFTY50 VALUE 20,18 May 2023,9424.85,9430.3,9295.55,9305.85
13,NIFTY50 VALUE 20,17 May 2023,9424.55,9438.4,9331.7,9373.6
14,NIFTY50 VALUE 20,16 May 2023,9467.7,9475.85,9420.8,9427.65
15,NIFTY50 VALUE 20,15 May 2023,9384.0,9468.6,9353.1,9431.55
16,NIFTY50 VALUE 20,12 May 2023,9403.25,9403.25,9335.25,9362.25
17,NIFTY50 VALUE 20,11 May 2023,9454.2,9456.5,9396.15,9411.95
18,NIFTY50 VALUE 20,10 May 2023,9427.45,9436.7,9389.4,9417.25
19,NIFTY50 VALUE 20,09 May 2023,9436.15,9450.8,9371.0,9405.15
20,NIFTY50 VALUE 20,08 May 2023,9377.3,9432.8,9363.2,9423.55
21,NIFTY50 VALUE 20,05 May 2023,9381.75,9384.45,9318.65,9348.0
22,NIFTY50 VALUE 20,04 May 2023,9328.55,9385.2,9315.1,9376.9
23,NIFTY50 VALUE 20,03 May 2023,9329.75,9352.6,9304.35,9334.8
24,NIFTY50 VALUE 20,02 May 2023,9312.85,9379.25,9308.1,9361.75
25,NIFTY50 VALUE 20,28 Apr 2023,9216.35,9301.75,9185.65,9285.4
26,NIFTY50 VALUE 20,27 Apr 2023,9164.75,9212.8,9152.55,9204.8
27,NIFTY50 VALUE 20,26 Apr 2023,9142.55,9177.6,9115.5,9169.0
28,NIFTY50 VALUE 20,25 Apr 2023,9124.45,9163.95,9095.15,9139.7
29,NIFTY50 VALUE 20,24 Apr 2023,9100.1,9136.4,9054.95,9130.55
30,NIFTY50 VALUE 20,21 Apr 2023,9057.35,9098.7,9026.05,9092.7
31,NIFTY50 VALUE 20,20 Apr 2023,9053.05,9090.85,9027.1,9041.45
32,NIFTY50 VALUE 20,19 Apr 2023,9107.25,9116.25,9039.9,9050.45
33,NIFTY50 VALUE 20,18 Apr 2023,9159.7,9160.35,9089.05,9117.7
34,NIFTY50 VALUE 20,17 Apr 2023,9089.2,9138.4,8995.3,9129.65
35,NIFTY50 VALUE 20,13 Apr 2023,9310.4,9322.3,9239.55,9270.8
36,NIFTY50 VALUE 20,12 Apr 2023,9354.75,9361.4,9298.65,9344.15
37,NIFTY50 VALUE 20,11 Apr 2023,9315.8,9351.7,9260.05,9320.85
38,NIFTY50 VALUE 20,10 Apr 2023,9239.75,9326.65,9227.7,9301.6
39,NIFTY50 VALUE 20,06 Apr 2023,9253.25,9261.1,9210.8,9231.05
40,NIFTY50 VALUE 20,05 Apr 2023,9153.8,9276.05,9150.35,9265.6
41,NIFTY50 VALUE 20,03 Apr 2023,9236.95,9236.95,9145.65,9175.0
42,NIFTY50 VALUE 20,31 Mar 2023,9142.3,9211.85,9120.25,9197.4
43,NIFTY50 VALUE 20,29 Mar 2023,8984.55,9088.05,8951.65,9063.95
44,NIFTY50 VALUE 20,28 Mar 2023,9023.05,9052.45,8957.1,8962.95
45,NIFTY50 VALUE 20,27 Mar 2023,8993.2,9062.1,8963.2,9004.45
46,NIFTY50 VALUE 20,24 Mar 2023,9069.0,9097.75,8964.9,8980.6
47,NIFTY50 VALUE 20,23 Mar 2023,9021.0,9073.65,8984.05,9037.6
48,NIFTY50 VALUE 20,22 Mar 2023,9074.5,9091.05,9014.8,9050.45
49,NIFTY50 VALUE 20,21 Mar 2023,9111.05,9125.15,9027.55,9038.55
50,NIFTY50 VALUE 20,20 Mar 2023,9108.6,9108.6,8995.05,9098.6
51,NIFTY50 VALUE 20,17 Mar 2023,9174.2,9190.4,9105.5,9140.75
52,NIFTY50 VALUE 20,16 Mar 2023,9121.1,9135.9,9044.7,9109.75
53,NIFTY50 VALUE 20,15 Mar 2023,9202.0,9216.75,9106.5,9114.65
54,NIFTY50 VALUE 20,14 Mar 2023,9235.85,9254.75,9095.55,9127.65
55,NIFTY50 VALUE 20,13 Mar 2023,9338.4,9396.8,9190.6,9218.9
56,NIFTY50 VALUE 20,10 Mar 2023,9246.55,9320.9,9229.25,9311.65
57,NIFTY50 VALUE 20,09 Mar 2023,9400.5,9413.5,9308.45,9318.6
58,NIFTY50 VALUE 20,08 Mar 2023,9331.0,9397.8,9288.75,9390.65
59,NIFTY50 VALUE 20,06 Mar 2023,9345.5,9421.65,9341.15,9374.5
60,NIFTY50 VALUE 20,03 Mar 2023,9278.15,9325.3,9269.8,9299.65
61,NIFTY50 VALUE 20,02 Mar 2023,9266.55,9278.35,9198.4,9218.55
62,NIFTY50 VALUE 20,01 Mar 2023,9191.3,9296.6,9191.25,9287.9
63,NIFTY50 VALUE 20,28 Feb 2023,9290.0,9316.6,9170.3,9189.55
64,NIFTY50 VALUE 20,27 Feb 2023,9376.2,9376.35,9211.15,9275.8
65,NIFTY50 VALUE 20,24 Feb 2023,9464.5,9475.65,9362.0,9396.4
66,NIFTY50 VALUE 20,23 Feb 2023,9448.05,9503.1,9409.6,9433.5
67,NIFTY50 VALUE 20,22 Feb 2023,9466.6,9483.8,9392.5,9416.25
68,NIFTY50 VALUE 20,21 Feb 2023,9587.0,9598.5,9501.75,9510.8
69,NIFTY50 VALUE 20,20 Feb 2023,9558.35,9614.05,9529.0,9549.85
70,NIFTY50 VALUE 20,17 Feb 2023,9549.8,9586.7,9529.1,9548.85
71,NIFTY50 VALUE 20,16 Feb 2023,9575.0,9628.15,9562.35,9595.9
72,NIFTY50 VALUE 20,15 Feb 2023,9480.75,9552.5,9443.8,9544.45
73,NIFTY50 VALUE 20,14 Feb 2023,9484.2,9549.6,9472.05,9529.3
74,NIFTY50 VALUE 20,13 Feb 2023,9485.0,9487.35,9418.1,9438.2
75,NIFTY50 VALUE 20,10 Feb 2023,9507.6,9528.05,9463.2,9487.2
76,NIFTY50 VALUE 20,09 Feb 2023,9511.55,9563.95,9486.3,9544.25
77,NIFTY50 VALUE 20,08 Feb 2023,9451.45,9535.15,9449.15,9508.75
78,NIFTY50 VALUE 20,07 Feb 2023,9521.85,9523.65,9409.05,9431.5
79,NIFTY50 VALUE 20,06 Feb 2023,9553.8,9579.7,9483.8,9530.4
80,NIFTY50 VALUE 20,03 Feb 2023,9588.15,9592.85,9485.65,9581.85
81,NIFTY50 VALUE 20,02 Feb 2023,9418.5,9540.0,9414.25,9528.05
82,NIFTY50 VALUE 20,01 Feb 2023,9390.3,9460.1,9273.6,9408.45
83,NIFTY50 VALUE 20,31 Jan 2023,9362.0,9364.9,9250.8,9331.2
84,NIFTY50 VALUE 20,30 Jan 2023,9356.1,9367.35,9275.85,9329.05
85,NIFTY50 VALUE 20,27 Jan 2023,9408.25,9439.2,9269.5,9338.2
86,NIFTY50 VALUE 20,25 Jan 2023,9375.15,9393.35,9335.1,9374.35
87,NIFTY50 VALUE 20,24 Jan 2023,9419.9,9424.55,9379.1,9390.75
88,NIFTY50 VALUE 20,23 Jan 2023,9344.9,9395.75,9322.8,9389.7
89,NIFTY50 VALUE 20,20 Jan 2023,9328.55,9361.35,9281.1,9299.9
90,NIFTY50 VALUE 20,19 Jan 2023,9355.3,9389.8,9336.4,9369.0
91,NIFTY50 VALUE 20,18 Jan 2023,9343.45,9401.1,9335.5,9393.75
92,NIFTY50 VALUE 20,17 Jan 2023,9236.65,9328.35,9224.35,9319.85
93,NIFTY50 VALUE 20,16 Jan 2023,9231.6,9238.35,9173.75,9229.9
94,NIFTY50 VALUE 20,13 Jan 2023,9120.35,9231.85,9081.95,9195.7
95,NIFTY50 VALUE 20,12 Jan 2023,9143.1,9155.6,9074.4,9118.2
96,NIFTY50 VALUE 20,11 Jan 2023,9146.35,9187.35,9103.7,9111.0
97,NIFTY50 VALUE 20,10 Jan 2023,9152.55,9159.95,9076.25,9123.9
98,NIFTY50 VALUE 20,09 Jan 2023,9061.5,9180.65,9059.75,9164.7
99,NIFTY50 VALUE 20,06 Jan 2023,9095.15,9111.4,8989.2,9001.9
100,NIFTY50 VALUE 20,05 Jan 2023,9083.1,9120.1,9040.1,9098.4
101,NIFTY50 VALUE 20,04 Jan 2023,9155.75,9160.4,9026.65,9045.15
102,NIFTY50 VALUE 20,03 Jan 2023,9138.7,9190.9,9122.15,9156.1
103,NIFTY50 VALUE 20,02 Jan 2023,9121.85,9166.25,9096.3,9156.85
104,NIFTY50 VALUE 20,30 Dec 2022,9161.2,9174.75,9078.1,9093.6
105,NIFTY50 VALUE 20,29 Dec 2022,9062.6,9134.1,9040.9,9120.1
106,NIFTY50 VALUE 20,28 Dec 2022,9079.3,9124.1,9061.25,9104.8
107,NIFTY50 VALUE 20,27 Dec 2022,9087.45,9116.2,9030.25,9104.2
108,NIFTY50 VALUE 20,26 Dec 2022,8955.0,9075.4,8943.7,9043.25
109,NIFTY50 VALUE 20,23 Dec 2022,9036.75,9076.0,8942.8,8956.0
110,NIFTY50 VALUE 20,22 Dec 2022,9199.55,9220.7,9089.25,9113.7
111,NIFTY50 VALUE 20,21 Dec 2022,9216.25,9242.05,9147.8,9162.05
112,NIFTY50 VALUE 20,20 Dec 2022,9197.65,9203.15,9084.15,9193.45
113,NIFTY50 VALUE 20,19 Dec 2022,9170.9,9228.1,9149.35,9222.65
114,NIFTY50 VALUE 20,16 Dec 2022,9219.9,9276.5,9171.25,9183.6
115,NIFTY50 VALUE 20,15 Dec 2022,9387.05,9406.65,9258.85,9273.5
116,NIFTY50 VALUE 20,14 Dec 2022,9382.25,9431.15,9373.25,9410.5
117,NIFTY50 VALUE 20,13 Dec 2022,9304.2,9354.95,9261.65,9349.6
118,NIFTY50 VALUE 20,12 Dec 2022,9239.3,9295.2,9201.65,9286.8
119,NIFTY50 VALUE 20,09 Dec 2022,9438.7,9438.8,9246.1,9289.15
120,NIFTY50 VALUE 20,08 Dec 2022,9389.3,9418.55,9367.8,9411.35
121,NIFTY50 VALUE 20,07 Dec 2022,9391.6,9432.7,9371.3,9395.95
122,NIFTY50 VALUE 20,06 Dec 2022,9396.3,9408.9,9366.25,9403.1
123,NIFTY50 VALUE 20,05 Dec 2022,9429.65,9459.15,9375.95,9446.9
124,NIFTY50 VALUE 20,02 Dec 2022,9472.4,9481.75,9393.15,9421.8
125,NIFTY50 VALUE 20,01 Dec 2022,9466.45,9498.85,9458.8,9487.25
126,NIFTY50 VALUE 20,30 Nov 2022,9330.25,9441.9,9325.8,9406.4
127,NIFTY50 VALUE 20,29 Nov 2022,9285.7,9378.2,9285.3,9342.45
128,NIFTY50 VALUE 20,28 Nov 2022,9268.1,9329.25,9264.2,9286.7
129,NIFTY50 VALUE 20,25 Nov 2022,9292.85,9313.8,9234.25,9301.9
130,NIFTY50 VALUE 20,24 Nov 2022,9149.65,9302.95,9137.8,9277.15
131,NIFTY50 VALUE 20,23 Nov 2022,9164.7,9165.55,9109.2,9125.05
132,NIFTY50 VALUE 20,22 Nov 2022,9067.55,9137.65,9040.75,9130.65
133,NIFTY50 VALUE 20,21 Nov 2022,9117.75,9129.3,9048.55,9061.8
134,NIFTY50 VALUE 20,18 Nov 2022,9178.9,9182.05,9086.3,9147.05
135,NIFTY50 VALUE 20,17 Nov 2022,9169.0,9197.25,9144.9,9160.4
136,NIFTY50 VALUE 20,16 Nov 2022,9186.4,9199.8,9156.25,9192.0
137,NIFTY50 VALUE 20,15 Nov 2022,9160.2,9195.15,9105.05,9180.45
138,NIFTY50 VALUE 20,14 Nov 2022,9196.6,9217.2,9153.5,9162.25
139,NIFTY50 VALUE 20,11 Nov 2022,9147.45,9210.6,9136.25,9170.35
140,NIFTY50 VALUE 20,10 Nov 2022,8997.2,9053.9,8978.75,9007.25
141,NIFTY50 VALUE 20,09 Nov 2022,9133.7,9135.75,9035.85,9065.25
142,NIFTY50 VALUE 20,07 Nov 2022,9091.5,9126.85,9019.35,9089.65
143,NIFTY50 VALUE 20,04 Nov 2022,9045.35,9059.25,9004.95,9048.65
144,NIFTY50 VALUE 20,03 Nov 2022,9054.55,9094.2,9016.55,9044.65
145,Nifty50 Value 20,02 Nov 2022,9144.1,9150.35,9074.8,9101.6
146,Nifty50 Value 20,01 Nov 2022,9062.5,9138.1,9045.35,9131.15
147,NIFTY50 VALUE 20,31 Oct 2022,8972.55,9023.75,8968.05,9013.35
148,NIFTY50 VALUE 20,28 Oct 2022,8930.15,8958.0,8897.65,8915.15
149,NIFTY50 VALUE 20,27 Oct 2022,8893.95,8935.4,8862.25,8914.4
150,NIFTY50 VALUE 20,25 Oct 2022,8896.3,8897.0,8844.05,8870.2
151,NIFTY50 VALUE 20,24 Oct 2022,8885.75,8895.75,8854.9,8864.35
152,NIFTY50 VALUE 20,21 Oct 2022,8862.45,8872.35,8793.6,8818.75
153,NIFTY50 VALUE 20,20 Oct 2022,8707.5,8850.65,8707.15,8841.4
154,NIFTY50 VALUE 20,19 Oct 2022,8813.35,8814.35,8735.95,8747.6
155,NIFTY50 VALUE 20,18 Oct 2022,8773.85,8816.55,8756.7,8786.65
156,NIFTY50 VALUE 20,17 Oct 2022,8670.9,8730.9,8643.0,8700.3
157,NIFTY50 VALUE 20,14 Oct 2022,8770.1,8791.4,8680.6,8691.85
158,NIFTY50 VALUE 20,13 Oct 2022,8652.75,8670.85,8587.85,8609.2
159,NIFTY50 VALUE 20,12 Oct 2022,8587.55,8666.35,8532.95,8655.65
