,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY500 MULTICAP,05 Jun 2023,10485.15,10500.95,10463.10,10468.5
1,NIFTY500 MULTICAP,02 Jun 2023,10438.45,10456.25,10421.00,10437.3
2,NIFTY500 MULTICAP,01 Jun 2023,10403.45,10434.00,10388.35,10398.25
3,NIFTY500 MULTICAP,31 May 2023,10360.00,10392.70,10330.05,10380.2
4,NIFTY500 MULTICAP,30 May 2023,10364.10,10389.25,10347.10,10371.9
5,NIFTY500 MULTICAP,29 May 2023,10367.75,10373.85,10341.75,10353.5
6,NIFTY500 MULTICAP,26 May 2023,10250.85,10316.70,10240.00,10310.1
7,NIFTY500 MULTICAP,25 May 2023,10201.30,10236.70,10185.75,10228.7
8,NIFTY500 MULTICAP,24 May 2023,10196.55,10246.30,10177.55,10200.9
9,NIFTY500 MULTICAP,23 May 2023,10210.45,10240.15,10201.55,10209.85
10,NIFTY500 MULTICAP,22 May 2023,10122.40,10188.50,10099.75,10181.05
11,NIFTY500 MULTICAP,19 May 2023,10130.20,10130.55,10037.80,10123.65
12,NIFTY500 MULTICAP,18 May 2023,10201.05,10207.25,10097.15,10106.95
13,NIFTY500 MULTICAP,17 May 2023,10185.25,10195.35,10108.50,10151.8
14,NIFTY500 MULTICAP,16 May 2023,10219.50,10233.30,10163.05,10172.0
15,NIFTY500 MULTICAP,15 May 2023,10151.10,10211.00,10130.40,10191.8
16,NIFTY500 MULTICAP,12 May 2023,10154.25,10159.60,10105.15,10137.6
17,NIFTY500 MULTICAP,11 May 2023,10161.80,10177.45,10139.50,10153.05
18,NIFTY500 MULTICAP,10 May 2023,10119.50,10133.50,10061.20,10126.1
19,NIFTY500 MULTICAP,09 May 2023,10133.80,10159.15,10081.85,10095.3
20,NIFTY500 MULTICAP,08 May 2023,10046.85,10113.85,10043.60,10105.7
21,NIFTY500 MULTICAP,05 May 2023,10059.15,10088.15,10004.35,10013.85
22,NIFTY500 MULTICAP,04 May 2023,10017.70,10095.85,10014.60,10088.8
23,NIFTY500 MULTICAP,03 May 2023,9998.80,10028.80,9979.75,10006.95
24,NIFTY500 MULTICAP,02 May 2023,9993.95,10031.45,9985.60,10010.7
25,NIFTY500 MULTICAP,28 Apr 2023,9882.85,9959.65,9867.85,9951.6
26,NIFTY500 MULTICAP,27 Apr 2023,9810.45,9859.45,9804.55,9854.2
27,NIFTY500 MULTICAP,26 Apr 2023,9773.75,9806.55,9755.80,9801.8
28,NIFTY500 MULTICAP,25 Apr 2023,9768.15,9791.50,9749.55,9772.95
29,NIFTY500 MULTICAP,24 Apr 2023,9739.45,9762.35,9703.15,9756.55
30,NIFTY500 MULTICAP,21 Apr 2023,9740.45,9742.85,9670.20,9708.35
31,NIFTY500 MULTICAP,20 Apr 2023,9737.05,9752.90,9711.75,9724.55
32,NIFTY500 MULTICAP,19 Apr 2023,9746.20,9754.25,9705.50,9718.1
33,NIFTY500 MULTICAP,18 Apr 2023,9756.45,9762.70,9709.80,9737.35
34,NIFTY500 MULTICAP,17 Apr 2023,9744.55,9744.55,9661.05,9730.1
35,NIFTY500 MULTICAP,13 Apr 2023,9736.70,9754.00,9701.25,9742.3
36,NIFTY500 MULTICAP,12 Apr 2023,9703.25,9733.05,9687.35,9728.45
37,NIFTY500 MULTICAP,11 Apr 2023,9671.65,9698.85,9649.15,9680.9
38,NIFTY500 MULTICAP,10 Apr 2023,9640.30,9652.75,9612.60,9633.35
39,NIFTY500 MULTICAP,06 Apr 2023,9567.15,9625.20,9545.20,9611.5
40,NIFTY500 MULTICAP,05 Apr 2023,9522.00,9572.40,9514.00,9566.5
41,NIFTY500 MULTICAP,03 Apr 2023,9511.20,9513.15,9470.65,9507.1
42,NIFTY500 MULTICAP,31 Mar 2023,9392.00,9484.55,9390.95,9466.8
43,NIFTY500 MULTICAP,29 Mar 2023,9225.90,9352.05,9225.90,9335.95
44,NIFTY500 MULTICAP,28 Mar 2023,9279.80,9283.75,9201.20,9224.4
45,NIFTY500 MULTICAP,27 Mar 2023,9322.35,9328.35,9250.85,9265.2
46,NIFTY500 MULTICAP,24 Mar 2023,9409.20,9425.00,9294.10,9308.5
47,NIFTY500 MULTICAP,23 Mar 2023,9420.60,9453.90,9399.65,9406.85
48,NIFTY500 MULTICAP,22 Mar 2023,9443.35,9465.80,9426.85,9441.95
49,NIFTY500 MULTICAP,21 Mar 2023,9391.80,9418.75,9369.40,9406.85
50,NIFTY500 MULTICAP,20 Mar 2023,9409.15,9425.15,9280.85,9350.6
51,NIFTY500 MULTICAP,17 Mar 2023,9434.05,9454.95,9372.85,9424.55
52,NIFTY500 MULTICAP,16 Mar 2023,9376.00,9402.85,9270.60,9367.7
53,NIFTY500 MULTICAP,15 Mar 2023,9456.15,9482.35,9364.90,9377.45
54,NIFTY500 MULTICAP,14 Mar 2023,9462.80,9477.95,9355.85,9389.35
55,NIFTY500 MULTICAP,13 Mar 2023,9612.10,9648.95,9432.25,9455.9
56,NIFTY500 MULTICAP,10 Mar 2023,9629.10,9630.25,9560.35,9618.2
