,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY FINANCIAL SERVICES EX-BANK,05 Jun 2023,-,-,-,17773.25
1,NIFTY FINANCIAL SERVICES EX-BANK,02 Jun 2023,-,-,-,17744.92
2,NIFTY FINANCIAL SERVICES EX-BANK,01 Jun 2023,-,-,-,17734.94
3,NIFTY FINANCIAL SERVICES EX-BANK,31 May 2023,-,-,-,17715.87
4,NIFTY FINANCIAL SERVICES EX-BANK,30 May 2023,-,-,-,17771.32
5,NIFTY FINANCIAL SERVICES EX-BANK,29 May 2023,-,-,-,17669.11
6,NIFTY FINANCIAL SERVICES EX-BANK,26 May 2023,-,-,-,17451.18
7,NIFTY FINANCIAL SERVICES EX-BANK,25 May 2023,-,-,-,17348.65
8,NIFTY FINANCIAL SERVICES EX-BANK,24 May 2023,-,-,-,17312.08
9,NIFTY FINANCIAL SERVICES EX-BANK,23 May 2023,-,-,-,17354.13
10,NIFTY FINANCIAL SERVICES EX-BANK,22 May 2023,-,-,-,17262.83
11,NIFTY FINANCIAL SERVICES EX-BANK,19 May 2023,-,-,-,17219.12
12,NIFTY FINANCIAL SERVICES EX-BANK,18 May 2023,-,-,-,17250.51
13,NIFTY FINANCIAL SERVICES EX-BANK,17 May 2023,-,-,-,17203.27
14,NIFTY FINANCIAL SERVICES EX-BANK,16 May 2023,-,-,-,17339.2
15,NIFTY FINANCIAL SERVICES EX-BANK,15 May 2023,-,-,-,17396.63
16,NIFTY FINANCIAL SERVICES EX-BANK,12 May 2023,-,-,-,17342.02
17,NIFTY FINANCIAL SERVICES EX-BANK,11 May 2023,-,-,-,17358.43
18,NIFTY FINANCIAL SERVICES EX-BANK,10 May 2023,-,-,-,17281.58
19,NIFTY FINANCIAL SERVICES EX-BANK,09 May 2023,-,-,-,17189.33
20,NIFTY FINANCIAL SERVICES EX-BANK,08 May 2023,-,-,-,17232.4
21,NIFTY FINANCIAL SERVICES EX-BANK,05 May 2023,-,-,-,16886.62
22,NIFTY FINANCIAL SERVICES EX-BANK,04 May 2023,-,-,-,17158.1
23,NIFTY FINANCIAL SERVICES EX-BANK,03 May 2023,-,-,-,16786.12
24,NIFTY FINANCIAL SERVICES EX-BANK,02 May 2023,-,-,-,16841.77
25,NIFTY FINANCIAL SERVICES EX-BANK,28 Apr 2023,-,-,-,16747.61
26,NIFTY FINANCIAL SERVICES EX-BANK,27 Apr 2023,-,-,-,16612.79
27,NIFTY FINANCIAL SERVICES EX-BANK,26 Apr 2023,-,-,-,16488.29
28,NIFTY FINANCIAL SERVICES EX-BANK,25 Apr 2023,-,-,-,16514.65
29,NIFTY FINANCIAL SERVICES EX-BANK,24 Apr 2023,-,-,-,16486.33
30,NIFTY FINANCIAL SERVICES EX-BANK,21 Apr 2023,-,-,-,16336.7
31,NIFTY FINANCIAL SERVICES EX-BANK,20 Apr 2023,-,-,-,16393.1
32,NIFTY FINANCIAL SERVICES EX-BANK,19 Apr 2023,-,-,-,16396.8
33,NIFTY FINANCIAL SERVICES EX-BANK,18 Apr 2023,-,-,-,16426.08
34,NIFTY FINANCIAL SERVICES EX-BANK,17 Apr 2023,-,-,-,16432.73
35,NIFTY FINANCIAL SERVICES EX-BANK,13 Apr 2023,-,-,-,16380.64
36,NIFTY FINANCIAL SERVICES EX-BANK,12 Apr 2023,-,-,-,16295.81
37,NIFTY FINANCIAL SERVICES EX-BANK,11 Apr 2023,-,-,-,16237.38
38,NIFTY FINANCIAL SERVICES EX-BANK,10 Apr 2023,-,-,-,16172.72
39,NIFTY FINANCIAL SERVICES EX-BANK,06 Apr 2023,-,-,-,16211.68
40,NIFTY FINANCIAL SERVICES EX-BANK,05 Apr 2023,-,-,-,15940.63
41,NIFTY FINANCIAL SERVICES EX-BANK,03 Apr 2023,-,-,-,15790.12
42,NIFTY FINANCIAL SERVICES EX-BANK,31 Mar 2023,-,-,-,15640.51
43,NIFTY FINANCIAL SERVICES EX-BANK,29 Mar 2023,-,-,-,15515.36
44,NIFTY FINANCIAL SERVICES EX-BANK,28 Mar 2023,-,-,-,15327.6
