,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY MIDSMALL FINANCIAL SERVICES,05 Jun 2023,-,-,-,9226.15
1,NIFTY MIDSMALL FINANCIAL SERVICES,02 Jun 2023,-,-,-,9240.49
2,NIFTY MIDSMALL FINANCIAL SERVICES,01 Jun 2023,-,-,-,9201.05
3,NIFTY MIDSMALL FINANCIAL SERVICES,31 May 2023,-,-,-,9156.79
4,NIFTY MIDSMALL FINANCIAL SERVICES,30 May 2023,-,-,-,9138.46
5,NIFTY MIDSMALL FINANCIAL SERVICES,29 May 2023,-,-,-,9077.77
6,NIFTY MIDSMALL FINANCIAL SERVICES,26 May 2023,-,-,-,9004.88
7,NIFTY MIDSMALL FINANCIAL SERVICES,25 May 2023,-,-,-,8965.15
8,NIFTY MIDSMALL FINANCIAL SERVICES,24 May 2023,-,-,-,8931.6
9,NIFTY MIDSMALL FINANCIAL SERVICES,23 May 2023,-,-,-,8931.43
10,NIFTY MIDSMALL FINANCIAL SERVICES,22 May 2023,-,-,-,8847.1
11,NIFTY MIDSMALL FINANCIAL SERVICES,19 May 2023,-,-,-,8832.12
12,NIFTY MIDSMALL FINANCIAL SERVICES,18 May 2023,-,-,-,8833.19
13,NIFTY MIDSMALL FINANCIAL SERVICES,17 May 2023,-,-,-,8840.39
14,NIFTY MIDSMALL FINANCIAL SERVICES,16 May 2023,-,-,-,8855.72
15,NIFTY MIDSMALL FINANCIAL SERVICES,15 May 2023,-,-,-,8838.1
16,NIFTY MIDSMALL FINANCIAL SERVICES,12 May 2023,-,-,-,8733.94
17,NIFTY MIDSMALL FINANCIAL SERVICES,11 May 2023,-,-,-,8796.51
18,NIFTY MIDSMALL FINANCIAL SERVICES,10 May 2023,-,-,-,8762.24
19,NIFTY MIDSMALL FINANCIAL SERVICES,09 May 2023,-,-,-,8771.67
20,NIFTY MIDSMALL FINANCIAL SERVICES,08 May 2023,-,-,-,8800.69
21,NIFTY MIDSMALL FINANCIAL SERVICES,05 May 2023,-,-,-,8658.61
22,NIFTY MIDSMALL FINANCIAL SERVICES,04 May 2023,-,-,-,8815.71
23,NIFTY MIDSMALL FINANCIAL SERVICES,03 May 2023,-,-,-,8725.83
24,NIFTY MIDSMALL FINANCIAL SERVICES,02 May 2023,-,-,-,8721.91
25,NIFTY MIDSMALL FINANCIAL SERVICES,28 Apr 2023,-,-,-,8635.2
26,NIFTY MIDSMALL FINANCIAL SERVICES,27 Apr 2023,-,-,-,8514.86
27,NIFTY MIDSMALL FINANCIAL SERVICES,26 Apr 2023,-,-,-,8472.1
28,NIFTY MIDSMALL FINANCIAL SERVICES,25 Apr 2023,-,-,-,8504.18
29,NIFTY MIDSMALL FINANCIAL SERVICES,24 Apr 2023,-,-,-,8473.12
30,NIFTY MIDSMALL FINANCIAL SERVICES,21 Apr 2023,-,-,-,8407.75
31,NIFTY MIDSMALL FINANCIAL SERVICES,20 Apr 2023,-,-,-,8468.56
32,NIFTY MIDSMALL FINANCIAL SERVICES,19 Apr 2023,-,-,-,8463.91
33,NIFTY MIDSMALL FINANCIAL SERVICES,18 Apr 2023,-,-,-,8498.58
34,NIFTY MIDSMALL FINANCIAL SERVICES,17 Apr 2023,-,-,-,8429.76
35,NIFTY MIDSMALL FINANCIAL SERVICES,13 Apr 2023,-,-,-,8321.98
36,NIFTY MIDSMALL FINANCIAL SERVICES,12 Apr 2023,-,-,-,8224.11
37,NIFTY MIDSMALL FINANCIAL SERVICES,11 Apr 2023,-,-,-,8228.99
38,NIFTY MIDSMALL FINANCIAL SERVICES,10 Apr 2023,-,-,-,8210.19
39,NIFTY MIDSMALL FINANCIAL SERVICES,06 Apr 2023,-,-,-,8176.16
40,NIFTY MIDSMALL FINANCIAL SERVICES,05 Apr 2023,-,-,-,8068.21
41,NIFTY MIDSMALL FINANCIAL SERVICES,03 Apr 2023,-,-,-,8110.35
42,NIFTY MIDSMALL FINANCIAL SERVICES,31 Mar 2023,-,-,-,8014.9
43,NIFTY MIDSMALL FINANCIAL SERVICES,29 Mar 2023,-,-,-,7930.53
44,NIFTY MIDSMALL FINANCIAL SERVICES,28 Mar 2023,-,-,-,7760.81
45,NIFTY MIDSMALL FINANCIAL SERVICES,27 Mar 2023,-,-,-,7799.73
46,NIFTY MIDSMALL FINANCIAL SERVICES,24 Mar 2023,-,-,-,7859.97
47,NIFTY MIDSMALL FINANCIAL SERVICES,23 Mar 2023,-,-,-,8033.54
48,NIFTY MIDSMALL FINANCIAL SERVICES,22 Mar 2023,-,-,-,8105.02
49,NIFTY MIDSMALL FINANCIAL SERVICES,21 Mar 2023,-,-,-,8071.76
50,NIFTY MIDSMALL FINANCIAL SERVICES,20 Mar 2023,-,-,-,7951.23
51,NIFTY MIDSMALL FINANCIAL SERVICES,17 Mar 2023,-,-,-,8069.64
52,NIFTY MIDSMALL FINANCIAL SERVICES,16 Mar 2023,-,-,-,8071.38
53,NIFTY MIDSMALL FINANCIAL SERVICES,15 Mar 2023,-,-,-,8062.85
54,NIFTY MIDSMALL FINANCIAL SERVICES,14 Mar 2023,-,-,-,8107.27
55,NIFTY MIDSMALL FINANCIAL SERVICES,13 Mar 2023,-,-,-,8158.4
56,NIFTY MIDSMALL FINANCIAL SERVICES,10 Mar 2023,-,-,-,8386.69
57,NIFTY MIDSMALL FINANCIAL SERVICES,09 Mar 2023,-,-,-,8485.2
58,NIFTY MIDSMALL FINANCIAL SERVICES,08 Mar 2023,-,-,-,8531.11
59,NIFTY MIDSMALL FINANCIAL SERVICES,06 Mar 2023,-,-,-,8472.83
60,NIFTY MIDSMALL FINANCIAL SERVICES,03 Mar 2023,-,-,-,8402.12
61,NIFTY MIDSMALL FINANCIAL SERVICES,02 Mar 2023,-,-,-,8304.15
62,NIFTY MIDSMALL FINANCIAL SERVICES,01 Mar 2023,-,-,-,8348.39
63,NIFTY MIDSMALL FINANCIAL SERVICES,28 Feb 2023,-,-,-,8160.25
64,NIFTY MIDSMALL FINANCIAL SERVICES,27 Feb 2023,-,-,-,8088.22
65,NIFTY MIDSMALL FINANCIAL SERVICES,24 Feb 2023,-,-,-,8107.09
66,NIFTY MIDSMALL FINANCIAL SERVICES,23 Feb 2023,-,-,-,8083.44
67,NIFTY MIDSMALL FINANCIAL SERVICES,22 Feb 2023,-,-,-,8079.53
68,NIFTY MIDSMALL FINANCIAL SERVICES,21 Feb 2023,-,-,-,8190.45
69,NIFTY MIDSMALL FINANCIAL SERVICES,20 Feb 2023,-,-,-,8217.06
70,NIFTY MIDSMALL FINANCIAL SERVICES,17 Feb 2023,-,-,-,8253.21
71,NIFTY MIDSMALL FINANCIAL SERVICES,16 Feb 2023,-,-,-,8380.56
72,NIFTY MIDSMALL FINANCIAL SERVICES,15 Feb 2023,-,-,-,8377.08
73,NIFTY MIDSMALL FINANCIAL SERVICES,14 Feb 2023,-,-,-,8330.46
74,NIFTY MIDSMALL FINANCIAL SERVICES,13 Feb 2023,-,-,-,8334.8
75,NIFTY MIDSMALL FINANCIAL SERVICES,10 Feb 2023,-,-,-,8501.91
76,NIFTY MIDSMALL FINANCIAL SERVICES,09 Feb 2023,-,-,-,8489.97
77,NIFTY MIDSMALL FINANCIAL SERVICES,08 Feb 2023,-,-,-,8526.98
78,NIFTY MIDSMALL FINANCIAL SERVICES,07 Feb 2023,-,-,-,8453.15
79,NIFTY MIDSMALL FINANCIAL SERVICES,06 Feb 2023,-,-,-,8437.36
80,NIFTY MIDSMALL FINANCIAL SERVICES,03 Feb 2023,-,-,-,8373.18
81,NIFTY MIDSMALL FINANCIAL SERVICES,02 Feb 2023,-,-,-,8312.29
82,NIFTY MIDSMALL FINANCIAL SERVICES,01 Feb 2023,-,-,-,8240.05
83,NIFTY MIDSMALL FINANCIAL SERVICES,31 Jan 2023,-,-,-,8457.6
84,NIFTY MIDSMALL FINANCIAL SERVICES,30 Jan 2023,-,-,-,8243.22
85,NIFTY MIDSMALL FINANCIAL SERVICES,27 Jan 2023,-,-,-,8236.38
86,NIFTY MIDSMALL FINANCIAL SERVICES,25 Jan 2023,-,-,-,8415.18
87,NIFTY MIDSMALL FINANCIAL SERVICES,24 Jan 2023,-,-,-,8588.95
88,NIFTY MIDSMALL FINANCIAL SERVICES,23 Jan 2023,-,-,-,8658.19
89,NIFTY MIDSMALL FINANCIAL SERVICES,20 Jan 2023,-,-,-,8648.19
90,NIFTY MIDSMALL FINANCIAL SERVICES,19 Jan 2023,-,-,-,8708.49
91,NIFTY MIDSMALL FINANCIAL SERVICES,18 Jan 2023,-,-,-,8732.06
92,NIFTY MIDSMALL FINANCIAL SERVICES,17 Jan 2023,-,-,-,8714.13
93,NIFTY MIDSMALL FINANCIAL SERVICES,16 Jan 2023,-,-,-,8775.64
94,NIFTY MIDSMALL FINANCIAL SERVICES,13 Jan 2023,-,-,-,8754.25
95,NIFTY MIDSMALL FINANCIAL SERVICES,12 Jan 2023,-,-,-,8683.89
96,NIFTY MIDSMALL FINANCIAL SERVICES,11 Jan 2023,-,-,-,8732.67
97,NIFTY MIDSMALL FINANCIAL SERVICES,10 Jan 2023,-,-,-,8716.36
98,NIFTY MIDSMALL FINANCIAL SERVICES,09 Jan 2023,-,-,-,8793.69
99,NIFTY MIDSMALL FINANCIAL SERVICES,06 Jan 2023,-,-,-,8714.52
100,NIFTY MIDSMALL FINANCIAL SERVICES,05 Jan 2023,-,-,-,8829.47
101,NIFTY MIDSMALL FINANCIAL SERVICES,04 Jan 2023,-,-,-,8789.29
102,NIFTY MIDSMALL FINANCIAL SERVICES,03 Jan 2023,-,-,-,8918.75
103,NIFTY MIDSMALL FINANCIAL SERVICES,02 Jan 2023,-,-,-,8890.5
104,NIFTY MIDSMALL FINANCIAL SERVICES,30 Dec 2022,-,-,-,8774.41
105,NIFTY MIDSMALL FINANCIAL SERVICES,29 Dec 2022,-,-,-,8653.44
106,NIFTY MIDSMALL FINANCIAL SERVICES,28 Dec 2022,-,-,-,8623.74
107,NIFTY MIDSMALL FINANCIAL SERVICES,27 Dec 2022,-,-,-,8582.93
108,NIFTY MIDSMALL FINANCIAL SERVICES,26 Dec 2022,-,-,-,8483.03
109,NIFTY MIDSMALL FINANCIAL SERVICES,23 Dec 2022,-,-,-,8130.52
110,NIFTY MIDSMALL FINANCIAL SERVICES,22 Dec 2022,-,-,-,8521.03
111,NIFTY MIDSMALL FINANCIAL SERVICES,21 Dec 2022,-,-,-,8630.42
112,NIFTY MIDSMALL FINANCIAL SERVICES,20 Dec 2022,-,-,-,8858.99
113,NIFTY MIDSMALL FINANCIAL SERVICES,19 Dec 2022,-,-,-,8901.71
114,NIFTY MIDSMALL FINANCIAL SERVICES,16 Dec 2022,-,-,-,8792.11
115,NIFTY MIDSMALL FINANCIAL SERVICES,15 Dec 2022,-,-,-,8940.34
116,NIFTY MIDSMALL FINANCIAL SERVICES,14 Dec 2022,-,-,-,8963.64
117,NIFTY MIDSMALL FINANCIAL SERVICES,13 Dec 2022,-,-,-,8923.64
118,NIFTY MIDSMALL FINANCIAL SERVICES,12 Dec 2022,-,-,-,8783.62
119,NIFTY MIDSMALL FINANCIAL SERVICES,09 Dec 2022,-,-,-,8703.8
120,NIFTY MIDSMALL FINANCIAL SERVICES,08 Dec 2022,-,-,-,8755.55
121,NIFTY MIDSMALL FINANCIAL SERVICES,07 Dec 2022,-,-,-,8664.31
122,NIFTY MIDSMALL FINANCIAL SERVICES,06 Dec 2022,-,-,-,8663.66
123,NIFTY MIDSMALL FINANCIAL SERVICES,05 Dec 2022,-,-,-,8697.14
124,NIFTY MIDSMALL FINANCIAL SERVICES,02 Dec 2022,-,-,-,8582.52
125,NIFTY MIDSMALL FINANCIAL SERVICES,01 Dec 2022,-,-,-,8504.33
126,NIFTY MIDSMALL FINANCIAL SERVICES,30 Nov 2022,-,-,-,8478.4
127,NIFTY MIDSMALL FINANCIAL SERVICES,29 Nov 2022,-,-,-,8433.43
128,NIFTY MIDSMALL FINANCIAL SERVICES,28 Nov 2022,-,-,-,8464.0
129,NIFTY MIDSMALL FINANCIAL SERVICES,25 Nov 2022,-,-,-,8416.96
130,NIFTY MIDSMALL FINANCIAL SERVICES,24 Nov 2022,-,-,-,8277.17
131,NIFTY MIDSMALL FINANCIAL SERVICES,23 Nov 2022,-,-,-,8216.95
132,NIFTY MIDSMALL FINANCIAL SERVICES,22 Nov 2022,-,-,-,8175.16
133,NIFTY MIDSMALL FINANCIAL SERVICES,21 Nov 2022,-,-,-,8125.11
134,NIFTY MIDSMALL FINANCIAL SERVICES,18 Nov 2022,-,-,-,8078.87
135,NIFTY MIDSMALL FINANCIAL SERVICES,17 Nov 2022,-,-,-,8109.56
136,NIFTY MIDSMALL FINANCIAL SERVICES,16 Nov 2022,-,-,-,8124.89
137,NIFTY MIDSMALL FINANCIAL SERVICES,15 Nov 2022,-,-,-,8222.18
138,NIFTY MIDSMALL FINANCIAL SERVICES,14 Nov 2022,-,-,-,8222.72
139,NIFTY MIDSMALL FINANCIAL SERVICES,11 Nov 2022,-,-,-,8209.69
140,NIFTY MIDSMALL FINANCIAL SERVICES,10 Nov 2022,-,-,-,8160.37
141,NIFTY MIDSMALL FINANCIAL SERVICES,09 Nov 2022,-,-,-,8257.74
142,NIFTY MIDSMALL FINANCIAL SERVICES,07 Nov 2022,-,-,-,8207.34
143,NIFTY MIDSMALL FINANCIAL SERVICES,04 Nov 2022,-,-,-,8103.7
144,NIFTY MIDSMALL FINANCIAL SERVICES,03 Nov 2022,-,-,-,8081.43
145,NIFTY MIDSMALL FINANCIAL SERVICES,02 Nov 2022,-,-,-,7967.8
146,NIFTY MIDSMALL FINANCIAL SERVICES,01 Nov 2022,-,-,-,8007.57
147,NIFTY MIDSMALL FINANCIAL SERVICES,31 Oct 2022,-,-,-,8013.03
148,NIFTY MIDSMALL FINANCIAL SERVICES,28 Oct 2022,-,-,-,7992.69
149,NIFTY MIDSMALL FINANCIAL SERVICES,27 Oct 2022,-,-,-,8017.04
150,NIFTY MIDSMALL FINANCIAL SERVICES,25 Oct 2022,-,-,-,7933.68
151,NIFTY MIDSMALL FINANCIAL SERVICES,24 Oct 2022,-,-,-,7941.2
152,NIFTY MIDSMALL FINANCIAL SERVICES,21 Oct 2022,-,-,-,7889.55
153,NIFTY MIDSMALL FINANCIAL SERVICES,20 Oct 2022,-,-,-,7935.82
154,NIFTY MIDSMALL FINANCIAL SERVICES,19 Oct 2022,-,-,-,7971.61
155,NIFTY MIDSMALL FINANCIAL SERVICES,18 Oct 2022,-,-,-,7953.25
156,NIFTY MIDSMALL FINANCIAL SERVICES,17 Oct 2022,-,-,-,7840.93
157,NIFTY MIDSMALL FINANCIAL SERVICES,14 Oct 2022,-,-,-,7757.12
158,NIFTY MIDSMALL FINANCIAL SERVICES,13 Oct 2022,-,-,-,7712.87
