,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY MIDSMALL HEALTHCARE,05 Jun 2023,-,-,-,21996.82
1,NIFTY MIDSMALL HEALTHCARE,02 Jun 2023,-,-,-,22015.21
2,NIFTY MIDSMALL HEALTHCARE,01 Jun 2023,-,-,-,21944.16
3,NIFTY MIDSMALL HEALTHCARE,31 May 2023,-,-,-,21908.92
4,NIFTY MIDSMALL HEALTHCARE,30 May 2023,-,-,-,21798.84
5,NIFTY MIDSMALL HEALTHCARE,29 May 2023,-,-,-,21752.31
6,NIFTY MIDSMALL HEALTHCARE,26 May 2023,-,-,-,21718.38
7,NIFTY MIDSMALL HEALTHCARE,25 May 2023,-,-,-,21623.34
8,NIFTY MIDSMALL HEALTHCARE,24 May 2023,-,-,-,21655.8
9,NIFTY MIDSMALL HEALTHCARE,23 May 2023,-,-,-,21547.55
10,NIFTY MIDSMALL HEALTHCARE,22 May 2023,-,-,-,21453.09
11,NIFTY MIDSMALL HEALTHCARE,19 May 2023,-,-,-,21367.67
12,NIFTY MIDSMALL HEALTHCARE,18 May 2023,-,-,-,21523.93
13,NIFTY MIDSMALL HEALTHCARE,17 May 2023,-,-,-,21598.04
14,NIFTY MIDSMALL HEALTHCARE,16 May 2023,-,-,-,21582.05
15,NIFTY MIDSMALL HEALTHCARE,15 May 2023,-,-,-,21649.81
16,NIFTY MIDSMALL HEALTHCARE,12 May 2023,-,-,-,21428.4
17,NIFTY MIDSMALL HEALTHCARE,11 May 2023,-,-,-,21359.77
18,NIFTY MIDSMALL HEALTHCARE,10 May 2023,-,-,-,21393.27
19,NIFTY MIDSMALL HEALTHCARE,09 May 2023,-,-,-,21351.23
20,NIFTY MIDSMALL HEALTHCARE,08 May 2023,-,-,-,21299.54
21,NIFTY MIDSMALL HEALTHCARE,05 May 2023,-,-,-,21059.71
22,NIFTY MIDSMALL HEALTHCARE,04 May 2023,-,-,-,21080.34
23,NIFTY MIDSMALL HEALTHCARE,03 May 2023,-,-,-,21021.51
24,NIFTY MIDSMALL HEALTHCARE,02 May 2023,-,-,-,20985.43
25,NIFTY MIDSMALL HEALTHCARE,28 Apr 2023,-,-,-,20882.8
26,NIFTY MIDSMALL HEALTHCARE,27 Apr 2023,-,-,-,20599.93
27,NIFTY MIDSMALL HEALTHCARE,26 Apr 2023,-,-,-,20509.38
28,NIFTY MIDSMALL HEALTHCARE,25 Apr 2023,-,-,-,20531.15
29,NIFTY MIDSMALL HEALTHCARE,24 Apr 2023,-,-,-,20630.82
30,NIFTY MIDSMALL HEALTHCARE,21 Apr 2023,-,-,-,20686.44
31,NIFTY MIDSMALL HEALTHCARE,20 Apr 2023,-,-,-,20698.37
