,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY MIDSMALL IT & TELECOM,05 Jun 2023,-,-,-,7088.4
1,NIFTY MIDSMALL IT & TELECOM,02 Jun 2023,-,-,-,7103.27
2,NIFTY MIDSMALL IT & TELECOM,01 Jun 2023,-,-,-,7017.32
3,NIFTY MIDSMALL IT & TELECOM,31 May 2023,-,-,-,6913.29
4,NIFTY MIDSMALL IT & TELECOM,30 May 2023,-,-,-,6807.99
5,NIFTY MIDSMALL IT & TELECOM,29 May 2023,-,-,-,6795.02
6,NIFTY MIDSMALL IT & TELECOM,26 May 2023,-,-,-,6816.71
7,NIFTY MIDSMALL IT & TELECOM,25 May 2023,-,-,-,6726.62
8,NIFTY MIDSMALL IT & TELECOM,24 May 2023,-,-,-,6658.12
9,NIFTY MIDSMALL IT & TELECOM,23 May 2023,-,-,-,6644.61
10,NIFTY MIDSMALL IT & TELECOM,22 May 2023,-,-,-,6681.21
11,NIFTY MIDSMALL IT & TELECOM,19 May 2023,-,-,-,6596.75
12,NIFTY MIDSMALL IT & TELECOM,18 May 2023,-,-,-,6528.91
13,NIFTY MIDSMALL IT & TELECOM,17 May 2023,-,-,-,6574.16
14,NIFTY MIDSMALL IT & TELECOM,16 May 2023,-,-,-,6545.91
15,NIFTY MIDSMALL IT & TELECOM,15 May 2023,-,-,-,6493.27
16,NIFTY MIDSMALL IT & TELECOM,12 May 2023,-,-,-,6427.71
17,NIFTY MIDSMALL IT & TELECOM,11 May 2023,-,-,-,6458.37
18,NIFTY MIDSMALL IT & TELECOM,10 May 2023,-,-,-,6432.5
19,NIFTY MIDSMALL IT & TELECOM,09 May 2023,-,-,-,6390.66
20,NIFTY MIDSMALL IT & TELECOM,08 May 2023,-,-,-,6340.61
21,NIFTY MIDSMALL IT & TELECOM,05 May 2023,-,-,-,6293.88
22,NIFTY MIDSMALL IT & TELECOM,04 May 2023,-,-,-,6327.23
23,NIFTY MIDSMALL IT & TELECOM,03 May 2023,-,-,-,6292.98
24,NIFTY MIDSMALL IT & TELECOM,02 May 2023,-,-,-,6341.26
25,NIFTY MIDSMALL IT & TELECOM,28 Apr 2023,-,-,-,6315.7
26,NIFTY MIDSMALL IT & TELECOM,27 Apr 2023,-,-,-,6210.09
27,NIFTY MIDSMALL IT & TELECOM,26 Apr 2023,-,-,-,6067.23
28,NIFTY MIDSMALL IT & TELECOM,25 Apr 2023,-,-,-,6019.65
