,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY MOBILITY,05 Jun 2023,-,-,-,12013.56
1,NIFTY MOBILITY,02 Jun 2023,-,-,-,11922.57
2,NIFTY MOBILITY,01 Jun 2023,-,-,-,11833.62
3,NIFTY MOBILITY,31 May 2023,-,-,-,11816.34
4,NIFTY MOBILITY,30 May 2023,-,-,-,11776.83
5,NIFTY MOBILITY,29 May 2023,-,-,-,11806.37
6,NIFTY MOBILITY,26 May 2023,-,-,-,11746.93
7,NIFTY MOBILITY,25 May 2023,-,-,-,11670.73
8,NIFTY MOBILITY,24 May 2023,-,-,-,11606.43
9,NIFTY MOBILITY,23 May 2023,-,-,-,11618.58
10,NIFTY MOBILITY,22 May 2023,-,-,-,11549.3
11,NIFTY MOBILITY,19 May 2023,-,-,-,11466.4
12,NIFTY MOBILITY,18 May 2023,-,-,-,11393.89
13,NIFTY MOBILITY,17 May 2023,-,-,-,11503.57
14,NIFTY MOBILITY,16 May 2023,-,-,-,11501.12
15,NIFTY MOBILITY,15 May 2023,-,-,-,11576.7
16,NIFTY MOBILITY,12 May 2023,-,-,-,11508.93
17,NIFTY MOBILITY,11 May 2023,-,-,-,11473.61
18,NIFTY MOBILITY,10 May 2023,-,-,-,11418.19
19,NIFTY MOBILITY,09 May 2023,-,-,-,11336.66
20,NIFTY MOBILITY,08 May 2023,-,-,-,11330.74
21,NIFTY MOBILITY,05 May 2023,-,-,-,11183.1
22,NIFTY MOBILITY,04 May 2023,-,-,-,11148.26
23,NIFTY MOBILITY,03 May 2023,-,-,-,11090.91
24,NIFTY MOBILITY,02 May 2023,-,-,-,11101.79
25,NIFTY MOBILITY,28 Apr 2023,-,-,-,11041.45
26,NIFTY MOBILITY,27 Apr 2023,-,-,-,10887.86
27,NIFTY MOBILITY,26 Apr 2023,-,-,-,10810.25
28,NIFTY MOBILITY,25 Apr 2023,-,-,-,10772.24
29,NIFTY MOBILITY,24 Apr 2023,-,-,-,10737.07
30,NIFTY MOBILITY,21 Apr 2023,-,-,-,10721.23
31,NIFTY MOBILITY,20 Apr 2023,-,-,-,10792.64
32,NIFTY MOBILITY,19 Apr 2023,-,-,-,10771.53
33,NIFTY MOBILITY,18 Apr 2023,-,-,-,10774.73
34,NIFTY MOBILITY,17 Apr 2023,-,-,-,10774.83
35,NIFTY MOBILITY,13 Apr 2023,-,-,-,10693.31
36,NIFTY MOBILITY,12 Apr 2023,-,-,-,10651.76
37,NIFTY MOBILITY,11 Apr 2023,-,-,-,10560.85
38,NIFTY MOBILITY,10 Apr 2023,-,-,-,10477.03
39,NIFTY MOBILITY,06 Apr 2023,-,-,-,10366.66
40,NIFTY MOBILITY,05 Apr 2023,-,-,-,10288.78
