,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY NON-CYCLICAL CONSUMER,05 Jun 2023,-,-,-,11438.79
1,NIFTY NON-CYCLICAL CONSUMER,02 Jun 2023,-,-,-,11472.09
2,NIFTY NON-CYCLICAL CONSUMER,01 Jun 2023,-,-,-,11389.2
3,NIFTY NON-CYCLICAL CONSUMER,31 May 2023,-,-,-,11375.34
4,NIFTY NON-CYCLICAL CONSUMER,30 May 2023,-,-,-,11267.07
5,NIFTY NON-CYCLICAL CONSUMER,29 May 2023,-,-,-,11252.04
6,NIFTY NON-CYCLICAL CONSUMER,26 May 2023,-,-,-,11187.27
7,NIFTY NON-CYCLICAL CONSUMER,25 May 2023,-,-,-,11077.3
8,NIFTY NON-CYCLICAL CONSUMER,24 May 2023,-,-,-,10984.39
9,NIFTY NON-CYCLICAL CONSUMER,23 May 2023,-,-,-,10948.39
10,NIFTY NON-CYCLICAL CONSUMER,22 May 2023,-,-,-,10939.29
11,NIFTY NON-CYCLICAL CONSUMER,19 May 2023,-,-,-,10909.35
12,NIFTY NON-CYCLICAL CONSUMER,18 May 2023,-,-,-,10903.59
13,NIFTY NON-CYCLICAL CONSUMER,17 May 2023,-,-,-,10977.02
14,NIFTY NON-CYCLICAL CONSUMER,16 May 2023,-,-,-,11011.77
15,NIFTY NON-CYCLICAL CONSUMER,15 May 2023,-,-,-,11029.58
16,NIFTY NON-CYCLICAL CONSUMER,12 May 2023,-,-,-,10968.8
17,NIFTY NON-CYCLICAL CONSUMER,11 May 2023,-,-,-,10969.37
18,NIFTY NON-CYCLICAL CONSUMER,10 May 2023,-,-,-,10901.61
19,NIFTY NON-CYCLICAL CONSUMER,09 May 2023,-,-,-,10853.98
20,NIFTY NON-CYCLICAL CONSUMER,08 May 2023,-,-,-,10864.09
21,NIFTY NON-CYCLICAL CONSUMER,05 May 2023,-,-,-,10787.61
22,NIFTY NON-CYCLICAL CONSUMER,04 May 2023,-,-,-,10742.93
23,NIFTY NON-CYCLICAL CONSUMER,03 May 2023,-,-,-,10685.96
24,NIFTY NON-CYCLICAL CONSUMER,02 May 2023,-,-,-,10642.43
25,NIFTY NON-CYCLICAL CONSUMER,28 Apr 2023,-,-,-,10624.7
26,NIFTY NON-CYCLICAL CONSUMER,27 Apr 2023,-,-,-,10539.92
27,NIFTY NON-CYCLICAL CONSUMER,26 Apr 2023,-,-,-,10515.06
28,NIFTY NON-CYCLICAL CONSUMER,25 Apr 2023,-,-,-,10464.31
29,NIFTY NON-CYCLICAL CONSUMER,24 Apr 2023,-,-,-,10451.89
30,NIFTY NON-CYCLICAL CONSUMER,21 Apr 2023,-,-,-,10396.49
31,NIFTY NON-CYCLICAL CONSUMER,20 Apr 2023,-,-,-,10356.28
32,NIFTY NON-CYCLICAL CONSUMER,19 Apr 2023,-,-,-,10333.73
33,NIFTY NON-CYCLICAL CONSUMER,18 Apr 2023,-,-,-,10372.44
34,NIFTY NON-CYCLICAL CONSUMER,17 Apr 2023,-,-,-,10382.67
35,NIFTY NON-CYCLICAL CONSUMER,13 Apr 2023,-,-,-,10322.03
36,NIFTY NON-CYCLICAL CONSUMER,12 Apr 2023,-,-,-,10310.49
37,NIFTY NON-CYCLICAL CONSUMER,11 Apr 2023,-,-,-,10298.02
38,NIFTY NON-CYCLICAL CONSUMER,10 Apr 2023,-,-,-,10273.26
39,NIFTY NON-CYCLICAL CONSUMER,06 Apr 2023,-,-,-,10295.58
40,NIFTY NON-CYCLICAL CONSUMER,05 Apr 2023,-,-,-,10359.92
41,NIFTY NON-CYCLICAL CONSUMER,03 Apr 2023,-,-,-,10242.62
42,NIFTY NON-CYCLICAL CONSUMER,31 Mar 2023,-,-,-,10208.41
43,NIFTY NON-CYCLICAL CONSUMER,29 Mar 2023,-,-,-,10107.95
44,NIFTY NON-CYCLICAL CONSUMER,28 Mar 2023,-,-,-,10047.12
45,NIFTY NON-CYCLICAL CONSUMER,27 Mar 2023,-,-,-,10102.07
46,NIFTY NON-CYCLICAL CONSUMER,24 Mar 2023,-,-,-,10098.89
47,NIFTY NON-CYCLICAL CONSUMER,23 Mar 2023,-,-,-,10160.5
48,NIFTY NON-CYCLICAL CONSUMER,22 Mar 2023,-,-,-,10150.79
49,NIFTY NON-CYCLICAL CONSUMER,21 Mar 2023,-,-,-,10129.64
50,NIFTY NON-CYCLICAL CONSUMER,20 Mar 2023,-,-,-,10130.76
51,NIFTY NON-CYCLICAL CONSUMER,17 Mar 2023,-,-,-,10112.15
52,NIFTY NON-CYCLICAL CONSUMER,16 Mar 2023,-,-,-,10098.34
53,NIFTY NON-CYCLICAL CONSUMER,15 Mar 2023,-,-,-,9978.46
