,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY TRANSPORTATION & LOGISTICS,05 Jun 2023,-,-,-,13719.26
1,NIFTY TRANSPORTATION & LOGISTICS,02 Jun 2023,-,-,-,13582.31
2,NIFTY TRANSPORTATION & LOGISTICS,01 Jun 2023,-,-,-,13455.57
3,NIFTY TRANSPORTATION & LOGISTICS,31 May 2023,-,-,-,13430.46
4,NIFTY TRANSPORTATION & LOGISTICS,30 May 2023,-,-,-,13373.28
5,NIFTY TRANSPORTATION & LOGISTICS,29 May 2023,-,-,-,13385.15
6,NIFTY TRANSPORTATION & LOGISTICS,26 May 2023,-,-,-,13298.25
7,NIFTY TRANSPORTATION & LOGISTICS,25 May 2023,-,-,-,13218.58
8,NIFTY TRANSPORTATION & LOGISTICS,24 May 2023,-,-,-,13160.16
9,NIFTY TRANSPORTATION & LOGISTICS,23 May 2023,-,-,-,13171.43
10,NIFTY TRANSPORTATION & LOGISTICS,22 May 2023,-,-,-,13101.13
11,NIFTY TRANSPORTATION & LOGISTICS,19 May 2023,-,-,-,13021.77
12,NIFTY TRANSPORTATION & LOGISTICS,18 May 2023,-,-,-,12928.11
13,NIFTY TRANSPORTATION & LOGISTICS,17 May 2023,-,-,-,13041.62
14,NIFTY TRANSPORTATION & LOGISTICS,16 May 2023,-,-,-,13018.8
15,NIFTY TRANSPORTATION & LOGISTICS,15 May 2023,-,-,-,13108.01
16,NIFTY TRANSPORTATION & LOGISTICS,12 May 2023,-,-,-,13031.82
17,NIFTY TRANSPORTATION & LOGISTICS,11 May 2023,-,-,-,12958.89
18,NIFTY TRANSPORTATION & LOGISTICS,10 May 2023,-,-,-,12883.47
19,NIFTY TRANSPORTATION & LOGISTICS,09 May 2023,-,-,-,12810.05
20,NIFTY TRANSPORTATION & LOGISTICS,08 May 2023,-,-,-,12782.72
21,NIFTY TRANSPORTATION & LOGISTICS,05 May 2023,-,-,-,12585.49
22,NIFTY TRANSPORTATION & LOGISTICS,04 May 2023,-,-,-,12558.68
23,NIFTY TRANSPORTATION & LOGISTICS,03 May 2023,-,-,-,12511.6
24,NIFTY TRANSPORTATION & LOGISTICS,02 May 2023,-,-,-,12504.84
25,NIFTY TRANSPORTATION & LOGISTICS,28 Apr 2023,-,-,-,12430.92
26,NIFTY TRANSPORTATION & LOGISTICS,27 Apr 2023,-,-,-,12280.8
27,NIFTY TRANSPORTATION & LOGISTICS,26 Apr 2023,-,-,-,12192.93
28,NIFTY TRANSPORTATION & LOGISTICS,25 Apr 2023,-,-,-,12140.03
29,NIFTY TRANSPORTATION & LOGISTICS,24 Apr 2023,-,-,-,12115.77
30,NIFTY TRANSPORTATION & LOGISTICS,21 Apr 2023,-,-,-,12119.2
31,NIFTY TRANSPORTATION & LOGISTICS,20 Apr 2023,-,-,-,12208.42
32,NIFTY TRANSPORTATION & LOGISTICS,19 Apr 2023,-,-,-,12165.89
33,NIFTY TRANSPORTATION & LOGISTICS,18 Apr 2023,-,-,-,12179.04
34,NIFTY TRANSPORTATION & LOGISTICS,17 Apr 2023,-,-,-,12178.92
35,NIFTY TRANSPORTATION & LOGISTICS,13 Apr 2023,-,-,-,12099.88
36,NIFTY TRANSPORTATION & LOGISTICS,12 Apr 2023,-,-,-,12048.17
37,NIFTY TRANSPORTATION & LOGISTICS,11 Apr 2023,-,-,-,11959.91
38,NIFTY TRANSPORTATION & LOGISTICS,10 Apr 2023,-,-,-,11866.77
39,NIFTY TRANSPORTATION & LOGISTICS,06 Apr 2023,-,-,-,11725.04
40,NIFTY TRANSPORTATION & LOGISTICS,05 Apr 2023,-,-,-,11630.3
41,NIFTY TRANSPORTATION & LOGISTICS,03 Apr 2023,-,-,-,11666.62
42,NIFTY TRANSPORTATION & LOGISTICS,31 Mar 2023,-,-,-,11536.06
43,NIFTY TRANSPORTATION & LOGISTICS,29 Mar 2023,-,-,-,11412.06
44,NIFTY TRANSPORTATION & LOGISTICS,28 Mar 2023,-,-,-,11200.8
45,NIFTY TRANSPORTATION & LOGISTICS,27 Mar 2023,-,-,-,11335.86
46,NIFTY TRANSPORTATION & LOGISTICS,24 Mar 2023,-,-,-,11413.94
47,NIFTY TRANSPORTATION & LOGISTICS,23 Mar 2023,-,-,-,11526.59
48,NIFTY TRANSPORTATION & LOGISTICS,22 Mar 2023,-,-,-,11534.29
49,NIFTY TRANSPORTATION & LOGISTICS,21 Mar 2023,-,-,-,11496.01
50,NIFTY TRANSPORTATION & LOGISTICS,20 Mar 2023,-,-,-,11491.85
51,NIFTY TRANSPORTATION & LOGISTICS,17 Mar 2023,-,-,-,11601.28
52,NIFTY TRANSPORTATION & LOGISTICS,16 Mar 2023,-,-,-,11623.91
53,NIFTY TRANSPORTATION & LOGISTICS,15 Mar 2023,-,-,-,11600.9
54,NIFTY TRANSPORTATION & LOGISTICS,14 Mar 2023,-,-,-,11613.83
55,NIFTY TRANSPORTATION & LOGISTICS,13 Mar 2023,-,-,-,11741.48
